,Position,Player,Team,GP,% Time,Poss,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score,year,playtype,And One Freq%,Percentile
47958,G,James Harden,Houston Rockets,82,24.2,566,524,0.926,271.0,159,430,37.0,43.4,10.2,16.6,14.8,41.5,2016,iso,,
47959,F,Carmelo Anthony,New York Knicks,72,23.7,393,374,0.952,179.0,139,318,43.7,45.3,7.1,14.2,12.5,47.3,2016,iso,,
47960,F,LeBron James,Cleveland Cavaliers,76,19.1,354,302,0.853,180.0,111,291,38.1,41.1,7.3,13.3,10.7,40.7,2016,iso,,
47961,G,Damian Lillard,Portland Trail Blazers,75,17.2,327,331,1.012,155.0,105,260,40.4,46.0,5.5,17.1,15.3,46.2,2016,iso,,
47962,G,DeMar DeRozan,Toronto Raptors,78,16.1,296,272,0.919,138.0,88,226,38.9,39.8,6.8,19.3,17.6,46.3,2016,iso,,
47963,F,Kevin Durant,Oklahoma City Thunder,72,14.9,273,270,0.989,118.0,93,211,44.1,48.8,9.9,13.6,11.4,46.5,2016,iso,,
47964,FG,Paul George,Indiana Pacers,81,14.0,270,218,0.807,137.0,72,209,34.4,37.1,11.1,13.3,11.5,38.1,2016,iso,,
47965,G,Kobe Bryant,Los Angeles Lakers,66,19.9,267,190,0.712,168.0,59,227,26.0,28.9,3.7,12.0,11.6,33.3,2016,iso,,
47966,G,Jamal Crawford,Los Angeles Clippers,79,22.4,261,262,1.004,127.0,91,218,41.7,44.3,3.4,15.7,13.8,47.5,2016,iso,,
47967,G,Russell Westbrook,Oklahoma City Thunder,80,12.5,254,189,0.744,133.0,73,206,35.4,38.8,11.8,8.3,8.3,35.4,2016,iso,,
47968,F,Julius Randle,Los Angeles Lakers,81,21.8,239,172,0.72,122.0,72,194,37.1,37.1,11.7,10.9,10.9,36.8,2016,iso,,
47969,G,Chris Paul,Los Angeles Clippers,75,15.2,220,201,0.914,118.0,72,190,37.9,44.2,5.9,7.7,4.5,40.5,2016,iso,,
47970,GF,Giannis Antetokounmpo,Milwaukee Bucks,80,15.5,217,179,0.825,102.0,65,167,38.9,40.7,11.1,15.2,12.4,41.0,2016,iso,,
47971,C,DeMarcus Cousins,Sacramento Kings,65,11.1,209,143,0.684,104.0,50,154,32.5,32.8,14.8,15.8,13.9,34.4,2016,iso,,
47972,G,Stephen Curry,Golden State Warriors,79,10.0,201,216,1.075,93.0,76,169,45.0,53.0,6.5,10.4,10.0,47.3,2016,iso,,
47973,G,John Wall,Washington Wizards,77,11.2,200,152,0.76,97.0,56,153,36.6,38.6,13.5,12.0,11.5,36.0,2016,iso,,
47974,G,CJ McCollum,Portland Trail Blazers,80,11.4,195,169,0.867,100.0,72,172,41.9,45.9,8.2,4.6,3.1,40.5,2016,iso,,
47975,GF,Rudy Gay,Sacramento Kings,70,15.4,193,144,0.746,103.0,56,159,35.2,37.1,10.4,9.3,8.8,36.3,2016,iso,,
47976,C,Jahil Okafor,Philadelphia 76ers,53,19.0,187,162,0.866,83.0,68,151,45.0,45.0,9.6,12.3,11.2,45.5,2016,iso,,
47977,G,Jeff Teague,Atlanta Hawks,79,13.9,187,156,0.834,87.0,59,146,40.4,42.5,12.3,11.2,9.6,41.2,2016,iso,,
47978,F,Danilo Gallinari,Denver Nuggets,53,18.9,183,155,0.847,92.0,44,136,32.4,33.1,7.1,20.2,16.9,42.1,2016,iso,,
47979,G,Reggie Jackson,Detroit Pistons,79,11.4,183,158,0.863,89.0,52,141,36.9,41.1,10.4,13.1,8.7,40.4,2016,iso,,
47980,F,Andrew  Wiggins,Minnesota Timberwolves,81,10.2,177,151,0.853,87.0,51,138,37.0,38.0,6.2,17.5,14.7,43.5,2016,iso,,
47981,GF,Gordon Hayward,Utah Jazz,80,11.0,176,155,0.881,75.0,51,126,40.5,42.9,12.5,18.2,16.5,44.9,2016,iso,,
47982,F,Marcus Morris,Detroit Pistons,80,14.6,175,141,0.806,88.0,61,149,40.9,41.6,9.1,6.3,6.3,40.6,2016,iso,,
47983,F,Zach Randolph,Memphis Grizzlies,68,15.8,175,155,0.886,85.0,63,148,42.6,42.9,6.9,9.1,9.1,44.6,2016,iso,,
47984,G,Dwyane Wade,Miami Heat,74,11.0,172,123,0.715,91.0,54,145,37.2,37.2,9.9,6.4,5.8,36.0,2016,iso,,
47985,GF,Jimmy Butler,Chicago Bulls,67,12.3,169,153,0.905,74.0,58,132,43.9,46.2,10.1,12.4,11.8,45.0,2016,iso,,
47986,F,Khris Middleton,Milwaukee Bucks,79,11.1,161,155,0.963,70.0,60,130,46.2,48.5,8.7,12.4,10.6,47.8,2016,iso,,
47987,G,Kyle Lowry,Toronto Raptors,77,9.8,159,148,0.931,71.0,48,119,40.3,45.0,11.9,15.7,15.1,43.4,2016,iso,,
47988,FG,Kawhi Leonard,San Antonio Spurs,72,11.8,156,154,0.987,70.0,60,130,46.2,46.9,5.8,14.1,11.5,49.4,2016,iso,,
47989,G,Kyrie Irving,Cleveland Cavaliers,53,14.3,153,145,0.948,75.0,59,134,44.0,47.4,6.5,7.2,7.2,44.4,2016,iso,,
47990,G,Isaiah Thomas,Boston Celtics,82,8.0,146,141,0.966,62.0,43,105,41.0,44.3,11.6,19.9,13.7,45.2,2016,iso,,
47991,G,Dion Waiters,Oklahoma City Thunder,78,15.2,136,105,0.772,67.0,39,106,36.8,39.2,11.8,11.8,10.3,38.2,2016,iso,,
47992,G,Jordan  Clarkson,Los Angeles Lakers,79,10.0,132,79,0.598,83.0,32,115,27.8,30.4,7.6,4.5,5.3,28.8,2016,iso,,
47993,G,Kemba Walker,Charlotte Hornets,81,7.7,130,94,0.723,78.0,30,108,27.8,30.1,5.4,13.8,11.5,34.6,2016,iso,,
47994,CF,Chris Bosh,Miami Heat,53,13.4,129,144,1.116,52.0,52,104,50.0,51.0,4.7,18.6,19.4,54.3,2016,iso,,
47995,G,Derrick Rose,Chicago Bulls,66,9.7,126,103,0.817,59.0,44,103,42.7,43.2,12.7,7.1,6.3,40.5,2016,iso,,
47996,FC,Anthony Davis,New Orleans Pelicans,61,8.7,124,84,0.677,69.0,37,106,34.9,35.4,8.9,8.1,8.1,34.7,2016,iso,,
47997,G,Lance Stephenson,Memphis Grizzlies,26,31.0,121,96,0.793,56.0,35,91,38.5,39.0,13.2,13.2,12.4,38.8,2016,iso,,
47998,G,JR Smith,Cleveland Cavaliers,77,12.8,120,88,0.733,74.0,38,112,33.9,36.2,1.7,5.8,5.8,35.8,2016,iso,,
47999,G,Brandon Knight,Phoenix Suns,52,10.4,119,105,0.882,61.0,34,95,35.8,41.6,9.2,12.6,6.7,39.5,2016,iso,,
48000,F,Paul Millsap,Atlanta Hawks,81,7.9,113,84,0.743,50.0,30,80,37.5,37.5,14.2,17.7,16.8,39.8,2016,iso,,
48001,G,Deron Williams,Dallas Mavericks,65,11.0,112,98,0.875,54.0,42,96,43.8,46.4,9.8,4.5,3.6,42.0,2016,iso,,
48002,G,Darren Collison,Sacramento Kings,74,11.1,111,100,0.901,46.0,35,81,43.2,44.4,11.7,18.9,17.1,45.9,2016,iso,,
48003,G,Joe Johnson,Brooklyn Nets,57,14.3,110,88,0.8,60.0,32,92,34.8,39.1,8.2,8.2,7.3,37.3,2016,iso,,
48004,FG,Nicolas Batum,Charlotte Hornets,70,9.3,107,80,0.748,61.0,32,93,34.4,39.2,10.3,3.7,2.8,32.7,2016,iso,,
48005,FG,Evan Turner,Boston Celtics,81,10.5,105,94,0.895,51.0,34,85,40.0,40.0,7.6,14.3,14.3,43.8,2016,iso,,
48006,G,Jrue Holiday,New Orleans Pelicans,65,8.8,105,102,0.971,51.0,35,86,40.7,46.5,7.6,14.3,13.3,42.9,2016,iso,,
48007,GF,Rodney Hood,Utah Jazz,80,8.7,103,111,1.078,48.0,43,91,47.3,54.4,4.9,6.8,3.9,48.5,2016,iso,,
48008,F,Ryan Anderson,New Orleans Pelicans,66,9.2,103,84,0.816,55.0,26,81,32.1,32.1,4.9,18.4,15.5,41.7,2016,iso,,
48009,F,Jabari Parker,Milwaukee Bucks,76,9.1,102,73,0.716,55.0,22,77,28.6,29.2,9.8,16.7,14.7,36.3,2016,iso,,
48010,F,Jerami Grant,Philadelphia 76ers,77,11.9,102,84,0.824,41.0,24,65,36.9,36.9,16.7,22.5,19.6,43.1,2016,iso,,
48011,C,Brook Lopez,Brooklyn Nets,73,6.6,99,92,0.929,46.0,34,80,42.5,42.5,6.1,16.2,15.2,46.5,2016,iso,,
48012,F,Thaddeus Young,Brooklyn Nets,73,8.4,98,79,0.806,52.0,37,89,41.6,42.1,7.1,3.1,3.1,39.8,2016,iso,,
48013,G,Zach LaVine,Minnesota Timberwolves,82,8.2,98,90,0.918,52.0,33,85,38.8,44.1,5.1,10.2,8.2,40.8,2016,iso,,
48014,G,Isaiah Canaan,Philadelphia 76ers,77,11.1,97,70,0.722,58.0,19,77,24.7,32.5,11.3,11.3,10.3,28.9,2016,iso,,
48015,C,KarlAnthony Towns,Minnesota Timberwolves,82,6.6,96,114,1.188,34.0,49,83,59.0,59.6,5.2,12.5,10.4,57.3,2016,iso,,
48016,G,Monta Ellis,Indiana Pacers,81,7.3,96,73,0.76,50.0,30,80,37.5,38.8,9.4,8.3,6.3,37.5,2016,iso,,
48017,G,Ish Smith,Philadelphia 76ers,50,10.3,95,59,0.621,54.0,24,78,30.8,32.7,11.6,7.4,7.4,31.6,2016,iso,,
48018,G,Michael CarterWilliams,Milwaukee Bucks,54,11.8,92,83,0.902,33.0,30,63,47.6,47.6,14.1,22.8,18.5,47.8,2016,iso,,
48019,G,Louis Williams,Los Angeles Lakers,67,9.3,91,108,1.187,36.0,23,59,39.0,47.5,7.7,28.6,28.6,52.7,2016,iso,,
48020,G,Will Barton,Denver Nuggets,82,7.4,91,64,0.703,52.0,26,78,33.3,36.5,11.0,6.6,5.5,31.9,2016,iso,,
48021,G,Austin Rivers,Los Angeles Clippers,67,14.3,90,73,0.811,49.0,24,73,32.9,34.2,4.4,17.8,15.6,41.1,2016,iso,,
48022,G,Raymond Felton,Dallas Mavericks,80,10.2,90,77,0.856,49.0,26,75,34.7,38.7,6.7,12.2,11.1,38.9,2016,iso,,
48023,G,Eric Bledsoe,Phoenix Suns,32,13.1,89,71,0.798,43.0,23,66,34.8,37.1,11.2,16.9,13.5,39.3,2016,iso,,
48024,G,Victor Oladipo,Orlando Magic,72,7.3,89,85,0.955,47.0,29,76,38.2,44.7,5.6,11.2,11.2,41.6,2016,iso,,
48025,C,Nikola Vucevic,Orlando Magic,65,7.2,88,91,1.034,38.0,40,78,51.3,51.9,4.5,8.0,8.0,52.3,2016,iso,,
48026,G,Cory Joseph,Toronto Raptors,80,11.2,86,71,0.826,41.0,27,68,39.7,39.7,9.3,11.6,10.5,43.0,2016,iso,,
48027,G,Rajon Rondo,Sacramento Kings,72,7.4,84,63,0.75,44.0,28,72,38.9,41.0,11.9,4.8,3.6,34.5,2016,iso,,
48028,GF,Arron Afflalo,New York Knicks,71,8.8,82,85,1.037,40.0,35,75,46.7,50.0,3.7,8.5,8.5,47.6,2016,iso,,
48029,F,Derrick Williams,New York Knicks,80,10.9,81,76,0.938,37.0,25,62,40.3,43.5,6.2,21.0,19.8,46.9,2016,iso,,
48030,G,Emmanuel Mudiay,Denver Nuggets,68,6.7,81,44,0.543,52.0,15,67,22.4,25.4,8.6,8.6,7.4,27.2,2016,iso,,
48031,G,Klay Thompson,Golden State Warriors,80,5.0,81,65,0.802,39.0,27,66,40.9,42.4,11.1,7.4,7.4,40.7,2016,iso,,
48032,C,Nerlens Noel,Philadelphia 76ers,67,9.3,79,42,0.532,39.0,15,54,27.8,27.8,20.3,12.7,11.4,27.8,2016,iso,,
48033,G,J.J. Barea,Dallas Mavericks,74,8.9,77,53,0.688,46.0,23,69,33.3,35.5,6.5,5.2,5.2,32.5,2016,iso,,
48034,G,Jeremy Lin,Charlotte Hornets,78,7.4,75,59,0.787,31.0,22,53,41.5,42.5,18.7,12.0,10.7,38.7,2016,iso,,
48035,FC,Pau Gasol,Chicago Bulls,72,5.8,75,61,0.813,34.0,20,54,37.0,37.0,10.7,17.3,12.0,44.0,2016,iso,,
48036,G,Tyreke Evans,New Orleans Pelicans,25,17.4,74,57,0.77,40.0,19,59,32.2,34.7,8.1,16.2,12.2,36.5,2016,iso,,
48037,F,Blake Griffin,Los Angeles Clippers,35,9.4,73,77,1.055,32.0,30,62,48.4,50.0,1.4,15.1,12.3,53.4,2016,iso,,
48038,G,DAngelo  Russell,Los Angeles Lakers,80,5.9,73,79,1.082,37.0,29,66,43.9,53.8,5.5,9.6,8.2,42.5,2016,iso,,
48039,F,Bojan  Bogdanovic,Brooklyn Nets,79,7.8,72,54,0.75,37.0,20,57,35.1,40.4,15.3,5.6,5.6,33.3,2016,iso,,
48040,G,Dennis Schroder,Atlanta Hawks,80,6.9,72,69,0.958,28.0,24,52,46.2,49.0,13.9,16.7,13.9,47.2,2016,iso,,
48041,G,Devin Booker,Phoenix Suns,76,6.2,70,57,0.814,37.0,18,55,32.7,35.5,5.7,17.1,15.7,38.6,2016,iso,,
48042,G,Elfrid Payton,Orlando Magic,73,7.1,70,60,0.857,31.0,24,55,43.6,43.6,8.6,15.7,11.4,44.3,2016,iso,,
48043,G,Goran Dragic,Miami Heat,72,6.2,70,64,0.914,36.0,26,62,41.9,47.6,5.7,5.7,4.3,41.4,2016,iso,,
48044,F,Stanley Johnson,Detroit Pistons,73,9.2,70,42,0.6,37.0,17,54,31.5,33.3,18.6,4.3,1.4,28.6,2016,iso,,
48045,F,Kristaps Porzingis,New York Knicks,72,6.1,68,52,0.765,35.0,21,56,37.5,37.5,8.8,10.3,7.4,39.7,2016,iso,,
48046,F,Jeff Green,Memphis Grizzlies,53,9.6,66,68,1.03,29.0,26,55,47.3,50.0,7.6,15.2,15.2,48.5,2016,iso,,
48047,F,Harrison Barnes,Golden State Warriors,66,8.7,65,53,0.815,31.0,23,54,42.6,42.6,9.2,9.2,9.2,41.5,2016,iso,,
48048,F,Chandler Parsons,Dallas Mavericks,61,7.7,62,61,0.984,26.0,17,43,39.5,43.0,9.7,25.8,24.2,45.2,2016,iso,,
48049,FC,Greg Monroe,Milwaukee Bucks,79,5.2,62,53,0.855,33.0,21,54,38.9,38.9,3.2,14.5,14.5,43.5,2016,iso,,
48050,F,Dirk Nowitzki,Dallas Mavericks,75,4.6,61,65,1.066,24.0,23,47,48.9,50.0,6.6,16.4,13.1,54.1,2016,iso,,
48051,F,Draymond Green,Golden State Warriors,81,5.0,61,55,0.902,26.0,21,47,44.7,47.9,11.5,18.0,16.4,44.3,2016,iso,,
