PLAYER_ID,PLAYER,TEAM,AGE,GP,G,FREQ%,FGM,FGA,FG%,EFG%,2FG FREQ%,2FGM,2FGA,2FG%,3FG FREQ%,3PM,3PA,3P%
1630696,Dru Smith,MIA,27.0,14,5,9.8,2,6,33.300000000000004,33.300000000000004,9.8,2,6,33.300000000000004,0.0,0,0,
1628971,Bruce Brown,NOP,28.0,20,5,4.2,2,6,33.300000000000004,33.300000000000004,4.2,2,6,33.300000000000004,0.0,0,0,
1630193,Immanuel Quickley,TOR,25.0,16,5,3.2,2,6,33.300000000000004,33.300000000000004,2.1,2,4,50.0,1.0999999999999999,0,2,0.0
1631098,Johnny Davis,MEM,22.0,34,5,7.7,1,6,16.7,16.7,7.7,1,6,16.7,0.0,0,0,
203935,Marcus Smart,WAS,30.0,19,6,4.1000000000000005,0,6,0.0,0.0,4.1000000000000005,0,6,0.0,0.0,0,0,
1641738,Kobe Brown,LAC,25.0,22,4,11.1,5,5,100.0,100.0,11.1,5,5,100.0,0.0,0,0,
1641713,GG Jackson,MEM,20.0,12,3,5.0,3,5,60.0,60.0,5.0,3,5,60.0,0.0,0,0,
1631243,Mouhamed Gueye,ATL,22.0,8,4,9.3,3,5,60.0,60.0,9.3,3,5,60.0,0.0,0,0,
200768,Kyle Lowry,PHI,38.0,33,4,4.5,3,5,60.0,60.0,4.5,3,5,60.0,0.0,0,0,
1629013,Landry Shamet,NYK,27.0,22,5,7.6,2,5,40.0,40.0,6.1,2,4,50.0,1.5,0,1,0.0
1629723,John Konchar,MEM,28.0,29,4,7.6,2,5,40.0,40.0,7.6,2,5,40.0,0.0,0,0,
1631260,AJ Green,MIL,25.0,46,5,1.7999999999999998,1,5,20.0,30.0,0.4,0,1,0.0,1.4000000000000001,1,4,25.0
1630568,Luka Garza,MIN,26.0,23,3,7.5,1,5,20.0,20.0,7.5,1,5,20.0,0.0,0,0,
1626153,Delon Wright,NYK,32.0,27,5,6.1,0,5,0.0,0.0,6.1,0,5,0.0,0.0,0,0,
1629216,Gabe Vincent,LAL,28.0,44,4,1.7000000000000002,3,4,75.0,75.0,1.7000000000000002,3,4,75.0,0.0,0,0,
1630811,Keaton Wallace,ATL,25.0,24,4,3.3000000000000003,3,4,75.0,75.0,3.3000000000000003,3,4,75.0,0.0,0,0,
1627814,Damion Lee,PHX,32.0,15,3,7.8,3,4,75.0,75.0,7.8,3,4,75.0,0.0,0,0,
1630537,Chris Duarte,CHI,27.0,17,3,15.4,2,4,50.0,50.0,15.4,2,4,50.0,0.0,0,0,
1641775,Jordan Walsh,BOS,20.0,36,4,7.3,2,4,50.0,50.0,7.3,2,4,50.0,0.0,0,0,
1626192,Pat Connaughton,MIL,32.0,30,4,3.5000000000000004,2,4,50.0,50.0,3.5000000000000004,2,4,50.0,0.0,0,0,
1629731,Dean Wade,CLE,28.0,35,3,2.1999999999999997,2,4,50.0,50.0,2.1999999999999997,2,4,50.0,0.0,0,0,
1631245,Quenton Jackson,IND,26.0,18,3,5.3,2,4,50.0,50.0,5.3,2,4,50.0,0.0,0,0,
1641736,Reece Beekman,BKN,23.0,22,4,7.8,1,4,25.0,25.0,7.8,1,4,25.0,0.0,0,0,
1629726,Garrison Mathews,ATL,28.0,43,4,1.7000000000000002,1,4,25.0,25.0,1.7000000000000002,1,4,25.0,0.0,0,0,
1629610,DaQuan Jeffries,CHA,27.0,21,3,4.1000000000000005,1,4,25.0,25.0,4.1000000000000005,1,4,25.0,0.0,0,0,
1628366,Lonzo Ball,CHI,27.0,30,4,2.0,1,4,25.0,25.0,2.0,1,4,25.0,0.0,0,0,
1631172,Ousmane Dieng,OKC,21.0,28,4,3.9,1,4,25.0,25.0,3.9,1,4,25.0,0.0,0,0,
1642269,Devin Carter,SAC,22.0,15,3,6.9,1,4,25.0,25.0,6.9,1,4,25.0,0.0,0,0,
1631255,Karlo Matković,NOP,23.0,17,4,8.5,1,4,25.0,25.0,8.5,1,4,25.0,0.0,0,0,
1641724,Jett Howard,ORL,21.0,45,3,2.1,0,4,0.0,0.0,2.1,0,4,0.0,0.0,0,0,
202692,Alec Burks,MIA,33.0,29,2,2.1999999999999997,2,3,66.7,66.7,2.1999999999999997,2,3,66.7,0.0,0,0,
1631119,Jaylin Williams,OKC,22.0,26,3,2.3,2,3,66.7,66.7,2.3,2,3,66.7,0.0,0,0,
1641794,Dillon Jones,OKC,23.0,35,3,3.5999999999999996,2,3,66.7,66.7,3.5999999999999996,2,3,66.7,0.0,0,0,
1629020,Jarred Vanderbilt,LAL,25.0,9,3,10.7,2,3,66.7,66.7,10.7,2,3,66.7,0.0,0,0,
1641890,Tyler Smith,MIL,20.0,15,3,8.799999999999999,2,3,66.7,66.7,8.799999999999999,2,3,66.7,0.0,0,0,
1631247,Luke Travers,CLE,23.0,8,2,33.300000000000004,2,3,66.7,66.7,33.300000000000004,2,3,66.7,0.0,0,0,
1630538,Bones Hyland,LAC,24.0,19,3,2.8000000000000003,2,3,66.7,83.3,1.9,1,2,50.0,0.8999999999999999,1,1,100.0
1629001,De'Anthony Melton,BKN,26.0,6,3,5.6000000000000005,2,3,66.7,66.7,5.6000000000000005,2,3,66.7,0.0,0,0,
1642402,Enrique Freeman,IND,24.0,19,3,12.0,2,3,66.7,66.7,12.0,2,3,66.7,0.0,0,0,
203552,Seth Curry,CHA,34.0,44,3,1.5,1,3,33.300000000000004,50.0,0.5,0,1,0.0,1.0,1,2,50.0
1641998,Trey Jemison III,LAL,25.0,23,2,6.7,1,3,33.300000000000004,33.300000000000004,6.7,1,3,33.300000000000004,0.0,0,0,
1641732,Colby Jones,WAS,22.0,24,3,11.5,1,3,33.300000000000004,33.300000000000004,11.5,1,3,33.300000000000004,0.0,0,0,
1630699,MarJon Beauchamp,LAC,24.0,28,3,6.1,1,3,33.300000000000004,33.300000000000004,4.1000000000000005,1,2,50.0,2.0,0,1,0.0
203967,Dario Šarić,DEN,30.0,14,3,5.800000000000001,1,3,33.300000000000004,33.300000000000004,5.800000000000001,1,3,33.300000000000004,0.0,0,0,
1641723,Kobe Bufkin,ATL,21.0,10,2,6.4,1,3,33.300000000000004,33.300000000000004,6.4,1,3,33.300000000000004,0.0,0,0,
1642366,Quinten Post,GSW,24.0,16,3,3.2,1,3,33.300000000000004,33.300000000000004,3.2,1,3,33.300000000000004,0.0,0,0,
1641809,Drew Peterson,BOS,25.0,14,3,12.0,1,3,33.300000000000004,33.300000000000004,12.0,1,3,33.300000000000004,0.0,0,0,
1631230,Dominick Barlow,ATL,21.0,16,2,6.800000000000001,1,3,33.300000000000004,33.300000000000004,6.800000000000001,1,3,33.300000000000004,0.0,0,0,
