PLAYER,TEAM,GP,W,L,MIN,Touches,PaintTouches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,Pass,Pass%,AST,AST%,TO,TOV%,PF,PF%
Aaron Gordon,DEN,10,4,6,299,366,48,18,35,51.4,0,4,0.0,36,75.0,9,18.8,3,6.3,1,2.1,2,4.2
Aaron Nesmith,BOS,5,1,4,75,96,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Abdel Nader,PHX,5,3,2,29,22,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Alec Burks,NYK,5,1,4,128,205,5,2,3,66.7,2,2,100.0,6,120.0,1,20.0,0,0.0,0,0.0,1,20.0
Alex Caruso,LAL,6,2,4,121,223,3,2,3,66.7,0,0,0.0,4,133.3,0,0.0,0,0.0,0,0.0,0,0.0
Alex Len,WAS,5,1,4,42,60,16,5,8,62.5,3,6,50.0,13,81.3,4,25.0,0,0.0,0,0.0,3,18.8
Alfonzo McKinnie,LAL,2,0,2,12,6,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Alize Johnson,BKN,5,3,2,23,36,6,2,3,66.7,0,0,0.0,4,66.7,2,33.3,0,0.0,1,16.7,0,0.0
Amir Coffey,LAC,10,9,1,16,10,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Andre Drummond,LAL,5,2,3,105,159,40,16,27,59.3,3,6,50.0,36,90.0,5,12.5,0,0.0,5,12.5,3,7.5
Andre Iguodala,MIA,4,0,4,71,114,6,1,2,50.0,0,0,0.0,2,33.3,4,66.7,1,16.7,0,0.0,0,0.0
Anfernee Simons,POR,6,2,4,107,142,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0
Anthony Davis,LAL,5,2,3,144,262,32,12,16,75.0,5,8,62.5,30,93.8,8,25.0,3,9.4,1,3.1,4,12.5
Anthony Gill,WAS,4,1,3,33,38,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Anthony Tolliver,PHI,1,1,0,2,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Austin Rivers,DEN,10,4,6,305,259,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0
Axel Toupane,MIL,4,4,0,10,13,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bam Adebayo,MIA,4,0,4,136,244,30,12,18,66.7,2,2,100.0,27,90.0,8,26.7,1,3.3,3,10.0,1,3.3
Ben McLemore,LAL,4,1,3,36,46,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ben Simmons,PHI,12,7,5,402,993,63,28,46,60.9,1,4,25.0,57,90.5,11,17.5,3,4.8,2,3.2,2,3.2
Blake Griffin,BKN,12,7,5,318,500,32,10,15,66.7,6,8,75.0,26,81.3,8,25.0,1,3.1,2,6.3,3,9.4
Boban Marjanovic,DAL,4,1,3,83,140,49,18,33,54.5,6,6,100.0,42,85.7,7,14.3,1,2.0,3,6.1,3,6.1
Bobby Portis,MIL,20,14,6,366,515,60,24,41,58.5,8,9,88.9,56,93.3,8,13.3,1,1.7,4,6.7,4,6.7
Bogdan Bogdanovic,ATL,18,10,8,598,885,15,7,13,53.8,0,0,0.0,14,93.3,2,13.3,0,0.0,0,0.0,0,0.0
Bojan Bogdanovic,UTA,11,6,5,390,431,5,2,3,66.7,0,0,0.0,4,80.0,1,20.0,0,0.0,0,0.0,0,0.0
Bol Bol,DEN,3,1,2,6,9,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bradley Beal,WAS,5,1,4,195,367,8,2,8,25.0,0,0,0.0,4,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Brandon Clarke,MEM,2,0,2,9,9,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0
Brook Lopez,MIL,23,16,7,667,576,130,73,92,79.3,13,16,81.3,161,123.8,13,10.0,2,1.5,8,6.2,8,6.2
Bruce Brown,BKN,12,7,5,277,400,62,24,43,55.8,2,4,50.0,51,82.3,13,21.0,1,1.6,3,4.8,2,3.2
Bruno Fernando,ATL,6,1,5,12,22,2,2,2,100.0,0,0,0.0,4,200.0,0,0.0,0,0.0,0,0.0,0,0.0
Bryn Forbes,MIL,20,13,7,273,242,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
CJ Elleby,POR,2,1,1,8,11,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CJ McCollum,POR,6,2,4,240,391,7,1,4,25.0,2,2,100.0,4,57.1,2,28.6,0,0.0,0,0.0,1,14.3
Cam Reddish,ATL,4,1,3,92,110,3,1,3,33.3,0,0,0.0,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Cameron Johnson,PHX,21,13,8,443,472,15,7,8,87.5,0,0,0.0,14,93.3,6,40.0,1,6.7,1,6.7,0,0.0
Cameron Payne,PHX,22,14,8,418,893,5,1,3,33.3,0,0,0.0,2,40.0,2,40.0,0,0.0,0,0.0,0,0.0
Carmelo Anthony,POR,6,2,4,143,172,1,1,1,100.0,0,0,0.0,3,300.0,0,0.0,0,0.0,0,0.0,0,0.0
Carsen Edwards,BOS,2,0,2,5,7,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cassius Winston,WAS,1,0,1,5,23,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Chandler Hutchison,WAS,2,0,2,18,25,2,1,2,50.0,0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Chris Chiozza,BKN,6,4,2,19,41,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chris Paul,PHX,20,12,8,683,1560,4,0,1,0.0,0,0,0.0,0,0.0,2,50.0,1,25.0,0,0.0,0,0.0
Clint Capela,ATL,18,10,8,569,677,175,77,118,65.3,13,30,43.3,167,95.4,25,14.3,2,1.1,13,7.4,15,8.6
Damian Lillard,POR,6,2,4,248,538,4,2,3,66.7,0,0,0.0,4,100.0,1,25.0,0,0.0,0,0.0,0,0.0
Daniel Gafford,WAS,5,1,4,117,143,38,19,22,86.4,9,14,64.3,48,126.3,6,15.8,1,2.6,1,2.6,6,15.8
Daniel Oturu,LAC,8,7,1,15,23,3,1,1,100.0,1,2,50.0,3,100.0,1,33.3,0,0.0,0,0.0,1,33.3
Danilo Gallinari,ATL,18,10,8,442,629,16,3,10,30.0,0,0,0.0,6,37.5,4,25.0,1,6.3,1,6.3,0,0.0
Danny Green,PHI,8,6,2,199,242,11,4,6,66.7,0,0,0.0,8,72.7,4,36.4,1,9.1,1,9.1,0,0.0
Dario Saric,PHX,14,11,3,147,252,39,7,14,50.0,8,8,100.0,23,59.0,17,43.6,0,0.0,0,0.0,4,10.3
Davis Bertans,WAS,4,1,3,106,93,3,1,1,100.0,0,0,0.0,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0
De'Andre Hunter,ATL,5,4,1,152,138,3,1,3,33.3,1,1,100.0,3,100.0,0,0.0,0,0.0,0,0.0,1,33.3
De'Anthony Melton,MEM,5,1,4,83,108,6,3,5,60.0,0,0,0.0,6,100.0,1,16.7,0,0.0,0,0.0,0,0.0
DeMarcus Cousins,LAC,7,1,6,58,109,23,6,15,40.0,6,6,100.0,19,82.6,3,13.0,1,4.3,2,8.7,3,13.0
