Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CTTouches,Time OfPoss,Avg Sec PerTouch,Avg Drib PerTouch,PTS PerTouch,ElbowTouches,PostUps,PaintTouches,PTS PerElbow Touch,PTS PerPost Touch,PTS PerPaint Touch,PLAYER_ID,TEAM_ID
Aaron Gordon,DEN,10,4,6,299.0,111,366,209,16.2,2.66,1.84,0.303,13,21,48,0.769,0.381,0.75,203932,1610612743
Aaron Nesmith,BOS,5,1,4,75.0,16,96,42,2.4,1.51,0.67,0.167,0,0,0,0.0,0.0,0.0,1630174,1610612738
Abdel Nader,PHX,5,3,2,29.0,4,22,14,0.7,1.79,1.09,0.182,0,0,0,0.0,0.0,0.0,1627846,1610612756
Alec Burks,NYK,5,1,4,128.0,70,205,118,14.0,4.09,3.31,0.341,4,0,5,1.0,0.0,1.2,202692,1610612752
Alex Caruso,LAL,6,2,4,121.0,35,223,109,10.7,2.87,2.04,0.157,2,0,3,1.0,0.0,1.333,1627936,1610612747
Alex Len,WAS,5,1,4,42.0,20,60,37,1.4,1.37,0.55,0.333,7,2,16,1.429,1.0,0.813,203458,1610612764
Alfonzo McKinnie,LAL,2,0,2,12.0,0,6,3,0.1,1.29,0.17,0.0,0,0,0,0.0,0.0,0.0,1628035,1610612747
Alize Johnson,BKN,5,3,2,23.0,8,36,10,2.1,3.58,2.2,0.222,0,1,6,0.0,0.0,0.667,1628993,1610612751
Amir Coffey,LAC,10,9,1,16.0,7,10,7,0.5,2.82,2.0,0.7,0,0,0,0.0,0.0,0.0,1629599,1610612746
Andre Drummond,LAL,5,2,3,105.0,45,159,76,4.1,1.56,0.45,0.283,17,11,40,0.235,0.455,0.9,203083,1610612747
Andre Iguodala,MIA,4,0,4,71.0,15,114,40,4.0,2.1,1.18,0.132,1,4,6,0.0,0.0,0.333,2738,1610612748
Anfernee Simons,POR,6,2,4,107.0,39,142,55,7.8,3.3,2.58,0.275,1,0,1,0.0,0.0,2.0,1629014,1610612757
Anthony Davis,LAL,5,2,3,144.0,87,262,169,10.1,2.31,1.03,0.332,22,21,32,0.682,0.476,0.938,203076,1610612747
Anthony Gill,WAS,4,1,3,33.0,0,38,16,0.8,1.24,0.34,0.0,1,1,1,0.0,0.0,0.0,1630264,1610612764
Anthony Tolliver,PHI,1,1,0,2.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,201229,1610612755
Austin Rivers,DEN,10,4,6,305.0,92,259,201,13.8,3.19,2.44,0.355,1,0,1,0.0,0.0,2.0,203085,1610612743
Axel Toupane,MIL,4,4,0,10.0,5,13,6,1.1,4.92,4.23,0.385,0,0,1,0.0,0.0,0.0,1626253,1610612749
Bam Adebayo,MIA,4,0,4,136.0,62,244,150,11.1,2.72,1.59,0.254,32,15,30,0.531,0.6,0.9,1628389,1610612748
Ben McLemore,LAL,4,1,3,36.0,6,46,24,1.3,1.72,0.8,0.13,1,0,0,0.0,0.0,0.0,203463,1610612747
Ben Simmons,PHI,12,7,5,402.0,143,993,296,64.4,3.89,2.93,0.144,17,21,63,0.294,0.381,0.905,1627732,1610612755
Blake Griffin,BKN,12,7,5,318.0,108,500,281,16.7,2.0,0.88,0.216,13,7,32,0.308,0.0,0.813,201933,1610612751
Boban Marjanović,DAL,4,1,3,83.0,47,140,82,3.4,1.47,0.31,0.336,13,24,49,0.615,0.583,0.857,1626246,1610612742
Bobby Portis,MIL,20,14,6,366.0,176,515,262,12.9,1.5,0.56,0.342,13,29,60,0.615,0.552,0.933,1626171,1610612749
Bogdan Bogdanović,ATL,18,10,8,598.0,253,885,497,44.6,3.02,2.13,0.286,15,4,15,0.4,0.0,0.933,203992,1610612737
