PLAYER,TEAM,AGE,POSITION,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,Diff%
Amir Johnson,PHI,32,C-F,4,2,20.0,2.0,2.0,100.0,45.7,54.4
Quincy Pondexter,SAS,31,F,3,1,20.0,1.0,1.0,100.0,49.7,50.3
Lonnie Walker IV,SAS,20,G,3,1,16.7,1.0,1.0,100.0,49.7,50.3
Isaiah Hartenstein,HOU,21,F-C,1,1,100.0,1.0,1.0,100.0,52.3,47.7
Raul Neto,UTA,27,G,3,1,16.7,1.0,1.0,100.0,54.2,45.8
Theo Pinson,BKN,23,G-F,3,2,33.3,3.0,3.0,100.0,54.6,45.4
Khyri Thomas,DET,23,G,3,2,60.0,3.0,3.0,100.0,59.1,40.9
Jose Calderon,DET,37,G,2,2,50.0,2.0,2.0,100.0,59.5,40.5
Zaza Pachulia,DET,35,C,2,2,33.3,3.0,3.0,100.0,60.3,39.7
Donatas Motiejunas,SAS,28,F-C,5,3,33.3,4.0,4.0,100.0,60.6,39.4
Gary Clark,HOU,24,F,1,1,50.0,1.0,1.0,100.0,60.6,39.4
Dante Cunningham,SAS,32,F,2,1,50.0,1.0,1.0,100.0,62.7,37.3
Jon Leuer,DET,30,F,1,1,25.0,1.0,1.0,100.0,62.9,37.1
Jarell Martin,ORL,25,F,3,1,12.5,1.0,1.0,100.0,63.0,37.0
Sindarius Thornwell,LAC,24,G,2,1,50.0,1.0,1.0,100.0,65.0,35.0
Trey Lyles,DEN,23,F,2,1,50.0,1.0,1.0,100.0,66.2,33.8
Juancho Hernangomez,DEN,23,F,4,1,12.5,1.0,1.0,100.0,66.2,33.8
Patrick McCaw,TOR,23,G,7,5,33.3,5.0,5.0,100.0,66.7,33.3
Jerome Robinson,LAC,22,G,5,2,18.8,3.0,3.0,100.0,74.2,25.8
Gerald Green,HOU,33,G-F,11,8,31.4,10.0,11.0,90.9,67.1,23.8
T.J. McConnell,PHI,27,G,9,3,13.8,3.0,4.0,75.0,51.2,23.8
D.J. Wilson,MIL,23,F,7,3,22.7,4.0,5.0,80.0,59.0,21.0
Terrence Ross,ORL,28,G-F,5,5,39.0,13.0,16.0,81.3,60.6,20.7
Caris LeVert,BKN,24,G,5,5,28.3,11.0,13.0,84.6,63.9,20.7
Jeremy Lin,TOR,30,G,6,3,30.8,3.0,4.0,75.0,55.6,19.4
Bojan Bogdanovic,IND,30,F,4,4,29.2,11.0,14.0,78.6,61.6,17.0
Glenn Robinson III,DET,25,G-F,3,3,45.5,4.0,5.0,80.0,63.5,16.5
Marcus Smart,BOS,25,G,2,2,45.5,4.0,5.0,80.0,63.8,16.2
Reggie Jackson,DET,29,G,4,4,48.0,20.0,24.0,83.3,67.2,16.1
Eric Moreland,TOR,27,F-C,8,5,39.1,7.0,9.0,77.8,61.8,16.0
Marco Belinelli,SAS,33,G-F,7,7,34.8,12.0,16.0,75.0,59.8,15.2
Patty Mills,SAS,30,G,7,7,32.4,16.0,22.0,72.7,57.9,14.8
Meyers Leonard,POR,27,F-C,11,10,37.1,28.0,36.0,77.8,63.1,14.6
Tim Frazier,MIL,28,G,7,3,31.3,4.0,5.0,80.0,65.6,14.4
Norman Powell,TOR,26,F-G,21,16,27.6,23.0,29.0,79.3,65.0,14.3
Blake Griffin,DET,30,F,2,2,22.2,5.0,6.0,83.3,69.5,13.9
Guerschon Yabusele,BOS,23,F,3,3,66.7,3.0,4.0,75.0,62.0,13.0
Lou Williams,LAC,32,G,6,5,29.3,14.0,17.0,82.4,69.6,12.8
Ekpe Udoh,UTA,32,C-F,2,1,37.5,2.0,3.0,66.7,55.1,11.5
James Ennis III,PHI,28,F,11,10,43.7,23.0,31.0,74.2,62.8,11.4
DeMarre Carroll,BKN,32,F,5,5,38.3,14.0,18.0,77.8,66.4,11.4
Shai Gilgeous-Alexander,LAC,20,G,6,6,28.8,15.0,19.0,78.9,67.7,11.3
D'Angelo Russell,BKN,23,G,5,5,34.0,12.0,16.0,75.0,63.8,11.3
Jonah Bolden,PHI,23,F,9,9,40.6,9.0,13.0,69.2,58.3,10.9
Nene,HOU,36,C-F,7,5,37.5,7.0,9.0,77.8,67.0,10.7
Spencer Dinwiddie,BKN,26,G,5,4,23.4,8.0,11.0,72.7,62.1,10.6
Jodie Meeks,TOR,31,G,12,7,37.0,7.0,10.0,70.0,59.7,10.3
Kyrie Irving,BOS,27,G,9,9,35.2,27.0,38.0,71.1,61.6,9.5
Wayne Ellington,DET,31,G,4,4,32.6,11.0,15.0,73.3,64.1,9.3
Khris Middleton,MIL,27,F,15,13,24.7,29.0,41.0,70.7,61.9,8.9
Jonas Jerebko,GSW,32,F,12,11,56.5,18.0,26.0,69.2,60.3,8.9
Andre Drummond,DET,25,C,4,4,31.6,20.0,25.0,80.0,71.1,8.9
Maurice Harkless,POR,26,F,16,15,38.5,40.0,57.0,70.2,61.6,8.6
Jamal Murray,DEN,22,G,14,14,37.8,45.0,65.0,69.2,60.7,8.5
Luke Kennard,DET,23,G,4,4,41.4,9.0,12.0,75.0,66.5,8.5
Nerlens Noel,OKC,25,F-C,5,5,51.2,15.0,22.0,68.2,60.3,7.9
Cory Joseph,IND,27,G,4,3,29.0,6.0,9.0,66.7,59.0,7.7
Jacob Evans,GSW,22,G,3,2,54.5,4.0,6.0,66.7,59.2,7.4
P.J. Tucker,HOU,34,F,11,11,35.6,46.0,63.0,73.0,66.0,7.0
Marcus Morris Sr.,BOS,29,F,9,9,42.5,31.0,45.0,68.9,62.0,6.8
Iman Shumpert,HOU,29,G,8,8,40.0,13.0,18.0,72.2,65.6,6.6
Mike Scott,PHI,30,F,10,8,38.7,16.0,24.0,66.7,60.2,6.5
Rondae Hollis-Jefferson,BKN,24,F,4,4,38.8,13.0,19.0,68.4,62.8,5.7
Paul Millsap,DEN,34,F,14,14,36.6,49.0,74.0,66.2,60.6,5.6
Michael Carter-Williams,ORL,27,G,5,3,23.1,6.0,9.0,66.7,61.5,5.2
Kevin Durant,GSW,30,F,12,12,41.5,36.0,56.0,64.3,59.3,5.0
Donovan Mitchell,UTA,22,G,5,5,32.1,11.0,18.0,61.1,56.4,4.7
