PLAYER,TEAM,GP,W,L,MIN,DREB,ContestedDREB,ContestedDREB%,DREBChances,DREBChance%,DeferredDREB Chances,AdjustedDREB Chance%,AVG DREBDistance
Aaron Gordon,ORL,5,1,4,164,25,7,28.0,37,67.6,2,71.4,5.6
Al Horford,BOS,9,5,4,310,68,16,23.5,98,69.4,8,75.6,6.9
Al-Farouq Aminu,POR,16,8,8,399,71,20,28.2,129,55.0,12,60.7,4.4
Alfonzo McKinnie,GSW,19,11,8,218,33,11,33.3,56,58.9,3,62.3,4.8
Amir Johnson,PHI,3,2,1,15,2,1,50.0,5,40.0,1,50.0,2.6
Andre Drummond,DET,4,0,4,127,32,8,25.0,47,68.1,3,72.7,4.4
Andre Iguodala,GSW,21,13,8,629,64,19,29.7,118,54.2,4,56.1,8.5
Andrew Bogut,GSW,18,12,6,176,51,11,21.6,76,67.1,5,71.8,3.8
Aron Baynes,BOS,7,4,3,104,19,5,26.3,37,51.4,4,57.6,5.9
Austin Rivers,HOU,9,5,4,206,19,4,21.1,33,57.6,7,73.1,10.7
Ben Simmons,PHI,12,7,5,421,61,6,9.8,97,62.9,8,68.5,7.4
Blake Griffin,DET,2,0,2,58,8,2,25.0,13,61.5,0,61.5,5.6
Boban Marjanovic,PHI,9,6,3,98,23,6,26.1,40,57.5,5,65.7,4.6
Bojan Bogdanovic,IND,4,0,4,148,20,2,10.0,36,55.6,3,60.6,6.3
Brad Wanamaker,BOS,1,0,1,4,0,0,0.0,1,0.0,0,0.0,18.4
Brook Lopez,MIL,14,9,5,420,70,21,30.0,131,53.4,7,56.5,6.5
Bruce Brown,DET,3,0,3,44,7,4,57.1,10,70.0,2,87.5,5.7
Bryn Forbes,SAS,6,3,3,188,24,7,29.2,36,66.7,2,70.6,7.0
CJ McCollum,POR,16,8,8,635,66,15,22.7,90,73.3,6,78.6,9.1
Caris LeVert,BKN,5,1,4,144,17,7,41.2,32,53.1,2,56.7,4.8
Chris Boucher,TOR,1,1,0,2,1,0,0.0,1,100.0,0,100.0,6.3
Chris Paul,HOU,11,6,5,397,56,12,21.4,104,53.8,14,62.2,7.6
Clint Capela,HOU,11,6,5,331,72,22,30.6,123,58.5,11,64.3,5.0
Cory Joseph,IND,4,0,4,85,6,1,16.7,16,37.5,0,37.5,7.8
D'Angelo Russell,BKN,5,1,4,148,16,2,12.5,26,61.5,2,66.7,8.6
D.J. Augustin,ORL,5,1,4,141,7,0,0.0,19,36.8,3,43.8,6.5
D.J. Wilson,MIL,6,5,1,38,9,2,22.2,13,69.2,1,75.0,4.1
Damian Jones,GSW,2,2,0,3,2,0,0.0,2,100.0,0,100.0,4.0
Damian Lillard,POR,16,8,8,650,68,13,19.1,118,57.6,10,63.0,7.6
Daniel Theis,BOS,5,4,1,33,6,2,33.3,8,75.0,2,100.0,5.5
Danilo Gallinari,LAC,6,2,4,201,28,7,25.0,44,63.6,2,66.7,5.6
Danny Green,TOR,24,16,8,684,70,10,14.3,131,53.4,9,57.4,6.7
Dante Cunningham,SAS,3,2,1,8,4,1,25.0,5,80.0,0,80.0,5.4
Danuel House Jr.,HOU,6,4,2,135,20,6,30.0,36,55.6,1,57.1,6.4
Darren Collison,IND,4,0,4,117,8,0,0.0,14,57.1,1,61.5,9.0
Davis Bertans,SAS,3,1,2,53,8,2,25.0,16,50.0,3,61.5,6.1
DeMar DeRozan,SAS,7,3,4,251,37,8,21.6,51,72.5,2,75.5,6.5
DeMarcus Cousins,GSW,7,3,4,125,30,8,26.7,48,62.5,4,68.2,4.7
DeMarre Carroll,BKN,5,1,4,119,14,2,14.3,32,43.8,5,51.9,4.9
Dennis Schroder,OKC,5,1,4,151,14,1,7.1,18,77.8,0,77.8,13.9
Deonte Burton,OKC,1,0,1,4,1,1,100.0,1,100.0,0,100.0,4.1
Derrick Favors,UTA,5,1,4,103,22,10,45.5,41,53.7,2,56.4,4.5
Derrick White,SAS,7,3,4,191,20,2,10.0,38,52.6,5,60.6,6.8
Domantas Sabonis,IND,4,0,4,96,22,8,36.4,34,64.7,3,71.0,4.2
Donatas Motiejunas,SAS,3,1,2,15,4,0,0.0,7,57.1,0,57.1,3.6
Donovan Mitchell,UTA,5,1,4,193,18,3,16.7,31,58.1,2,62.1,8.6
Doug McDermott,IND,2,0,2,24,2,0,0.0,5,40.0,0,40.0,14.6
Draymond Green,GSW,22,14,8,850,182,54,29.7,297,61.3,23,66.4,5.2
Ed Davis,BKN,3,1,2,41,15,4,26.7,23,65.2,1,68.2,4.8
Edmond Sumner,IND,1,0,1,2,2,0,0.0,2,100.0,0,100.0,5.8
Enes Freedom,POR,16,8,8,461,102,45,44.1,162,63.0,15,69.4,3.9
Eric Bledsoe,MIL,15,10,5,423,36,5,13.9,68,52.9,4,56.3,8.9
Eric Gordon,HOU,11,6,5,410,23,3,13.0,48,47.9,4,52.3,9.4
Eric Moreland,TOR,8,6,2,28,12,3,25.0,19,63.2,1,66.7,3.5
Ersan Ilyasova,MIL,14,10,4,261,51,7,13.7,83,61.4,10,69.9,4.8
Evan Fournier,ORL,5,1,4,175,13,0,0.0,21,61.9,2,68.4,9.7
Evan Turner,POR,16,8,8,245,59,16,27.1,92,64.1,8,70.2,4.9
Fred VanVleet,TOR,19,12,7,489,33,7,21.2,60,55.0,3,57.9,11.2
Furkan Korkmaz,PHI,3,2,1,26,6,3,50.0,9,66.7,0,66.7,3.9
