PLAYER,TEAM,GP,W,L,MIN,OREB,ContestedOREB,ContestedOREB%,OREBChances,OREBChance%,DeferredOREB Chances,AdjustedOREB Chance%,AVG OREBDistance
Aaron Gordon,ORL,5,1,4,164,11,6,54.5,21,52.4,1,55.0,4.8
Al Horford,BOS,9,5,4,310,13,10,76.9,38,34.2,0,34.2,5.3
Al-Farouq Aminu,POR,16,8,8,399,29,19,65.5,70,41.4,4,43.9,8.0
Alfonzo McKinnie,GSW,19,11,8,218,17,15,88.2,37,45.9,1,47.2,4.8
Amir Johnson,PHI,3,2,1,15,3,2,66.7,6,50.0,0,50.0,3.2
Andre Drummond,DET,4,0,4,127,20,15,75.0,44,45.5,2,47.6,4.3
Andre Iguodala,GSW,21,13,8,629,27,15,55.6,62,43.5,0,43.5,9.7
Andrew Bogut,GSW,18,12,6,176,23,16,69.6,43,53.5,0,53.5,5.6
Aron Baynes,BOS,7,4,3,104,6,6,100.0,18,33.3,0,33.3,5.0
Austin Rivers,HOU,9,5,4,206,2,1,50.0,11,18.2,0,18.2,3.7
Ben Simmons,PHI,12,7,5,421,23,16,69.6,65,35.4,1,35.9,6.1
Blake Griffin,DET,2,0,2,58,4,3,75.0,6,66.7,0,66.7,3.1
Boban Marjanovic,PHI,9,6,3,98,13,9,69.2,26,50.0,3,56.5,5.4
Bojan Bogdanovic,IND,4,0,4,148,3,1,33.3,9,33.3,0,33.3,12.7
Brad Wanamaker,BOS,1,0,1,4,0,0,0.0,0,0.0,0,0.0,0.0
Brook Lopez,MIL,14,9,5,420,12,10,83.3,26,46.2,1,48.0,7.4
Bruce Brown,DET,3,0,3,44,1,0,0.0,3,33.3,0,33.3,2.9
Bryn Forbes,SAS,6,3,3,188,1,0,0.0,3,33.3,0,33.3,34.9
CJ McCollum,POR,16,8,8,635,14,8,57.1,44,31.8,1,32.6,8.8
Caris LeVert,BKN,5,1,4,144,6,2,33.3,18,33.3,2,37.5,14.2
Chris Boucher,TOR,1,1,0,2,0,0,0.0,2,0.0,0,0.0,0.0
Chris Paul,HOU,11,6,5,397,14,3,21.4,26,53.8,0,53.8,13.1
Clint Capela,HOU,11,6,5,331,41,21,51.2,96,42.7,0,42.7,7.7
Cory Joseph,IND,4,0,4,85,1,1,100.0,5,20.0,0,20.0,4.7
D'Angelo Russell,BKN,5,1,4,148,2,1,50.0,6,33.3,1,40.0,2.1
D.J. Augustin,ORL,5,1,4,141,1,1,100.0,10,10.0,0,10.0,2.3
D.J. Wilson,MIL,6,5,1,38,1,1,100.0,3,33.3,0,33.3,7.0
Damian Jones,GSW,2,2,0,3,0,0,0.0,0,0.0,0,0.0,0.0
Damian Lillard,POR,16,8,8,650,8,2,25.0,38,21.1,4,23.5,12.5
Daniel Theis,BOS,5,4,1,33,4,3,75.0,10,40.0,0,40.0,2.3
Danilo Gallinari,LAC,6,2,4,201,9,5,55.6,23,39.1,0,39.1,7.7
Danny Green,TOR,24,16,8,684,17,5,29.4,54,31.5,2,32.7,11.3
Dante Cunningham,SAS,3,2,1,8,2,0,0.0,4,50.0,0,50.0,7.5
Danuel House Jr.,HOU,6,4,2,135,2,0,0.0,7,28.6,0,28.6,10.3
Darren Collison,IND,4,0,4,117,4,2,50.0,9,44.4,0,44.4,9.4
Davis Bertans,SAS,3,1,2,53,0,0,0.0,2,0.0,1,0.0,0.0
DeMar DeRozan,SAS,7,3,4,251,10,3,30.0,27,37.0,3,41.7,18.5
DeMarcus Cousins,GSW,7,3,4,125,9,8,88.9,38,23.7,2,25.0,4.6
DeMarre Carroll,BKN,5,1,4,119,6,2,33.3,21,28.6,0,28.6,12.0
Dennis Schroder,OKC,5,1,4,151,2,1,50.0,8,25.0,0,25.0,6.3
Deonte Burton,OKC,1,0,1,4,1,1,100.0,1,100.0,0,100.0,2.5
Derrick Favors,UTA,5,1,4,103,15,11,73.3,36,41.7,0,41.7,3.6
Derrick White,SAS,7,3,4,191,1,1,100.0,9,11.1,1,12.5,3.3
Domantas Sabonis,IND,4,0,4,96,7,5,71.4,21,33.3,0,33.3,3.6
Donatas Motiejunas,SAS,3,1,2,15,3,3,100.0,4,75.0,0,75.0,4.1
Donovan Mitchell,UTA,5,1,4,193,7,5,71.4,21,33.3,0,33.3,9.7
Doug McDermott,IND,2,0,2,24,3,2,66.7,3,100.0,0,100.0,13.9
Draymond Green,GSW,22,14,8,850,41,26,63.4,104,39.4,3,40.6,8.1
Ed Davis,BKN,3,1,2,41,4,2,50.0,13,30.8,0,30.8,3.5
Edmond Sumner,IND,1,0,1,2,0,0,0.0,0,0.0,0,0.0,0.0
Enes Freedom,POR,16,8,8,461,52,41,78.8,146,35.6,6,37.1,3.5
Eric Bledsoe,MIL,15,10,5,423,20,5,25.0,58,34.5,4,37.0,10.9
Eric Gordon,HOU,11,6,5,410,5,1,20.0,12,41.7,0,41.7,19.7
Eric Moreland,TOR,8,6,2,28,2,0,0.0,3,66.7,0,66.7,17.0
Ersan Ilyasova,MIL,14,10,4,261,20,10,50.0,50,40.0,0,40.0,6.4
Evan Fournier,ORL,5,1,4,175,3,0,0.0,9,33.3,1,37.5,20.1
