PLAYER,TEAM,GP,W,L,MIN,PTS,DrivePTS,DriveFG%,C&SPTS,C&SFG%,Pull UpPTS,Pull UpFG%,PaintTouch PTS,PaintTouch FG%,PostTouch PTS,PostTouch FG%,ElbowTouch PTS,ElbowTouch FG%,eFG%
Aaron Gordon,ORL,5,1,4,164,76,10,33.3,17,35.3,27,60.0,14,50.0,6,60.0,6,60.0,53.2
Aaron Holiday,IND,3,0,3,13,5,0,0.0,0,0.0,3,33.3,0,0.0,0,0.0,0,0.0,50.0
Abdel Nader,OKC,3,1,2,5,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,50.0
Al Horford,BOS,9,5,4,310,125,9,50.0,75,41.4,5,28.6,25,57.1,13,36.4,15,41.7,50.0
Al-Farouq Aminu,POR,16,8,8,399,118,21,45.0,45,29.4,4,28.6,19,43.8,0,0.0,7,75.0,41.7
Alfonzo McKinnie,GSW,22,14,8,235,66,11,71.4,30,31.3,2,50.0,13,54.5,0,0.0,0,0.0,52.5
Amir Johnson,PHI,4,3,1,20,8,2,100.0,0,0.0,0,0.0,4,100.0,2,100.0,2,100.0,100.0
Andre Drummond,DET,4,0,4,127,57,4,33.3,0,0.0,4,33.3,46,56.8,2,33.3,14,50.0,44.4
Andre Iguodala,GSW,21,13,8,629,206,14,45.5,79,34.2,15,28.6,60,78.4,0,0.0,20,69.2,57.8
Andrew Bogut,GSW,19,13,6,179,52,2,100.0,2,100.0,0,0.0,44,69.0,2,33.3,4,66.7,64.9
Anfernee Simons,POR,5,2,3,12,4,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Aron Baynes,BOS,9,5,4,115,19,0,0.0,8,37.5,0,0.0,8,66.7,2,100.0,0,0.0,64.3
Austin Rivers,HOU,10,6,4,215,74,15,35.0,27,39.1,21,46.7,2,100.0,0,0.0,0,0.0,56.5
Ben Simmons,PHI,12,7,5,421,167,55,58.1,0,0.0,0,0.0,60,71.1,8,42.9,17,70.0,62.1
Blake Griffin,DET,2,0,2,58,49,15,58.3,12,66.7,6,22.2,9,75.0,3,20.0,0,0.0,53.8
Boban Marjanovic,PHI,11,7,4,105,64,2,0.0,16,50.0,6,75.0,29,80.0,10,57.1,20,76.9,60.0
Bojan Bogdanovic,IND,4,0,4,148,72,19,45.0,20,46.7,7,16.7,2,50.0,4,100.0,2,0.0,45.2
Brad Wanamaker,BOS,4,2,2,17,10,1,0.0,3,100.0,2,25.0,0,0.0,0,0.0,0,0.0,50.0
Brook Lopez,MIL,15,10,5,438,168,34,50.0,65,31.0,7,21.4,39,81.0,11,80.0,10,80.0,53.7
Bruce Brown,DET,4,0,4,57,13,6,33.3,3,20.0,0,0.0,2,50.0,0,0.0,0,0.0,39.3
Bryn Forbes,SAS,7,3,4,212,75,16,50.0,45,50.0,12,46.2,0,0.0,0,0.0,0,0.0,61.6
CJ McCollum,POR,16,8,8,635,395,139,45.9,65,48.9,181,40.4,16,58.3,2,100.0,5,66.7,50.6
