PLAYER,TEAM,GP,W,L,MIN,DREB,ContestedDREB,ContestedDREB%,DREBChances,DREBChance%,DeferredDREB Chances,AdjustedDREB Chance%,AVG DREBDistance
AJ Price,CLE,16,6,10,237,26,6,23.1,41,63.4,3,68.4,11.7
Aaron Brooks,CHI,72,44,28,1679,134,20,14.9,272,49.3,19,53.0,10.3
Aaron Gordon,ORL,45,14,31,771,123,36,29.3,206,59.7,18,65.4,5.8
Adreian Payne,MIN,31,6,25,738,114,35,30.7,187,61.0,16,66.7,4.5
Al Horford,ATL,76,56,20,2318,413,177,42.9,707,58.4,54,63.2,5.7
Al Jefferson,CHA,65,25,40,1992,449,155,34.5,701,64.1,51,69.1,4.1
Al-Farouq Aminu,DAL,69,41,28,1347,228,76,33.3,385,59.2,46,67.3,5.6
Alan Anderson,BKN,66,31,35,1607,173,37,21.4,301,57.5,34,64.8,8.2
Alec Burks,UTA,27,9,18,899,95,18,18.9,163,58.3,17,65.1,6.8
Alex Kirk,CLE,1,0,1,2,0,0,0.0,0,0.0,0,0.0,0.0
Alex Len,PHX,66,34,32,1488,312,142,45.5,582,53.6,68,60.7,3.6
Alexey Shved,NYK,29,6,23,632,76,17,22.4,122,62.3,8,66.7,8.4
Alexis Ajinca,NOP,62,37,25,937,211,81,38.4,331,63.7,21,68.1,4.1
Allen Crabbe,POR,37,28,9,598,66,11,16.7,118,55.9,7,59.5,5.9
Alonzo Gee,POR,37,10,27,540,57,19,33.3,96,59.4,8,64.8,7.5
Amar'e Stoudemire,DAL,58,19,39,1236,218,95,43.6,400,54.5,33,59.4,3.9
Amir Johnson,TOR,74,44,30,1962,297,142,47.8,630,47.1,68,52.8,4.3
Anderson Varejao,CLE,26,16,10,636,113,42,37.2,220,51.4,19,56.2,4.7
Andre Dawkins,MIA,2,1,1,18,2,2,100.0,3,66.7,1,100.0,9.6
Andre Drummond,DET,82,32,50,2502,667,250,37.5,995,67.0,66,71.8,3.9
Andre Iguodala,GSW,73,61,12,1982,213,43,20.2,358,59.5,16,62.3,9.1
Andre Miller,SAC,61,33,28,1023,116,16,13.8,177,65.5,9,69.0,10.8
Andre Roberson,OKC,63,39,24,1234,195,55,28.2,315,61.9,27,67.7,5.9
Andrea Bargnani,NYK,27,5,22,765,95,27,28.4,166,57.2,11,61.3,5.5
Andrei Kirilenko,BKN,5,3,2,29,6,1,16.7,9,66.7,3,100.0,3.1
Andrew Bogut,GSW,67,58,9,1583,402,183,45.5,705,57.0,58,62.1,3.9
Andrew Nicholson,ORL,29,10,19,438,65,29,44.6,128,50.8,16,58.0,4.3
Andrew Wiggins,MIN,81,16,65,2937,239,76,31.8,454,52.6,30,56.4,8.1
Anthony Bennett,MIN,52,12,40,871,161,51,31.7,255,63.1,16,67.4,4.6
Anthony Davis,NOP,68,39,29,2455,523,204,39.0,730,71.6,35,75.3,4.8
Anthony Morrow,OKC,60,33,27,1536,155,38,24.5,224,69.2,18,75.2,9.0
Anthony Tolliver,DET,66,33,33,1367,185,56,30.3,389,47.6,39,52.9,5.0
Archie Goodwin,PHX,32,12,20,446,47,10,21.3,84,56.0,6,60.3,6.5
Arinze Onuaku,MIN,4,0,4,68,14,4,28.6,18,77.8,0,77.8,4.9
Aron Baynes,SAS,66,45,21,1106,209,85,40.7,370,56.5,40,63.3,4.4
Arron Afflalo,POR,75,34,41,2418,220,17,7.7,355,62.0,26,66.9,9.6
Austin Daye,ATL,24,11,13,323,65,21,32.3,103,63.1,10,69.9,6.2
Austin Rivers,LAC,65,41,24,1373,125,19,15.2,255,49.0,26,54.6,8.5
Avery Bradley,BOS,72,34,38,2292,195,26,13.3,379,51.5,42,57.9,6.1
Ben Gordon,ORL,36,9,27,560,57,10,17.5,93,61.3,8,67.1,9.1
Ben McLemore,SAC,77,27,50,2509,210,33,15.7,430,48.8,45,54.5,7.9
Beno Udrih,MEM,67,47,20,1314,123,15,12.2,239,51.5,19,55.9,10.2
Bernard James,DAL,12,6,6,147,21,7,33.3,39,53.8,4,60.0,5.6
Bismack Biyombo,CHA,61,25,36,1214,248,89,35.9,448,55.4,39,60.6,4.5
Blake Griffin,LAC,67,47,20,2356,382,131,34.3,680,56.2,47,60.3,5.0
Bojan Bogdanovic,BKN,66,30,36,1666,163,23,14.1,255,63.9,9,66.3,8.5
Boris Diaw,SAS,81,55,26,1984,270,85,31.5,514,52.5,49,58.1,5.8
Bradley Beal,WAS,61,37,24,2061,184,38,20.7,305,60.3,24,65.5,6.7
Brandan Wright,PHX,73,36,37,1430,193,85,44.0,395,48.9,41,54.5,5.2
Brandon Bass,BOS,80,40,40,1910,259,75,29.0,444,58.3,38,63.8,6.5
Brandon Davies,PHI,24,4,20,415,45,12,26.7,97,46.4,10,51.7,5.3
Brandon Jennings,DET,39,16,23,1111,83,10,12.0,159,52.2,12,56.5,10.1
