Team,Year,Season,Name,On,Off,On-Off,MinutesOn,MinutesOff
ATL,2017,2016-17,Dennis Schroder,0.282,0.255,0.027,212.0,76.0
ATL,2017,2016-17,Ersan Ilyasova,0.341,0.244,0.097,90.0,198.0
ATL,2017,2016-17,Kent Bazemore,0.347,0.198,0.149,150.0,138.0
ATL,2017,2016-17,Malcolm Delaney,0.286,0.275,0.011,3.0,285.0
ATL,2017,2016-17,Taurean Prince,0.23,0.366,-0.136,187.0,101.0
ATL,2017,2016-17,Paul Millsap,0.246,0.368,-0.122,219.0,69.0
ATL,2017,2016-17,Dwight Howard,0.207,0.357,-0.15,157.0,131.0
ATL,2017,2016-17,Jose Calderon,0.252,0.282,-0.03,75.0,213.0
ATL,2017,2016-17,Mike Dunleavy,0.36,0.255,0.105,53.0,235.0
ATL,2017,2016-17,Mike Muscala,0.4,0.227,0.173,81.0,207.0
ATL,2017,2016-17,Thabo Sefolosha,0.421,0.269,0.152,9.0,279.0
ATL,2017,2016-17,Tim Hardaway Jr.,0.239,0.354,-0.115,200.0,88.0
ATL,2017,2016-17,Kris Humphries,0.286,0.275,0.011,3.0,285.0
BOS,2017,2016-17,Amir Johnson,0.335,0.348,-0.013,142.0,727.0
BOS,2017,2016-17,Al Horford,0.35,0.334,0.016,610.0,259.0
BOS,2017,2016-17,Jordan Mickey,0.273,0.347,-0.074,18.0,851.0
BOS,2017,2016-17,Jaylen Brown,0.354,0.342,0.012,215.0,654.0
BOS,2017,2016-17,Gerald Green,0.344,0.346,-0.002,192.0,677.0
BOS,2017,2016-17,Jonas Jerebko,0.327,0.348,-0.021,128.0,741.0
BOS,2017,2016-17,Terry Rozier,0.317,0.358,-0.041,277.0,592.0
BOS,2017,2016-17,Avery Bradley,0.36,0.299,0.061,645.0,224.0
BOS,2017,2016-17,James Young,0.338,0.346,-0.007,39.0,830.0
BOS,2017,2016-17,Isaiah Thomas,0.359,0.324,0.035,521.0,348.0
BOS,2017,2016-17,Kelly Olynyk,0.352,0.341,0.011,346.0,523.0
BOS,2017,2016-17,Jae Crowder,0.35,0.335,0.014,596.0,273.0
BOS,2017,2016-17,Marcus Smart,0.327,0.372,-0.044,538.0,331.0
BOS,2017,2016-17,Tyler Zeller,0.294,0.35,-0.056,78.0,791.0
CHI,2017,2016-17,Anthony Morrow,0.333,0.353,-0.02,29.0,259.0
CHI,2017,2016-17,Paul Zipser,0.326,0.372,-0.046,136.0,152.0
CHI,2017,2016-17,Cristiano Felicio,0.352,0.351,0.001,82.0,206.0
CHI,2017,2016-17,Rajon Rondo,0.4,0.337,0.063,67.0,221.0
CHI,2017,2016-17,Jimmy Butler,0.358,0.318,0.04,239.0,49.0
CHI,2017,2016-17,Joffrey Lauvergne,0.34,0.352,-0.012,26.0,262.0
CHI,2017,2016-17,Robin Lopez,0.353,0.348,0.005,162.0,126.0
CHI,2017,2016-17,Dwyane Wade,0.369,0.315,0.054,190.0,98.0
CHI,2017,2016-17,Bobby Portis,0.319,0.375,-0.055,121.0,167.0
CHI,2017,2016-17,Cameron Payne,0.375,0.351,0.024,4.0,284.0
CHI,2017,2016-17,Michael Carter-Williams,0.33,0.356,-0.026,53.0,235.0
CHI,2017,2016-17,Jerian Grant,0.304,0.362,-0.057,52.0,236.0
CHI,2017,2016-17,Nikola Mirotic,0.377,0.318,0.059,162.0,126.0
CHI,2017,2016-17,Denzel Valentine,0.243,0.36,-0.116,22.0,266.0
CHI,2017,2016-17,Isaiah Canaan,0.36,0.346,0.014,95.0,193.0
CLE,2017,2016-17,JR Smith,0.314,0.283,0.031,487.0,377.0
CLE,2017,2016-17,Iman Shumpert,0.305,0.298,0.007,275.0,589.0
CLE,2017,2016-17,Kyle Korver,0.276,0.316,-0.04,326.0,538.0
CLE,2017,2016-17,LeBron James,0.301,0.296,0.005,744.0,120.0
CLE,2017,2016-17,Tristan Thompson,0.295,0.311,-0.016,562.0,302.0
CLE,2017,2016-17,Channing Frye,0.25,0.312,-0.062,154.0,710.0
CLE,2017,2016-17,Derrick Williams,0.38,0.297,0.084,38.0,826.0
CLE,2017,2016-17,Kyrie Irving,0.302,0.297,0.004,653.0,211.0
CLE,2017,2016-17,Dahntay Jones,0.339,0.299,0.04,33.0,831.0
CLE,2017,2016-17,Richard Jefferson,0.329,0.293,0.036,178.0,686.0
CLE,2017,2016-17,Deron Williams,0.297,0.302,-0.005,262.0,602.0
CLE,2017,2016-17,Kevin Love,0.299,0.304,-0.005,578.0,286.0
CLE,2017,2016-17,James Jones,0.375,0.298,0.077,30.0,834.0
GSW,2017,2016-17,David West,0.332,0.329,0.004,221.0,595.0
GSW,2017,2016-17,Shaun Livingston,0.38,0.311,0.07,220.0,596.0
GSW,2017,2016-17,Stephen Curry,0.337,0.307,0.029,601.0,215.0
GSW,2017,2016-17,Klay Thompson,0.317,0.364,-0.047,596.0,220.0
GSW,2017,2016-17,Andre Iguodala,0.349,0.311,0.038,419.0,397.0
GSW,2017,2016-17,Kevin Durant,0.339,0.311,0.028,533.0,283.0
GSW,2017,2016-17,Patrick McCaw,0.336,0.328,0.008,181.0,635.0
GSW,2017,2016-17,Matt Barnes,0.319,0.331,-0.012,61.0,755.0
GSW,2017,2016-17,Draymond Green,0.311,0.378,-0.067,593.0,223.0
GSW,2017,2016-17,Damian Jones,0.233,0.332,-0.098,21.0,795.0
GSW,2017,2016-17,Zaza Pachulia,0.291,0.343,-0.053,212.0,604.0
GSW,2017,2016-17,JaVale McGee,0.342,0.327,0.014,149.0,667.0
GSW,2017,2016-17,Ian Clark,0.315,0.335,-0.02,219.0,597.0
GSW,2017,2016-17,James Michael McAdoo,0.323,0.33,-0.007,55.0,761.0
HOU,2017,2016-17,Isaiah Taylor,0.412,0.353,0.059,10.0,523.0
HOU,2017,2016-17,James Harden,0.332,0.419,-0.087,407.0,126.0
HOU,2017,2016-17,Bobby Brown,0.41,0.351,0.059,22.0,511.0
HOU,2017,2016-17,Trevor Ariza,0.346,0.38,-0.034,413.0,120.0
HOU,2017,2016-17,Ryan Anderson,0.356,0.35,0.006,336.0,197.0
HOU,2017,2016-17,Kyle Wiltjer,0.545,0.351,0.194,5.0,528.0
HOU,2017,2016-17,Nene,0.268,0.391,-0.124,161.0,372.0
HOU,2017,2016-17,Sam Dekker,0.476,0.345,0.131,31.0,502.0
HOU,2017,2016-17,Troy Williams,0.424,0.351,0.073,19.0,514.0
HOU,2017,2016-17,Montrezl Harrell,0.421,0.351,0.07,21.0,512.0
HOU,2017,2016-17,Clint Capela,0.374,0.33,0.044,286.0,247.0
HOU,2017,2016-17,Lou Williams,0.37,0.336,0.034,272.0,261.0
HOU,2017,2016-17,Patrick Beverley,0.378,0.315,0.063,325.0,208.0
HOU,2017,2016-17,Eric Gordon,0.346,0.371,-0.025,358.0,175.0
IND,2017,2016-17,Lance Stephenson,0.288,0.327,-0.038,107.0,85.0
IND,2017,2016-17,Glenn Robinson III,0.179,0.331,-0.152,31.0,161.0
