PLAYER,TEAM,AGE,POSITION,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,Diff%
Yogi Ferrell,LAC,28,G,2,1,33.3,1.0,1.0,100.0,42.9,57.1
Bruno Fernando,ATL,22,F-C,1,1,33.3,1.0,1.0,100.0,42.9,57.1
Josh Green,DAL,20,G,1,1,100.0,1.0,1.0,100.0,45.7,54.3
Alfonzo McKinnie,LAL,28,F,1,1,20.0,1.0,1.0,100.0,50.0,50.0
Elfrid Payton,NYK,27,G,2,1,33.3,2.0,2.0,100.0,56.3,43.7
Vlatko Cancar,DEN,24,F,4,1,25.0,2.0,2.0,100.0,56.4,43.6
Justin Jackson,MIL,26,F,3,2,22.2,2.0,2.0,100.0,56.9,43.1
Semi Ojeleye,BOS,26,F,2,1,16.7,1.0,1.0,100.0,57.4,42.6
Axel Toupane,MIL,28,G-F,1,1,50.0,1.0,1.0,100.0,59.5,40.5
Sam Merrill,MIL,25,G,4,1,25.0,1.0,1.0,100.0,59.6,40.4
Daniel Oturu,LAC,21,C,4,3,42.9,3.0,3.0,100.0,60.0,40.0
Juwan Morgan,UTA,24,F,2,1,33.3,1.0,1.0,100.0,65.9,34.1
Talen Horton-Tucker,LAL,20,G,4,3,35.7,5.0,5.0,100.0,66.5,33.5
Timothe Luwawu-Cabarrot,BKN,26,G-F,2,1,33.3,1.0,1.0,100.0,66.7,33.3
Trent Forrest,UTA,23,G,2,1,16.7,1.0,1.0,100.0,66.7,33.3
Isaiah Joe,PHI,21,G,3,1,25.0,1.0,1.0,100.0,73.4,26.6
Nicolo Melli,DAL,30,F,3,3,50.0,4.0,5.0,80.0,55.6,24.4
Chris Chiozza,BKN,25,G,3,1,20.0,1.0,1.0,100.0,76.3,23.7
Trae Young,ATL,22,G,16,14,26.2,27.0,32.0,84.4,61.6,22.8
E'Twaun Moore,PHX,32,G,6,6,35.7,8.0,10.0,80.0,59.8,20.2
Enes Freedom,POR,29,C,5,3,36.0,15.0,18.0,83.3,64.1,19.2
Raul Neto,WAS,29,G,5,3,14.3,4.0,5.0,80.0,61.2,18.8
Josh Richardson,DAL,27,G,7,3,17.4,3.0,4.0,75.0,59.4,15.6
Alex Len,WAS,28,C,5,3,22.7,4.0,5.0,80.0,65.1,14.9
Cam Reddish,ATL,21,F-G,4,4,19.0,6.0,8.0,75.0,60.3,14.7
Bradley Beal,WAS,28,G,5,5,31.0,21.0,27.0,77.8,63.6,14.2
Austin Rivers,DEN,28,G,10,7,26.7,17.0,23.0,73.9,59.9,14.0
Joe Ingles,UTA,33,F-G,11,9,25.0,14.0,19.0,73.7,59.7,14.0
Derrick Rose,NYK,32,G,5,4,20.6,10.0,14.0,71.4,58.1,13.4
Seth Curry,PHI,30,G,12,12,27.1,26.0,35.0,74.3,61.0,13.3
Jordan Nwora,MIL,22,F,5,3,25.0,3.0,4.0,75.0,61.7,13.3
Abdel Nader,PHX,27,F,3,2,37.5,2.0,3.0,66.7,53.5,13.2
Davis Bertans,WAS,28,F,4,3,35.7,11.0,15.0,73.3,61.2,12.2
Mike Conley,UTA,33,G,6,6,35.4,20.0,28.0,71.4,59.6,11.8
Immanuel Quickley,NYK,22,G,5,3,17.4,3.0,4.0,75.0,63.8,11.2
Blake Griffin,BKN,32,F,12,12,34.3,55.0,70.0,78.6,67.6,11.0
Alec Burks,NYK,29,G,5,5,17.6,6.0,9.0,66.7,55.9,10.8
Shaquille Harrison,DEN,27,G,6,4,35.0,5.0,7.0,71.4,60.9,10.5
Kristaps Porzingis,DAL,25,F-C,7,7,43.7,28.0,38.0,73.7,63.3,10.4
Xavier Tillman,MEM,22,F,3,3,44.4,3.0,4.0,75.0,64.7,10.4
Luka Doncic,DAL,22,F-G,7,7,23.5,17.0,23.0,73.9,63.6,10.3
Donovan Mitchell,UTA,24,G,10,9,31.8,20.0,28.0,71.4,61.6,9.8
Taj Gibson,NYK,36,F,5,5,41.2,15.0,21.0,71.4,61.8,9.6
Paul Reed,PHI,22,F,2,2,57.1,3.0,4.0,75.0,65.4,9.6
Damian Lillard,POR,30,G,6,6,42.2,25.0,35.0,71.4,62.0,9.4
Russell Westbrook,WAS,32,G,5,5,41.2,15.0,21.0,71.4,62.1,9.4
John Collins,ATL,23,F-C,18,18,39.8,70.0,97.0,72.2,63.1,9.1
Rondae Hollis-Jefferson,POR,26,F,4,3,46.7,5.0,7.0,71.4,62.3,9.1
Montrezl Harrell,LAL,27,F-C,4,2,12.0,2.0,3.0,66.7,57.6,9.1
Robin Lopez,WAS,33,C,5,5,53.3,17.0,24.0,70.8,61.8,9.0
Cassius Winston,WAS,23,G,1,1,60.0,2.0,3.0,66.7,58.3,8.3
Tristan Thompson,BOS,30,C-F,5,5,43.9,18.0,25.0,72.0,63.8,8.2
Mike James,BKN,30,G,7,5,46.2,9.0,12.0,75.0,67.0,8.0
Kentavious Caldwell-Pope,LAL,28,G,5,4,27.8,11.0,15.0,73.3,65.5,7.8
CJ McCollum,POR,29,G,6,6,36.2,24.0,34.0,70.6,62.9,7.7
Georges Niang,UTA,28,F,11,7,27.9,8.0,12.0,66.7,58.9,7.7
Chris Paul,PHX,36,G,20,20,44.1,57.0,82.0,69.5,61.9,7.6
Julius Randle,NYK,26,F-C,5,5,35.8,17.0,24.0,70.8,63.2,7.6
Royce O'Neale,UTA,28,F,11,11,36.6,47.0,68.0,69.1,61.6,7.5
Grayson Allen,MEM,25,G,5,5,28.1,11.0,16.0,68.8,61.5,7.3
Matisse Thybulle,PHI,24,G-F,12,12,35.7,24.0,35.0,68.6,62.1,6.5
Evan Fournier,BOS,28,G-F,5,5,43.2,22.0,32.0,68.8,62.4,6.4
Desmond Bane,MEM,23,G,5,4,24.3,6.0,9.0,66.7,60.3,6.4
Kyle Anderson,MEM,27,F-G,5,5,26.7,8.0,12.0,66.7,60.4,6.3
Tobias Harris,PHI,28,F,12,12,38.2,38.0,55.0,69.1,63.1,5.9
Markieff Morris,LAL,31,F,4,3,36.8,5.0,7.0,71.4,65.9,5.6
Jeff Green,BKN,34,F,6,6,43.2,24.0,32.0,75.0,69.7,5.3
Jonas Valanciunas,MEM,29,C,5,5,50.0,25.0,34.0,73.5,68.3,5.2
Dewayne Dedmon,MIA,31,C,4,4,29.7,8.0,11.0,72.7,67.8,4.9
Reggie Perry,BKN,21,F-C,5,4,40.0,4.0,6.0,66.7,61.8,4.9
Terance Mann,LAC,24,G-F,17,14,24.3,25.0,36.0,69.4,64.8,4.6
Kendrick Nunn,MIA,25,G,4,4,29.2,10.0,14.0,71.4,67.1,4.4
Anthony Gill,WAS,28,F,3,2,25.0,2.0,3.0,66.7,62.3,4.4
Dillon Brooks,MEM,25,G-F,5,5,28.2,13.0,20.0,65.0,60.7,4.3
Bruce Brown,BKN,24,G-F,12,11,31.4,30.0,44.0,68.2,64.2,4.0
Monte Morris,DEN,26,G,10,7,24.7,12.0,19.0,63.2,59.5,3.7
Alize Johnson,BKN,25,F,3,2,42.9,2.0,3.0,66.7,63.4,3.2
Pat Connaughton,MIL,28,G,23,22,28.7,47.0,70.0,67.1,64.1,3.1
Maxi Kleber,DAL,29,F,7,7,38.5,20.0,30.0,66.7,63.6,3.0
De'Andre Hunter,ATL,23,F-G,5,5,23.4,9.0,15.0,60.0,57.1,2.9
Mike Scott,PHI,32,F,5,3,54.5,4.0,6.0,66.7,64.2,2.5
Bogdan Bogdanovic,ATL,28,G,18,18,35.8,65.0,101.0,64.4,61.9,2.4
Marcus Morris Sr.,LAC,31,F,19,19,32.7,56.0,84.0,66.7,64.3,2.3
Patrick Beverley,LAC,32,G,16,11,21.3,16.0,23.0,69.6,67.3,2.3
Mamadi Diakite,MIL,24,F,7,7,50.0,7.0,11.0,63.6,61.4,2.2
Devin Booker,PHX,24,G,22,21,33.9,74.0,113.0,65.5,63.4,2.1
Rui Hachimura,WAS,23,F,5,5,33.3,15.0,23.0,65.2,63.3,2.0
Dennis Schroder,LAL,27,G,6,5,23.5,14.0,20.0,70.0,68.0,2.0
Ben McLemore,LAL,28,G,2,1,30.0,2.0,3.0,66.7,64.7,2.0
Lou Williams,ATL,34,G,18,14,34.9,19.0,30.0,63.3,61.5,1.8
Aaron Gordon,DEN,25,F,10,10,35.5,24.0,38.0,63.2,61.5,1.7
Tyler Herro,MIA,21,G,4,4,30.8,8.0,12.0,66.7,65.0,1.6
Paul Millsap,DEN,36,F,9,9,48.6,10.0,17.0,58.8,57.6,1.2
Will Barton,DEN,30,G,3,3,33.3,5.0,7.0,71.4,70.3,1.2
Nikola Jokic,DEN,26,C,10,10,34.3,45.0,71.0,63.4,62.3,1.0
Tyler Johnson,BKN,29,G,7,6,37.0,6.0,10.0,60.0,59.0,1.0
Kevin Huerter,ATL,22,G-F,18,17,30.0,44.0,69.0,63.8,63.1,0.7
Reggie Bullock,NYK,30,G-F,5,5,27.4,12.0,20.0,60.0,59.5,0.5
Nicolas Batum,LAC,32,G-F,19,18,37.8,49.0,76.0,64.5,64.1,0.4
