PLAYER,TEAM,GP,W,L,MIN,OREB,ContestedOREB,ContestedOREB%,OREBChances,OREBChance%,DeferredOREB Chances,AdjustedOREB Chance%,AVG OREBDistance
Aaron Gordon,DEN,10,4,6,299,21,16,76.2,46,45.7,1,46.7,4.6
Aaron Nesmith,BOS,5,1,4,75,2,2,100.0,10,20.0,1,22.2,9.7
Abdel Nader,PHX,3,2,1,21,0,0,0.0,2,0.0,1,0.0,0.0
Alec Burks,NYK,5,1,4,128,5,1,20.0,10,50.0,1,55.6,8.0
Alex Caruso,LAL,5,2,3,97,2,1,50.0,6,33.3,0,33.3,13.7
Alex Len,WAS,4,0,4,41,4,2,50.0,10,40.0,1,44.4,3.4
Alfonzo McKinnie,LAL,1,0,1,11,0,0,0.0,1,0.0,0,0.0,0.0
Alize Johnson,BKN,5,3,2,23,3,2,66.7,10,30.0,1,33.3,3.4
Amir Coffey,LAC,2,2,0,3,0,0,0.0,0,0.0,0,0.0,0.0
Andre Drummond,LAL,5,2,3,105,19,17,89.5,33,57.6,0,57.6,4.3
Andre Iguodala,MIA,4,0,4,71,3,2,66.7,4,75.0,0,75.0,5.8
Anfernee Simons,POR,5,2,3,87,3,1,33.3,3,100.0,0,100.0,16.6
Anthony Davis,LAL,5,2,3,144,7,3,42.9,14,50.0,0,50.0,5.2
Anthony Gill,WAS,3,0,3,30,1,0,0.0,5,20.0,0,20.0,7.1
Austin Rivers,DEN,8,4,4,254,1,1,100.0,4,25.0,0,25.0,2.2
Axel Toupane,MIL,2,2,0,7,2,1,50.0,5,40.0,1,50.0,14.1
Bam Adebayo,MIA,4,0,4,136,14,10,71.4,24,58.3,0,58.3,5.8
Ben McLemore,LAL,2,1,1,20,1,0,0.0,2,50.0,0,50.0,17.6
Ben Simmons,PHI,12,7,5,402,25,15,60.0,49,51.0,0,51.0,6.4
Blake Griffin,BKN,12,7,5,318,15,10,66.7,33,45.5,2,48.4,4.1
Boban Marjanovic,DAL,4,1,3,83,14,13,92.9,30,46.7,1,48.3,3.0
Bobby Portis,MIL,20,14,6,366,33,19,57.6,72,45.8,2,47.1,5.4
Bogdan Bogdanovic,ATL,17,10,7,580,11,3,27.3,24,45.8,0,45.8,10.9
Bojan Bogdanovic,UTA,11,6,5,390,6,1,16.7,16,37.5,2,42.9,20.4
Bol Bol,DEN,1,1,0,2,0,0,0.0,0,0.0,0,0.0,0.0
Bradley Beal,WAS,5,1,4,195,6,3,50.0,17,35.3,1,37.5,10.0
Brandon Clarke,MEM,1,0,1,7,0,0,0.0,0,0.0,0,0.0,0.0
Brook Lopez,MIL,23,16,7,667,48,36,75.0,97,49.5,1,50.0,6.3
Bruce Brown,BKN,12,7,5,277,23,13,56.5,51,45.1,2,46.9,8.8
Bruno Fernando,ATL,1,0,1,1,1,0,0.0,1,100.0,0,100.0,3.8
Bryn Forbes,MIL,15,10,5,234,2,1,50.0,7,28.6,0,28.6,16.4
CJ Elleby,POR,1,1,0,4,1,1,100.0,1,100.0,0,100.0,3.9
CJ McCollum,POR,6,2,4,240,6,1,16.7,16,37.5,1,40.0,12.7
Cam Reddish,ATL,4,1,3,92,1,0,0.0,3,33.3,0,33.3,3.5
Cameron Johnson,PHX,21,13,8,443,16,7,43.8,28,57.1,0,57.1,10.2
Cameron Payne,PHX,21,14,7,414,6,0,0.0,28,21.4,0,21.4,13.5
Carmelo Anthony,POR,6,2,4,143,2,0,0.0,5,40.0,0,40.0,21.1
Carsen Edwards,BOS,1,0,1,4,0,0,0.0,0,0.0,0,0.0,0.0
Cassius Winston,WAS,1,0,1,5,1,0,0.0,2,50.0,0,50.0,8.6
Chandler Hutchison,WAS,2,0,2,18,0,0,0.0,2,0.0,0,0.0,0.0
Chris Chiozza,BKN,1,1,0,6,0,0,0.0,0,0.0,0,0.0,0.0
Chris Paul,PHX,19,12,7,649,9,1,11.1,21,42.9,1,45.0,20.5
Clint Capela,ATL,18,10,8,569,61,44,72.1,132,46.2,1,46.6,5.3
Damian Lillard,POR,6,2,4,248,1,0,0.0,10,10.0,0,10.0,8.7
Daniel Gafford,WAS,5,1,4,117,14,9,64.3,27,51.9,0,51.9,3.0
Daniel Oturu,LAC,4,3,1,8,2,2,100.0,3,66.7,0,66.7,1.1
Danilo Gallinari,ATL,18,10,8,442,8,5,62.5,20,40.0,0,40.0,10.7
Danny Green,PHI,8,6,2,198,9,4,44.4,19,47.4,0,47.4,6.9
Dario Saric,PHX,13,10,3,139,9,6,66.7,25,36.0,1,37.5,8.8
Davis Bertans,WAS,3,1,2,75,0,0,0.0,0,0.0,0,0.0,0.0
De'Andre Hunter,ATL,5,4,1,152,2,1,50.0,11,18.2,0,18.2,12.0
De'Anthony Melton,MEM,5,1,4,83,4,2,50.0,8,50.0,0,50.0,6.1
DeMarcus Cousins,LAC,5,1,4,54,6,5,83.3,17,35.3,0,35.3,3.4
