PLAYER,TEAM,GP,W,L,MIN,DREB,ContestedDREB,ContestedDREB%,DREBChances,DREBChance%,DeferredDREB Chances,AdjustedDREB Chance%,AVG DREBDistance
Aaron Gordon,DEN,10,4,6,299,33,12,36.4,54,61.1,4,66.0,5.0
Aaron Nesmith,BOS,5,1,4,75,11,1,9.1,23,47.8,5,61.1,3.5
Abdel Nader,PHX,3,2,1,21,5,0,0.0,7,71.4,1,83.3,5.3
Alec Burks,NYK,5,1,4,128,20,4,20.0,31,64.5,3,71.4,6.5
Alex Caruso,LAL,5,2,3,97,6,2,33.3,11,54.5,2,66.7,5.8
Alex Len,WAS,4,0,4,41,7,2,28.6,12,58.3,2,70.0,3.9
Alfonzo McKinnie,LAL,1,0,1,11,1,0,0.0,1,100.0,0,100.0,1.6
Alize Johnson,BKN,5,3,2,23,10,3,30.0,12,83.3,1,90.9,3.6
Amir Coffey,LAC,2,2,0,3,2,1,50.0,2,100.0,0,100.0,5.6
Andre Drummond,LAL,5,2,3,105,36,5,13.9,53,67.9,6,76.6,4.9
Andre Iguodala,MIA,4,0,4,71,9,3,33.3,15,60.0,2,69.2,6.6
Anfernee Simons,POR,5,2,3,87,13,3,23.1,18,72.2,1,76.5,9.2
Anthony Davis,LAL,5,2,3,144,26,10,38.5,43,60.5,7,72.2,4.3
Anthony Gill,WAS,3,0,3,30,3,1,33.3,4,75.0,1,100.0,6.1
Austin Rivers,DEN,8,4,4,254,16,1,6.3,27,59.3,2,64.0,10.4
Axel Toupane,MIL,2,2,0,7,2,1,50.0,2,100.0,0,100.0,6.6
Bam Adebayo,MIA,4,0,4,136,23,11,47.8,38,60.5,5,69.7,4.4
Ben McLemore,LAL,2,1,1,20,6,2,33.3,7,85.7,0,85.7,6.5
Ben Simmons,PHI,12,7,5,402,70,11,15.7,91,76.9,2,78.7,9.5
Blake Griffin,BKN,12,7,5,318,56,19,33.9,101,55.4,8,60.2,4.1
Boban Marjanovic,DAL,4,1,3,83,18,6,33.3,27,66.7,2,72.0,4.4
Bobby Portis,MIL,20,14,6,366,67,19,28.4,111,60.4,9,65.7,4.9
Bogdan Bogdanovic,ATL,17,10,7,580,64,15,23.4,130,49.2,10,53.3,7.1
Bojan Bogdanovic,UTA,11,6,5,390,41,3,7.3,65,63.1,3,66.1,6.5
Bol Bol,DEN,1,1,0,2,1,0,0.0,1,100.0,0,100.0,19.5
Bradley Beal,WAS,5,1,4,195,25,6,24.0,39,64.1,2,67.6,6.3
Brandon Clarke,MEM,1,0,1,7,1,0,0.0,2,50.0,0,50.0,2.5
Brook Lopez,MIL,23,16,7,667,87,44,50.6,152,57.2,16,64.0,6.2
Bruce Brown,BKN,12,7,5,277,38,9,23.7,66,57.6,4,61.3,7.1
Bruno Fernando,ATL,1,0,1,1,0,0,0.0,0,0.0,0,0.0,0.0
Bryn Forbes,MIL,15,10,5,234,26,7,26.9,39,66.7,5,76.5,7.1
CJ Elleby,POR,1,1,0,4,2,0,0.0,2,100.0,0,100.0,12.3
CJ McCollum,POR,6,2,4,240,30,1,3.3,42,71.4,3,76.9,8.3
Cam Reddish,ATL,4,1,3,92,13,3,23.1,21,61.9,1,65.0,8.5
Cameron Johnson,PHX,21,13,8,443,50,14,28.0,96,52.1,11,58.8,7.8
Cameron Payne,PHX,21,14,7,414,49,7,14.3,83,59.0,7,64.5,6.6
Carmelo Anthony,POR,6,2,4,143,17,5,29.4,28,60.7,2,65.4,8.1
Carsen Edwards,BOS,1,0,1,4,1,0,0.0,1,100.0,0,100.0,9.3
Cassius Winston,WAS,1,0,1,5,1,0,0.0,2,50.0,1,100.0,13.5
Chandler Hutchison,WAS,2,0,2,18,3,1,33.3,3,100.0,0,100.0,3.3
Chris Chiozza,BKN,1,1,0,6,1,0,0.0,4,25.0,0,25.0,11.0
Chris Paul,PHX,19,12,7,649,61,6,9.8,110,55.5,12,62.2,9.2
Clint Capela,ATL,18,10,8,569,140,42,30.0,204,68.6,19,75.7,4.5
Damian Lillard,POR,6,2,4,248,25,3,12.0,49,51.0,2,53.2,8.0
Daniel Gafford,WAS,5,1,4,117,15,7,46.7,33,45.5,3,50.0,4.1
Daniel Oturu,LAC,4,3,1,8,2,1,50.0,2,100.0,0,100.0,2.3
Danilo Gallinari,ATL,18,10,8,442,62,18,29.0,114,54.4,14,62.0,5.8
Danny Green,PHI,8,6,2,198,12,5,41.7,23,52.2,4,63.2,6.3
Dario Saric,PHX,13,10,3,139,26,6,23.1,45,57.8,3,61.9,5.3
Davis Bertans,WAS,3,1,2,75,11,0,0.0,18,61.1,0,61.1,5.4
De'Andre Hunter,ATL,5,4,1,152,18,3,16.7,29,62.1,2,66.7,8.5
De'Anthony Melton,MEM,5,1,4,83,12,4,33.3,25,48.0,1,50.0,6.1
DeMarcus Cousins,LAC,5,1,4,54,8,4,50.0,19,42.1,3,50.0,5.9
Deandre Ayton,PHX,22,14,8,801,193,58,30.1,275,70.2,18,75.1,4.3
Dennis Schroder,LAL,6,2,4,196,17,4,23.5,26,65.4,2,70.8,8.9
Derrick Favors,UTA,10,5,5,133,27,14,51.9,50,54.0,4,58.7,3.8
Derrick Jones Jr.,POR,1,0,1,5,0,0,0.0,0,0.0,0,0.0,0.0
