PLAYER,TEAM,GP,W,L,MIN,PTS,DrivePTS,DriveFG%,C&SPTS,C&SFG%,Pull UpPTS,Pull UpFG%,PaintTouch PTS,PaintTouch FG%,PostTouch PTS,PostTouch FG%,ElbowTouch PTS,ElbowTouch FG%,eFG%
Aaron Gordon,DEN,10,4,6,299,111,22,33.3,22,42.1,15,31.6,36,51.4,8,57.1,10,62.5,48.0
Aaron Nesmith,BOS,5,1,4,75,16,0,0.0,14,41.7,0,0.0,0,0.0,0,0.0,0,0.0,38.9
Abdel Nader,PHX,5,3,2,29,4,2,33.3,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,33.3
Alec Burks,NYK,5,1,4,128,70,17,42.9,21,57.1,19,29.6,6,66.7,0,0.0,4,33.3,50.0
Alex Caruso,LAL,6,2,4,121,35,12,45.5,15,31.3,2,33.3,4,66.7,0,0.0,2,100.0,43.4
Alex Len,WAS,5,1,4,42,20,0,0.0,2,50.0,0,0.0,13,62.5,2,50.0,10,100.0,57.1
Alfonzo McKinnie,LAL,2,0,2,12,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Alize Johnson,BKN,5,3,2,23,8,2,100.0,0,0.0,0,0.0,4,66.7,0,0.0,0,0.0,57.1
Amir Coffey,LAC,10,9,1,16,7,4,100.0,3,50.0,2,100.0,0,0.0,0,0.0,0,0.0,87.5
Andre Drummond,LAL,5,2,3,105,45,3,33.3,0,0.0,0,0.0,36,59.3,5,66.7,4,33.3,59.4
Andre Iguodala,MIA,4,0,4,71,15,4,100.0,9,60.0,0,0.0,2,50.0,0,0.0,0,0.0,68.2
Anfernee Simons,POR,6,2,4,107,39,2,33.3,30,62.5,5,33.3,2,100.0,0,0.0,0,0.0,78.0
Anthony Davis,LAL,5,2,3,144,87,13,50.0,8,15.0,6,21.4,30,75.0,10,28.6,15,54.5,41.9
Anthony Gill,WAS,4,1,3,33,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Anthony Tolliver,PHI,1,1,0,2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Austin Rivers,DEN,10,4,6,305,92,29,47.6,45,45.5,12,22.2,2,100.0,0,0.0,0,0.0,57.2
Axel Toupane,MIL,4,4,0,10,5,0,0.0,3,50.0,2,100.0,0,0.0,0,0.0,0,0.0,62.5
Bam Adebayo,MIA,4,0,4,136,62,4,25.0,12,50.0,10,35.7,27,66.7,9,44.4,17,46.7,45.6
Ben McLemore,LAL,4,1,3,36,6,0,0.0,6,33.3,0,0.0,0,0.0,0,0.0,0,0.0,33.3
Ben Simmons,PHI,12,7,5,402,143,30,65.2,0,0.0,2,25.0,57,60.9,8,50.0,5,40.0,62.1
Blake Griffin,BKN,12,7,5,318,108,10,55.6,33,36.7,9,50.0,26,66.7,0,0.0,4,50.0,62.0
