TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%,shot_coverage,year
Boston Celtics,24,24,30.7,276,603,45.8,56.6,12.4,145,244,59.4,18.3,131,359,36.5,open,2022
Golden State Warriors,22,22,30.7,268,582,46.0,56.5,13.3,146,252,57.9,17.4,122,330,37.0,open,2022
Dallas Mavericks,18,18,33.4,209,486,43.0,54.0,13.1,102,190,53.7,20.3,107,296,36.1,open,2022
Miami Heat,18,18,31.1,189,478,39.5,46.9,15.2,119,234,50.9,15.9,70,244,28.7,open,2022
Phoenix Suns,13,13,33.1,178,356,50.0,57.0,19.3,128,208,61.5,13.8,50,148,33.8,open,2022
Milwaukee Bucks,12,12,29.2,111,309,35.9,41.9,14.4,74,152,48.7,14.9,37,157,23.6,open,2022
Memphis Grizzlies,12,12,27.7,129,304,42.4,53.0,11.5,65,126,51.6,16.2,64,178,36.0,open,2022
Philadelphia 76ers,12,12,29.2,137,274,50.0,60.4,13.2,80,124,64.5,16.0,57,150,38.0,open,2022
Toronto Raptors,6,6,31.8,67,164,40.9,48.5,14.7,42,76,55.3,17.1,25,88,28.4,open,2022
Minnesota Timberwolves,6,6,33.3,64,164,39.0,47.9,15.2,35,75,46.7,18.1,29,89,32.6,open,2022
Utah Jazz,6,6,32.1,71,152,46.7,54.6,16.2,47,77,61.0,15.8,24,75,32.0,open,2022
Atlanta Hawks,5,5,38.6,56,151,37.1,45.0,16.4,32,64,50.0,22.3,24,87,27.6,open,2022
Chicago Bulls,5,5,28.6,53,129,41.1,46.1,18.2,40,82,48.8,10.4,13,47,27.7,open,2022
New Orleans Pelicans,6,6,25.1,59,127,46.5,55.5,13.6,36,69,52.2,11.5,23,58,39.7,open,2022
Denver Nuggets,5,5,27.1,52,112,46.4,57.6,10.6,27,44,61.4,16.4,25,68,36.8,open,2022
Brooklyn Nets,4,4,27.9,44,87,50.6,60.9,14.7,26,46,56.5,13.1,18,41,43.9,open,2022
Boston Celtics,24,24,40.6,363,796,45.6,48.5,32.9,317,646,49.1,7.6,46,150,30.7,tight,2022
Golden State Warriors,22,22,39.1,394,741,53.2,56.5,31.7,344,601,57.2,7.4,50,140,35.7,tight,2022
Miami Heat,18,18,43.8,340,673,50.5,53.6,35.4,298,543,54.9,8.5,42,130,32.3,tight,2022
