Team,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Atlanta Hawks,82,43,39,19880,3333,627,1433,43.8,344,447,77.0,1641,49.2,1067,32.0,276,8.3,272,8.2,226,6.8
Boston Celtics,82,53,29,19755,3067,600,1278,46.9,400,474,84.4,1662,54.2,977,31.9,300,9.8,203,6.6,241,7.9
Brooklyn Nets,81,20,61,19515,3751,690,1497,46.1,474,613,77.3,1907,50.8,1259,33.6,291,7.8,306,8.2,313,8.3
Charlotte Hornets,82,36,46,19830,3012,641,1451,44.2,345,429,80.4,1681,55.8,896,29.7,253,8.4,142,4.7,217,7.2
Chicago Bulls,82,41,41,19780,3376,595,1340,44.4,389,469,82.9,1631,48.3,1172,34.7,370,11.0,217,6.4,240,7.1
Cleveland Cavaliers,82,51,31,19880,2800,596,1255,47.5,358,465,77.0,1605,57.3,808,28.9,240,8.6,199,7.1,234,8.4
Dallas Mavericks,81,32,49,19540,3068,584,1243,47.0,330,395,83.5,1540,50.2,1068,34.8,271,8.8,223,7.3,199,6.5
Denver Nuggets,81,39,42,19515,3323,620,1365,45.4,357,462,77.3,1644,49.5,1105,33.3,338,10.2,239,7.2,234,7.0
Detroit Pistons,82,37,45,19805,3003,646,1412,45.8,280,340,82.4,1598,53.2,904,30.1,285,9.5,183,6.1,171,5.7
Golden State Warriors,82,67,15,19780,2204,436,913,47.8,266,332,80.1,1174,53.3,714,32.4,230,10.4,148,6.7,169,7.7
Houston Rockets,82,55,27,19780,3540,612,1334,45.9,401,504,79.6,1665,47.0,1204,34.0,432,12.2,251,7.1,256,7.2
Indiana Pacers,81,42,39,19615,2972,533,1185,45.0,354,432,81.9,1465,49.3,973,32.7,331,11.1,209,7.0,217,7.3
LA Clippers,82,51,31,19755,2629,572,1197,47.8,296,380,77.9,1487,56.6,760,28.9,252,9.6,176,6.7,193,7.3
Los Angeles Lakers,82,26,56,19705,3018,667,1502,44.4,322,447,72.0,1703,56.4,783,25.9,230,7.6,232,7.7,225,7.5
Memphis Grizzlies,82,43,39,19905,2595,472,1092,43.2,338,423,79.9,1325,51.1,840,32.4,228,8.8,179,6.9,214,8.2
Miami Heat,82,41,41,19780,4047,682,1550,44.0,304,418,72.7,1725,42.6,1508,37.3,417,10.3,284,7.0,213,5.3
Milwaukee Bucks,82,42,40,19780,3425,640,1390,46.0,322,416,77.4,1641,47.9,1152,33.6,396,11.6,207,6.0,210,6.1
Minnesota Timberwolves,82,31,51,19805,2846,523,1162,45.0,383,490,78.2,1475,51.8,911,32.0,250,8.8,207,7.3,248,8.7
New Orleans Pelicans,82,34,48,19905,3261,666,1458,45.7,348,450,77.3,1718,52.7,986,30.2,313,9.6,220,6.7,230,7.1
New York Knicks,82,31,51,19855,2641,518,1215,42.6,287,359,79.9,1361,51.5,778,29.5,257,9.7,165,6.2,183,6.9
Oklahoma City Thunder,82,47,35,19805,3055,517,1196,43.2,318,410,77.6,1391,45.5,1058,34.6,319,10.4,228,7.5,208,6.8
Orlando Magic,82,29,53,19805,3052,558,1279,43.6,334,424,78.8,1501,49.2,998,32.7,280,9.2,222,7.3,213,7.0
Philadelphia 76ers,82,28,54,19830,3884,635,1407,45.1,392,486,80.7,1698,43.7,1420,36.6,389,10.0,335,8.6,248,6.4
Phoenix Suns,80,23,57,19350,3355,658,1489,44.2,387,471,82.2,1767,52.7,1045,31.1,279,8.3,242,7.2,242,7.2
Portland Trail Blazers,82,41,41,19930,3137,668,1487,44.9,432,508,85.0,1818,58.0,865,27.6,254,8.1,205,6.5,259,8.3
Sacramento Kings,82,32,50,19880,3009,524,1170,44.8,370,471,78.6,1471,48.9,1019,33.9,306,10.2,204,6.8,242,8.0
San Antonio Spurs,81,61,20,19565,3205,516,1174,44.0,310,378,82.0,1368,42.7,1186,37.0,360,11.2,211,6.6,192,6.0
Toronto Raptors,81,50,31,19540,3764,801,1642,48.8,491,604,81.3,2142,56.9,1201,31.9,343,9.1,212,5.6,307,8.2
Utah Jazz,82,51,31,19755,3679,687,1473,46.6,355,452,78.5,1787,48.6,1272,34.6,357,9.7,269,7.3,227,6.2
Washington Wizards,82,49,33,19855,3039,619,1277,48.5,365,473,77.2,1658,54.6,901,29.6,322,10.6,241,7.9,241,7.9
