Name,Minutes,Points,FG2M,FG2A,FG3M,FG3A,TsPct,AssistPoints,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,OffensiveGoaltends,FTA,OffPoss,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,DefPoss,TotalPoss
Jamal Murray,578,305.0,77.0,154.0,34.0,96.0,0.5507246376811594,173.0,21.0,19.0,6.0,11.0,16.0,5.0,34.0,3.0,24.0,10.0,2.0,10.0,,2.0,44.0,,56.0,1137,54.0,100.0,51.0,51.0,1131,2268
Nikola Jokić,563,367.0,104.0,197.0,27.0,71.0,0.5828025477707006,272.0,46.0,14.0,4.0,18.0,30.0,11.0,35.0,4.0,19.0,20.0,1.0,16.0,,1.0,55.0,1.0,101.0,1119,90.0,118.0,60.0,21.0,1114,2233
Christian Braun,544,177.0,46.0,77.0,21.0,71.0,0.5429447852760736,79.0,13.0,7.0,3.0,4.0,7.0,5.0,5.0,2.0,2.0,9.0,2.0,3.0,,1.0,14.0,,31.0,1079,70.0,22.0,48.0,15.0,1090,2169
Aaron Gordon,522,227.0,59.0,109.0,22.0,58.0,0.6005291005291006,94.0,14.0,4.0,2.0,6.0,12.0,5.0,13.0,1.0,5.0,13.0,4.0,8.0,1.0,2.0,26.0,1.0,50.0,1023,68.0,50.0,54.0,12.0,1025,2048
OG Anunoby,480,189.0,36.0,84.0,29.0,80.0,0.5279329608938548,37.0,6.0,1.0,1.0,4.0,3.0,16.0,11.0,2.0,6.0,11.0,3.0,5.0,1.0,,22.0,1.0,34.0,950,40.0,32.0,75.0,12.0,957,1907
Mikal Bridges,477,185.0,58.0,111.0,21.0,64.0,0.5196629213483146,82.0,8.0,7.0,5.0,5.0,9.0,7.0,13.0,3.0,9.0,10.0,2.0,4.0,,2.0,23.0,,7.0,933,44.0,72.0,60.0,3.0,934,1867
Jalen Brunson,468,346.0,85.0,177.0,33.0,91.0,0.5566343042071198,230.0,35.0,8.0,3.0,22.0,24.0,2.0,19.0,7.0,13.0,12.0,4.0,6.0,,,31.0,,94.0,930,16.0,154.0,54.0,45.0,917,1847
Josh Hart,444,158.0,36.0,70.0,18.0,43.0,0.5939849624060151,151.0,22.0,11.0,2.0,10.0,17.0,7.0,12.0,5.0,8.0,10.0,2.0,4.0,,,22.0,,42.0,870,48.0,24.0,51.0,3.0,863,1733
Michael Porter Jr.,435,128.0,23.0,50.0,24.0,70.0,0.5079365079365079,25.0,1.0,,1.0,,7.0,2.0,7.0,1.0,2.0,6.0,,5.0,1.0,1.0,13.0,,14.0,859,32.0,14.0,72.0,,847,1706
Karl-Anthony Towns,428,237.0,73.0,139.0,15.0,44.0,0.5771144278606966,30.0,8.0,1.0,,,4.0,5.0,5.0,3.0,3.0,19.0,4.0,2.0,1.0,,24.0,1.0,50.0,843,82.0,64.0,42.0,3.0,832,1675
Derrick White,415,207.0,28.0,43.0,40.0,104.0,0.6388888888888888,91.0,18.0,4.0,4.0,1.0,12.0,4.0,8.0,4.0,5.0,5.0,,3.0,,1.0,13.0,,36.0,785,24.0,32.0,102.0,18.0,788,1573
Shai Gilgeous-Alexander,403,319.0,93.0,172.0,17.0,58.0,0.5851851851851851,179.0,18.0,12.0,1.0,14.0,25.0,7.0,17.0,3.0,7.0,5.0,1.0,10.0,,,22.0,,96.0,841,30.0,156.0,6.0,45.0,833,1674
Jaylen Brown,402,243.0,65.0,132.0,21.0,63.0,0.5424107142857143,109.0,17.0,2.0,1.0,5.0,18.0,6.0,22.0,6.0,9.0,17.0,4.0,13.0,,,39.0,,66.0,767,38.0,92.0,45.0,18.0,764,1531
Anthony Edwards,399,265.0,59.0,120.0,35.0,91.0,0.5617021276595745,143.0,22.0,12.0,,11.0,14.0,6.0,16.0,3.0,9.0,7.0,1.0,7.0,1.0,,23.0,,57.0,768,50.0,68.0,75.0,30.0,768,1536
Jimmy Butler III,397,211.0,57.0,116.0,11.0,36.0,0.5702702702702702,144.0,13.0,12.0,2.0,5.0,25.0,3.0,7.0,2.0,3.0,6.0,,4.0,,1.0,13.0,,80.0,763,40.0,74.0,30.0,3.0,766,1529
Draymond Green,389,109.0,26.0,48.0,16.0,60.0,0.4823008849557522,110.0,19.0,5.0,4.0,4.0,14.0,5.0,19.0,7.0,19.0,17.0,3.0,,,1.0,36.0,,13.0,744,36.0,16.0,48.0,,751,1495
Jalen Williams,385,216.0,66.0,125.0,15.0,59.0,0.5143540669856459,152.0,18.0,16.0,3.0,10.0,16.0,10.0,11.0,2.0,6.0,5.0,1.0,5.0,,1.0,16.0,,52.0,799,56.0,76.0,30.0,15.0,801,1600
Brandin Podziemski,385,135.0,26.0,65.0,22.0,67.0,0.47202797202797203,92.0,11.0,5.0,3.0,8.0,10.0,4.0,15.0,2.0,13.0,3.0,,2.0,,1.0,18.0,,24.0,747,32.0,20.0,54.0,12.0,745,1492
Julius Randle,376,239.0,67.0,114.0,19.0,55.0,0.6223958333333334,148.0,23.0,5.0,1.0,7.0,23.0,3.0,12.0,4.0,6.0,19.0,2.0,6.0,,4.0,31.0,,54.0,723,66.0,68.0,42.0,15.0,728,1451
Jaden McDaniels,360,154.0,52.0,83.0,10.0,29.0,0.6311475409836066,35.0,3.0,1.0,,1.0,8.0,3.0,5.0,1.0,4.0,6.0,1.0,1.0,2.0,,11.0,,23.0,681,62.0,42.0,30.0,,682,1363
Al Horford,348,88.0,20.0,37.0,14.0,35.0,0.5866666666666667,52.0,6.0,2.0,,1.0,11.0,2.0,2.0,2.0,,5.0,1.0,2.0,,,7.0,,7.0,654,24.0,16.0,42.0,,659,1313
Tyrese Haliburton,341,175.0,41.0,68.0,22.0,65.0,0.589041095890411,227.0,22.0,19.0,11.0,20.0,21.0,3.0,17.0,1.0,12.0,4.0,2.0,5.0,1.0,,21.0,,34.0,711,24.0,58.0,33.0,33.0,694,1405
Chet Holmgren,332,173.0,42.0,77.0,17.0,53.0,0.565359477124183,24.0,5.0,,1.0,1.0,3.0,4.0,8.0,1.0,3.0,5.0,2.0,5.0,,1.0,13.0,1.0,49.0,687,64.0,20.0,51.0,,689,1376
Andrew Nembhard,328,146.0,33.0,65.0,22.0,44.0,0.6293103448275862,150.0,13.0,13.0,4.0,9.0,21.0,6.0,8.0,3.0,6.0,9.0,2.0,2.0,,2.0,17.0,,16.0,667,32.0,34.0,45.0,21.0,664,1331
