PLAYER,TEAM,AGE,POSITION,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,Diff%,year
Rudy Gobert,UTA,29,C,71,71,37.3,291.0,590.0,49.3,63.0,-13.6,2021
Nikola Jokic,DEN,26,C,71,71,42.8,335.0,547.0,61.2,62.9,-1.6,2021
Jakob Poeltl,SAS,25,C,69,68,44.8,282.0,534.0,52.8,62.5,-9.7,2021
Domantas Sabonis,IND,25,F-C,61,61,47.7,296.0,528.0,56.1,62.5,-6.4,2021
Brook Lopez,MIL,33,C,69,69,34.6,240.0,473.0,50.7,62.4,-11.7,2021
Nikola Vucevic,CHI,30,C,69,69,40.0,289.0,472.0,61.2,63.4,-2.1,2021
Jarrett Allen,CLE,23,C,63,63,49.4,249.0,466.0,53.4,62.7,-9.3,2021
Enes Freedom,POR,29,C,69,69,43.7,279.0,453.0,61.6,63.1,-1.5,2021
Robert Covington,POR,30,F,67,66,43.9,270.0,432.0,62.5,62.2,0.3,2021
P.J. Washington,CHA,22,F,63,63,46.8,262.0,431.0,60.8,61.9,-1.1,2021
Clint Capela,ATL,27,C,63,63,44.4,226.0,427.0,52.9,62.5,-9.6,2021
Deandre Ayton,PHX,22,C,67,66,36.3,233.0,416.0,56.0,62.7,-6.7,2021
Richaun Holmes,SAC,27,F,60,59,46.2,229.0,414.0,55.3,62.8,-7.5,2021
Joel Embiid,PHI,27,C-F,51,51,46.5,236.0,414.0,57.0,62.3,-5.3,2021
Kelly Olynyk,HOU,30,F-C,70,70,39.4,259.0,413.0,62.7,62.4,0.4,2021
Myles Turner,IND,25,C-F,46,46,50.2,206.0,412.0,50.0,62.4,-12.4,2021
Buddy Hield,SAC,28,G,69,69,42.7,256.0,412.0,62.1,61.2,0.9,2021
Jonas Valanciunas,MEM,29,C,62,62,39.5,240.0,410.0,58.5,62.6,-4.0,2021
Mason Plumlee,DET,31,F-C,56,56,49.3,259.0,406.0,63.8,63.8,0.0,2021
Julius Randle,NYK,26,F-C,70,68,38.8,226.0,400.0,56.5,63.0,-6.5,2021
Nerlens Noel,NYK,27,C-F,63,63,54.8,222.0,393.0,56.5,62.6,-6.1,2021
Justin Holiday,IND,32,F-G,71,69,43.5,216.0,389.0,55.5,61.9,-6.4,2021
Isaiah Stewart,DET,20,F-C,68,67,43.5,204.0,388.0,52.6,61.6,-9.0,2021
Mikal Bridges,PHX,24,F,69,69,44.0,236.0,380.0,62.1,62.6,-0.4,2021
Andrew Wiggins,GSW,26,F,70,68,35.9,209.0,376.0,55.6,61.6,-6.0,2021
Daniel Theis,CHI,29,F-C,65,63,42.5,211.0,374.0,56.4,62.6,-6.2,2021
Royce O'Neale,UTA,28,F,71,71,37.4,237.0,370.0,64.1,62.1,1.9,2021
Dejounte Murray,SAS,24,G,67,66,47.3,236.0,365.0,64.7,61.8,2.9,2021
Naz Reid,MIN,21,C-F,69,68,45.4,197.0,357.0,55.2,62.7,-7.5,2021
Ivica Zubac,LAC,24,C,71,70,34.0,188.0,350.0,53.7,63.9,-10.2,2021
Chris Boucher,TOR,28,F-C,60,59,43.7,204.0,349.0,58.5,62.3,-3.9,2021
Robin Lopez,WAS,33,C,70,68,39.6,183.0,345.0,53.0,62.4,-9.3,2021
John Collins,ATL,23,F-C,63,63,41.2,213.0,344.0,61.9,62.3,-0.4,2021
Keldon Johnson,SAS,21,F-G,69,67,42.7,211.0,340.0,62.1,62.7,-0.7,2021
Karl-Anthony Towns,MIN,25,C-F,50,50,40.4,206.0,333.0,61.9,63.9,-2.0,2021
Danny Green,PHI,34,G,69,69,36.6,190.0,332.0,57.2,61.6,-4.3,2021
Luka Doncic,DAL,22,F-G,66,65,38.0,195.0,329.0,59.3,61.4,-2.1,2021
RJ Barrett,NYK,21,F-G,71,70,33.3,188.0,328.0,57.3,61.9,-4.5,2021
Terry Rozier,CHA,27,G,68,68,35.0,209.0,324.0,64.5,60.4,4.1,2021
Kristaps Porzingis,DAL,25,F-C,43,43,45.2,183.0,322.0,56.8,62.5,-5.7,2021
Miles Bridges,CHA,23,F,65,64,39.1,189.0,321.0,58.9,62.0,-3.1,2021
Draymond Green,GSW,31,F,62,61,35.0,161.0,321.0,50.2,62.9,-12.8,2021
Pascal Siakam,TOR,27,F,56,55,36.3,203.0,318.0,63.8,62.9,0.9,2021
Wendell Carter Jr.,ORL,22,C-F,54,53,40.8,161.0,314.0,51.3,63.1,-11.8,2021
Devin Booker,PHX,24,G,65,65,38.3,198.0,313.0,63.3,62.3,1.0,2021
Khem Birch,TOR,28,C,66,62,41.9,180.0,311.0,57.9,61.1,-3.2,2021
Isaac Okoro,CLE,20,F-G,67,65,35.4,204.0,309.0,66.0,61.5,4.5,2021
Michael Porter Jr.,DEN,23,F,60,60,44.2,178.0,308.0,57.8,62.0,-4.2,2021
Thaddeus Young,CHI,33,F,68,67,41.2,193.0,307.0,62.9,61.7,1.2,2021
Darius Bazley,OKC,21,F-G,54,54,37.8,186.0,306.0,60.8,62.6,-1.8,2021
Derrick Favors,UTA,29,F,68,68,43.1,188.0,305.0,61.6,63.5,-1.9,2021
