TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%,shot_coverage,round,year
Oklahoma City Thunder,7,7,15.9,40,94,42.6,42.6,15.5,40,92,43.5,0.3,0,2,0.0,very_tight,3,2016
Golden State Warriors,7,7,12.8,30,72,41.7,42.4,12.1,29,68,42.6,0.7,1,4,25.0,very_tight,3,2016
Cleveland Cavaliers,6,6,12.6,25,56,44.6,44.6,11.7,25,52,48.1,0.9,0,4,0.0,very_tight,3,2016
Toronto Raptors,6,6,10.4,27,46,58.7,58.7,10.0,27,44,61.4,0.5,0,2,0.0,very_tight,3,2016
Oklahoma City Thunder,7,7,42.2,124,250,49.6,52.0,34.8,112,206,54.4,7.4,12,44,27.3,tight,3,2016
Golden State Warriors,7,7,35.3,101,199,50.8,54.0,30.7,88,173,50.9,4.6,13,26,50.0,tight,3,2016
Cleveland Cavaliers,6,6,38.3,100,171,58.5,61.7,30.3,89,135,65.9,8.1,11,36,30.6,tight,3,2016
Toronto Raptors,6,6,36.9,82,163,50.3,51.2,33.0,79,146,54.1,3.8,3,17,17.6,tight,3,2016
Golden State Warriors,7,7,29.7,77,167,46.1,56.6,13.9,42,78,53.8,15.8,35,89,39.3,open,3,2016
Oklahoma City Thunder,7,7,25.3,63,150,42.0,48.3,14.7,44,87,50.6,10.6,19,63,30.2,open,3,2016
Toronto Raptors,6,6,31.4,62,139,44.6,51.1,18.1,44,80,55.0,13.3,18,59,30.5,open,3,2016
Cleveland Cavaliers,6,6,27.4,59,122,48.4,57.8,14.8,36,66,54.5,12.6,23,56,41.1,open,3,2016
Golden State Warriors,7,7,22.2,59,125,47.2,63.6,3.7,18,21,85.7,18.5,41,104,39.4,wide_open,3,2016
Oklahoma City Thunder,7,7,16.6,43,98,43.9,56.1,6.4,19,38,50.0,10.1,24,60,40.0,wide_open,3,2016
Cleveland Cavaliers,6,6,21.7,46,97,47.4,64.9,4.3,12,19,63.2,17.5,34,78,43.6,wide_open,3,2016
Toronto Raptors,6,6,21.3,34,94,36.2,48.4,4.8,11,21,52.4,16.5,23,73,31.5,wide_open,3,2016
