PLAYER,TEAM,GP,W,L,MIN,Touches,PostUps,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,PLAYER_ID,TEAM_ID
Bobby Portis,MIL,45,18,27,1093.0,2080,112,31,59,52.5,11,12,91.7,74,66.10000000000001,39,34.8,10,8.9,6,5.4,6,5.4,1626171,1610612749
Bobi Klintman,DET,8,6,2,60.0,84,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1641752,1610612765
Bogdan Bogdanović,LAC,16,5,11,360.0,621,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,203992,1610612746
Bones Hyland,MIN,40,25,15,570.0,1390,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0,1630538,1610612750
Bradley Beal,LAC,6,2,4,121.0,177,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,203078,1610612746
Branden Carlson,OKC,33,27,6,357.0,497,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642382,1610612760
Brandin Podziemski,GSW,50,27,23,1339.0,2827,7,2,2,100.0,0,0,0.0,4,57.099999999999994,5,71.39999999999999,1,14.299999999999999,0,0.0,0,0.0,1641764,1610612744
Brandon Clarke,MEM,2,1,1,20.0,27,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1629634,1610612763
Brandon Ingram,TOR,47,27,20,1600.0,2662,80,18,41,43.9,8,10,80.0,45,56.3,24,30.0,8,10.0,5,6.3,5,6.3,1627742,1610612761
Brandon Miller,CHA,33,19,14,993.0,1950,7,0,5,0.0,1,2,50.0,1,14.299999999999999,0,0.0,0,0.0,1,14.299999999999999,1,14.299999999999999,1641706,1610612766
Brandon Williams,DAL,41,17,24,924.0,2065,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1630314,1610612742
Brice Sensabaugh,UTA,45,12,33,948.0,1286,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1641729,1610612762
Bronny James,LAL,26,12,14,179.0,316,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642355,1610612747
Brook Lopez,LAC,39,20,19,663.0,790,31,9,15,60.0,5,6,83.3,23,74.2,11,35.5,2,6.5,1,3.2,3,9.700000000000001,201572,1610612746
Brooks Barnhizer,OKC,25,20,5,188.0,203,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642964,1610612760
Bruce Brown,DEN,49,33,16,1203.0,1803,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1628971,1610612743
Bryce McGowens,NOP,29,6,23,563.0,719,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1631121,1610612740
Bub Carrington,WAS,47,12,35,1341.0,2882,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642267,1610612764
Buddy Hield,GSW,43,21,22,741.0,1354,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,1627741,1610612744
CJ McCollum,ATL,46,15,31,1386.0,2608,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,203468,1610612737
Cade Cunningham,DET,40,29,11,1411.0,3738,48,13,24,54.2,1,2,50.0,29,60.4,19,39.6,8,16.7,1,2.1,1,2.1,1630595,1610612765
Caleb Houstan,ATL,10,5,5,49.0,57,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1631216,1610612737
Caleb Love,POR,41,19,22,919.0,1671,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1631126,1610612757
Caleb Martin,DAL,40,16,24,518.0,594,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1628997,1610612742
Cam Christie,LAC,31,13,18,304.0,475,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642353,1610612746
Cam Spencer,MEM,46,17,29,1106.0,2578,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642285,1610612763
Cam Thomas,BKN,22,5,17,535.0,1047,5,1,3,33.300000000000004,4,4,100.0,6,120.0,0,0.0,0,0.0,0,0.0,2,40.0,1630560,1610612751
Cam Whitmore,WAS,21,3,18,354.0,432,2,2,2,100.0,0,0,0.0,4,200.0,0,0.0,0,0.0,0,0.0,0,0.0,1641715,1610612764
Cameron Johnson,DEN,28,20,8,857.0,1064,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1629661,1610612743
Caris LeVert,DET,31,23,8,612.0,1117,1,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1627747,1610612765
Carter Bryant,SAS,36,26,10,291.0,318,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642868,1610612759
Cason Wallace,OKC,45,35,10,1196.0,1528,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,1641717,1610612760
Cedric Coward,MEM,44,16,28,1172.0,2456,8,2,3,66.7,2,2,100.0,7,87.5,3,37.5,1,12.5,1,12.5,1,12.5,1642907,1610612763
Charles Bassey,PHI,2,0,2,31.0,34,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1629646,1610612755
Chaz Lanier,DET,18,16,2,162.0,157,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642404,1610612765
Chet Holmgren,OKC,42,33,9,1231.0,1904,42,14,21,66.7,8,10,80.0,36,85.7,11,26.200000000000003,3,7.1,2,4.8,5,11.899999999999999,1631096,1610612760
Chris Boucher,BOS,9,4,5,94.0,113,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1628449,1610612738
Chris Livingston,CLE,3,2,1,17.0,21,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1641753,1610612739
Chris Mañon,LAL,4,1,3,14.0,12,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1643024,1610612747
Chris Paul,LAC,16,4,12,228.0,510,3,0,1,0.0,0,0,0.0,0,0.0,2,66.7,1,33.300000000000004,0,0.0,0,0.0,101108,1610612746
Chris Youngblood,OKC,30,26,4,148.0,140,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642959,1610612760
