Player,Team,Age,GP,Min,ScreenAssists,ScreenAssists PTS,Deflections,OFF Loose BallsRecovered,DEF Loose BallsRecovered,Loose BallsRecovered,% Loose BallsRecovered OFF,% Loose BallsRecovered DEF,ChargesDrawn,Contested2PT Shots,Contested3PT Shots,ContestedShots
Aaron Holiday,IND,23,4,72,2,4,2,0,0,0,0.0,0.0,0,7,11,18
Abdel Nader,OKC,26,3,25,0,0,2,0,0,0,0.0,0.0,0,8,4,12
Al Horford,PHI,34,4,128,6,13,4,1,0,1,100.0,0.0,0,20,13,33
Alec Burks,PHI,28,4,95,0,0,0,4,2,6,66.7,33.3,0,7,10,17
Alex Caruso,LAL,26,21,510,17,39,48,6,9,15,40.0,60.0,0,43,53,96
Alize Johnson,IND,24,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0,1
Amir Coffey,LAC,23,3,7,0,0,0,0,1,1,0.0,100.0,0,0,0,0
Andre Iguodala,MIA,36,21,410,6,13,37,8,9,17,47.1,52.9,0,45,46,91
Andre Roberson,OKC,28,1,3,0,0,0,0,0,0,0.0,0.0,0,0,2,2
Anfernee Simons,POR,21,4,82,1,2,5,2,1,3,66.7,33.3,0,7,13,20
Anthony Davis,LAL,27,21,769,25,55,48,8,12,20,40.0,60.0,1,154,99,253
Antonius Cleveland,DAL,26,2,9,0,0,1,1,0,1,100.0,0.0,0,0,3,3
Austin Rivers,HOU,27,12,211,2,6,15,1,4,5,20.0,80.0,0,17,10,27
BJ Johnson,ORL,24,1,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0
Bam Adebayo,MIA,22,19,687,73,175,36,10,7,17,58.8,41.2,1,124,77,201
Ben McLemore,HOU,27,11,130,0,0,6,0,2,2,0.0,100.0,0,9,10,19
Boban Marjanovic,DAL,31,6,82,14,31,2,1,0,1,100.0,0.0,0,28,3,31
Bol Bol,DEN,20,4,21,0,0,1,0,1,1,0.0,100.0,0,5,3,8
Brad Wanamaker,BOS,30,17,273,5,13,22,3,6,9,33.3,66.7,0,21,24,45
Brook Lopez,MIL,32,10,328,6,13,16,5,5,10,50.0,50.0,0,145,52,197
Bruno Caboclo,HOU,24,2,7,0,0,1,0,0,0,0.0,0.0,0,1,2,3
CJ McCollum,POR,28,5,196,0,0,5,3,4,7,42.9,57.1,0,8,25,33
Caris LeVert,BKN,25,4,140,0,0,8,2,3,5,40.0,60.0,1,11,8,19
Carmelo Anthony,POR,36,5,176,3,8,13,1,1,2,50.0,50.0,0,4,14,18
Carsen Edwards,BOS,22,1,3,0,0,0,0,0,0,0.0,0.0,0,0,0,0
Chris Boucher,TOR,27,7,43,4,10,0,0,0,0,0.0,0.0,0,13,5,18
Chris Chiozza,BKN,24,4,65,0,0,8,1,0,1,100.0,0.0,0,2,8,10
Chris Clemons,HOU,22,2,8,0,0,0,0,0,0,0.0,0.0,0,0,1,1
Chris Paul,OKC,35,7,261,1,2,25,6,8,14,42.9,57.1,0,6,12,18
