,Position,Player,Team,GP,% Time,Poss,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score,year,playtype,And One Freq%,Percentile
52467,,James Harden,HOU,81,23.7,552,537,0.97,,157,421,37.3,45.5,10.3,14.7,14.1,41.1,2017,iso,1.4,76.3
52468,,Russell Westbrook,OKC,81,19.0,518,486,0.94,,172,443,38.8,43.9,6.0,11.2,10.6,41.5,2017,iso,2.7,71.5
52469,,Kyrie Irving,CLE,72,21.4,367,412,1.12,,149,317,47.0,53.2,4.6,11.7,10.6,49.6,2017,iso,2.7,94.9
52470,,Carmelo Anthony,NYK,74,23.1,391,386,0.99,,144,326,44.2,46.8,5.4,13.8,14.1,47.3,2017,iso,3.1,78.3
52471,,LeBron James,CLE,74,20.3,377,367,0.97,,136,313,43.5,49.5,8.0,12.7,11.9,44.6,2017,iso,3.7,76.6
52472,,DeMar DeRozan,TOR,74,17.1,343,351,1.02,,128,273,46.9,47.8,6.1,15.7,14.9,50.7,2017,iso,1.7,86.4
52473,,Harrison Barnes,DAL,79,24.5,369,344,0.93,,144,315,45.7,46.2,7.6,8.4,7.9,46.1,2017,iso,1.4,70.2
52474,,Damian Lillard,POR,75,15.8,301,317,1.05,,95,227,41.9,45.2,7.6,21.3,19.6,48.5,2017,iso,4.3,90.5
52475,,Paul George,IND,75,17.5,300,282,0.94,,105,237,44.3,45.8,10.0,12.7,10.3,45.7,2017,iso,2.0,72.5
52476,,John Wall,WAS,78,16.5,327,264,0.81,,103,260,39.6,40.0,10.7,11.3,11.0,41.3,2017,iso,1.5,46.4
52477,,Jamal Crawford,LAC,82,25.3,274,253,0.92,,94,232,40.5,44.6,6.6,10.6,9.9,42.7,2017,iso,1.8,68.1
52478,,Devin Booker,PHX,78,13.0,241,226,0.94,,76,187,40.6,42.8,9.5,18.7,17.8,44.0,2017,iso,5.8,71.2
52479,,Jimmy Butler,CHI,76,13.8,235,205,0.87,,70,185,37.8,39.5,8.5,15.7,14.5,42.6,2017,iso,3.0,57.5
52480,,Isaiah Thomas,BOS,76,9.1,178,200,1.12,,62,137,45.3,50.7,6.2,20.8,17.4,51.7,2017,iso,3.9,95.3
52481,,Kawhi Leonard,SAS,74,12.6,213,200,0.94,,71,168,42.3,44.3,8.9,15.5,16.0,44.6,2017,iso,3.8,72.2
52482,,Chris Paul,LAC,61,17.5,182,199,1.09,,75,165,45.5,52.7,3.3,6.6,3.8,47.3,2017,iso,0.5,93.6
52483,,DeMarcus Cousins,SAC,55,15.2,236,199,0.84,,75,181,41.4,43.9,14.4,14.0,13.6,39.8,2017,iso,5.1,51.5
52484,,Jeff Teague,IND,82,14.9,194,197,1.01,,68,149,45.6,48.0,8.2,17.5,16.0,49.0,2017,iso,3.1,84.4
52485,,Marcus Morris Sr.,DET,79,14.8,174,183,1.05,,81,157,51.6,51.9,3.4,8.6,8.0,52.3,2017,iso,2.3,90.2
52486,,Giannis Antetokounmpo,MIL,80,12.7,225,174,0.77,,65,172,37.8,38.4,12.4,12.9,9.8,39.1,2017,iso,1.8,39.7
52487,,Austin Rivers,LAC,74,19.4,180,170,0.94,,63,151,41.7,48.0,7.2,11.7,11.1,43.3,2017,iso,2.8,73.5
52488,,Anthony Davis,NOP,75,9.7,191,167,0.87,,67,153,43.8,43.8,9.9,13.6,13.1,44.5,2017,iso,3.7,58.0
52489,,CJ McCollum,POR,80,9.8,169,166,0.98,,64,144,44.4,47.9,7.7,9.5,8.3,45.0,2017,iso,2.4,78.0
52490,,Dennis Schroder,ATL,79,11.1,175,163,0.93,,61,136,44.9,47.1,12.0,13.1,12.6,45.1,2017,iso,2.9,69.8
52491,,Kevin Durant,GSW,62,11.5,152,159,1.05,,55,124,44.4,47.2,6.6,17.8,17.8,48.0,2017,iso,5.9,89.2
52492,,Paul Millsap,ATL,69,12.5,165,154,0.93,,56,121,46.3,46.3,10.9,19.4,18.8,48.5,2017,iso,4.2,70.5
52493,,Dion Waiters,MIA,46,21.7,179,153,0.85,,63,150,42.0,44.7,8.4,10.6,8.9,43.0,2017,iso,2.8,54.6
52494,,Tobias Harris,DET,82,13.3,167,151,0.9,,67,148,45.3,45.3,6.0,9.0,9.0,44.9,2017,iso,3.6,64.7
