PLAYER,TEAM,AGE,POSITION,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,Diff%
Jarrett Jack,NOP,33,G,2,1,15.4,2.0,2.0,100.0,52.9,47.1
Jordan Farmar,SAC,30,G,2,1,10.0,1.0,1.0,100.0,53.8,46.2
John Jenkins,PHX,26,G,3,1,50.0,2.0,2.0,100.0,57.1,42.9
Manny Harris,DAL,27,G,3,2,40.0,2.0,2.0,100.0,60.4,39.6
Elijah Millsap,PHX,29,G-F,2,1,22.2,2.0,2.0,100.0,61.2,38.8
Joe Young,IND,25,G,21,7,18.2,8.0,8.0,100.0,61.8,38.2
Marcus Georges-Hunt,ORL,23,G,4,2,18.8,3.0,3.0,100.0,62.9,37.1
Gary Neal,ATL,32,G,2,2,66.7,2.0,2.0,100.0,63.8,36.2
Pierre Jackson,DAL,25,G,6,2,12.5,3.0,3.0,100.0,64.3,35.7
Michael Gbinije,DET,25,G-F,4,1,8.3,1.0,1.0,100.0,64.4,35.6
Patricio Garino,ORL,24,G-F,4,1,12.5,1.0,1.0,100.0,66.3,33.7
Steve Novak,MIL,34,F,4,2,50.0,2.0,2.0,100.0,70.6,29.4
Marcelo Huertas,LAL,34,G,22,16,33.0,25.0,29.0,86.2,58.8,27.4
Norris Cole,OKC,28,G,9,6,27.3,8.0,9.0,88.9,61.9,27.0
Alan Anderson,LAC,34,F-G,29,18,21.2,19.0,22.0,86.4,61.1,25.3
Briante Weber,CHA,24,G,17,9,19.4,10.0,12.0,83.3,58.0,25.3
Tyus Jones,MIN,21,G,49,29,19.6,32.0,38.0,84.2,59.5,24.8
Sergio Rodriguez,PHI,31,G,68,46,19.9,55.0,68.0,80.9,56.5,24.4
Jarrod Uthoff,DAL,24,F,7,4,17.1,5.0,6.0,83.3,59.0,24.3
Chinanu Onuaku,HOU,20,F-C,5,5,34.6,8.0,9.0,88.9,64.7,24.2
Jonathan Gibson,DAL,29,G,15,5,20.0,12.0,15.0,80.0,56.4,23.6
Bobby Brown,HOU,32,G,13,5,21.2,6.0,7.0,85.7,62.2,23.5
Treveon Graham,CHA,23,G-F,23,9,16.9,9.0,11.0,81.8,58.8,23.1
Christian Wood,CHA,21,F,12,8,35.3,10.0,12.0,83.3,60.4,23.0
Malachi Richardson,SAC,21,G,20,10,18.3,11.0,13.0,84.6,61.8,22.8
C.J. Watson,ORL,33,G,56,34,20.0,45.0,54.0,83.3,61.2,22.2
Jose Calderon,ATL,35,G,37,23,23.1,35.0,42.0,83.3,61.3,22.1
Ian Clark,GSW,26,G,72,43,22.1,56.0,69.0,81.2,60.0,21.2
Quinn Cook,NOP,24,G,10,5,15.9,6.0,7.0,85.7,65.3,20.4
Jerryd Bayless,PHI,28,G,3,3,29.4,4.0,5.0,80.0,59.9,20.1
Arinze Onuaku,ORL,29,F-C,4,4,62.5,4.0,5.0,80.0,61.2,18.8
Marco Belinelli,CHA,31,G-F,74,53,18.7,75.0,94.0,79.8,61.7,18.0
Malcolm Delaney,ATL,28,G,70,41,18.9,53.0,68.0,77.9,60.3,17.7
Damjan Rudez,ORL,31,F,34,19,29.7,24.0,30.0,80.0,62.4,17.7
Nick Young,LAL,32,G-F,60,48,25.4,88.0,114.0,77.2,60.1,17.1
Aaron Harrison,CHA,22,G,4,4,100.0,3.0,5.0,60.0,43.2,16.8
Emmanuel Mudiay,DEN,21,G,53,44,25.1,82.0,109.0,75.2,58.6,16.6
Yogi Ferrell,DAL,24,G,46,34,21.1,55.0,72.0,76.4,60.1,16.3
Jordan Crawford,NOP,28,G,19,16,27.0,26.0,34.0,76.5,60.3,16.2
Cheick Diallo,NOP,20,F,15,12,37.1,28.0,36.0,77.8,61.8,16.0
Malik Beasley,DEN,20,G,14,7,19.2,8.0,10.0,80.0,64.0,16.0
Isaiah Taylor,HOU,22,G,4,3,26.7,3.0,4.0,75.0,59.0,16.0
Brandon Jennings,WAS,27,G,81,51,21.5,77.0,102.0,75.5,59.7,15.8
Anthony Bennett,BKN,24,F,19,15,30.5,22.0,29.0,75.9,60.9,15.0
Gerald Green,BOS,31,F,43,27,26.5,36.0,48.0,75.0,60.1,14.9
Cameron Payne,CHI,22,G,30,20,25.3,27.0,37.0,73.0,58.2,14.8
Trey Burke,WAS,24,G,53,34,23.6,34.0,46.0,73.9,59.6,14.4
Brian Roberts,CHA,31,G,39,18,20.5,19.0,26.0,73.1,58.7,14.4
Beno Udrih,DET,34,G,35,22,17.8,22.0,31.0,71.0,56.7,14.3
Rajon Rondo,CHI,31,G,69,55,24.7,100.0,134.0,74.6,60.5,14.1
Isaiah Thomas,BOS,28,G,76,63,20.5,101.0,137.0,73.7,59.9,13.9
Patty Mills,SAS,28,G,80,55,18.8,67.0,91.0,73.6,59.8,13.9
Jordan Clarkson,LAL,25,G,82,70,21.8,114.0,153.0,74.5,60.8,13.7
Chris Paul,LAC,32,G,61,55,22.7,106.0,141.0,75.2,61.4,13.7
Allen Crabbe,POR,25,G,79,62,20.0,79.0,108.0,73.1,59.5,13.6
Arron Afflalo,SAC,31,G,61,45,19.9,66.0,88.0,75.0,61.4,13.6
D'Angelo Russell,LAL,21,G,62,50,24.2,98.0,131.0,74.8,61.3,13.5
Aaron Brooks,IND,32,G,61,40,20.8,45.0,61.0,73.8,60.7,13.1
Sean Kilpatrick,BKN,27,G,69,56,25.9,99.0,134.0,73.9,60.9,13.0
J.J. Barea,DAL,33,G,34,22,15.7,24.0,32.0,75.0,62.0,13.0
JJ Redick,LAC,33,G,78,67,22.8,107.0,145.0,73.8,60.9,12.9
Isaiah Canaan,CHI,26,G,33,19,17.4,22.0,31.0,71.0,58.1,12.9
Jameer Nelson,DEN,35,G,74,56,14.5,70.0,94.0,74.5,61.7,12.8
Norman Powell,TOR,24,G,69,49,23.4,67.0,92.0,72.8,60.2,12.6
Terrence Ross,ORL,26,F,77,65,26.2,118.0,163.0,72.4,60.0,12.4
Nicolas Laprovittola,SAS,27,G,16,11,27.1,14.0,19.0,73.7,61.2,12.4
Corey Brewer,LAL,31,F,82,55,28.3,78.0,107.0,72.9,60.6,12.3
Fred VanVleet,TOR,23,G,20,10,25.3,13.0,19.0,68.4,56.1,12.3
Jordan Mickey,BOS,22,F,17,11,43.9,21.0,29.0,72.4,60.3,12.2
Metta World Peace,LAL,37,F,18,12,35.5,17.0,22.0,77.3,65.0,12.2
Zach LaVine,MIN,22,G,47,42,22.3,66.0,90.0,73.3,61.3,12.1
Ty Lawson,SAC,29,G,69,51,19.2,63.0,89.0,70.8,59.1,11.7
Udonis Haslem,MIA,37,F,14,12,47.7,15.0,21.0,71.4,59.8,11.7
Buddy Hield,SAC,24,G,81,71,30.9,142.0,197.0,72.1,60.6,11.5
Matt Barnes,GSW,37,F,74,67,28.5,134.0,184.0,72.8,61.3,11.5
Devin Harris,DAL,34,G,63,40,19.4,43.0,59.0,72.9,61.4,11.5
Lou Williams,HOU,30,G,81,65,26.1,99.0,139.0,71.2,59.9,11.3
Courtney Lee,NYK,31,G,77,69,23.9,126.0,174.0,72.4,61.2,11.2
Darren Collison,SAC,29,G,68,49,13.8,54.0,77.0,70.1,59.3,10.8
Avery Bradley,BOS,26,G,55,50,26.5,103.0,145.0,71.0,60.3,10.7
Jeremy Lamb,CHA,25,G,61,45,25.4,76.0,106.0,71.7,61.0,10.7
Kentavious Caldwell-Pope,DET,24,G,76,64,20.2,93.0,132.0,70.5,59.8,10.6
Stephen Curry,GSW,29,G,79,64,19.3,97.0,139.0,69.8,59.2,10.5
Deron Williams,CLE,33,G,62,49,20.9,75.0,106.0,70.8,60.3,10.5
Semaj Christon,OKC,24,G,61,48,29.9,60.0,88.0,68.2,57.7,10.5
D.J. Augustin,ORL,29,G,78,53,20.5,65.0,93.0,69.9,59.6,10.3
Brandon Knight,PHX,25,G,53,42,21.9,57.0,82.0,69.5,59.2,10.3
Shabazz Napier,POR,25,G,40,15,12.9,12.0,17.0,70.6,60.3,10.3
T.J. McConnell,PHI,25,G,81,68,20.4,91.0,132.0,68.9,58.8,10.2
Jamal Crawford,LAC,37,G,82,60,24.3,84.0,121.0,69.4,59.3,10.1
Harrison Barnes,DAL,25,F,78,75,29.1,162.0,229.0,70.7,60.8,10.0
Mike Conley,MEM,29,G,69,68,23.9,134.0,192.0,69.8,59.8,10.0
DeAndre Liggins,DAL,29,G,49,31,29.8,51.0,73.0,69.9,59.9,10.0
Jason Terry,MIL,39,G,74,41,16.2,46.0,66.0,69.7,59.7,10.0
Dwyane Wade,CHI,35,G,60,48,25.2,80.0,114.0,70.2,60.3,9.9
Dejounte Murray,SAS,20,G,30,21,34.6,26.0,37.0,70.3,60.3,9.9
Danilo Gallinari,DEN,28,F,62,56,24.9,120.0,172.0,69.8,59.9,9.8
C.J. Wilcox,ORL,26,G,19,12,45.0,13.0,18.0,72.2,62.4,9.8
Kyrie Irving,CLE,25,G,72,68,27.9,140.0,200.0,70.0,60.4,9.6
Kyle Lowry,TOR,31,G,59,51,25.2,108.0,156.0,69.2,59.6,9.6
