PLAYER,TEAM,GP,W,L,MIN,Touches,PostUps,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,PLAYER_ID,TEAM_ID
AJ Hammons,DAL,22,4,18,163.0,163,22,1,8,12.5,2,6,33.300000000000004,2,9.1,8,36.4,0,0.0,2,9.1,3,13.600000000000001,1627773,1610612742
Aaron Brooks,IND,64,36,28,870.0,1786,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,201166,1610612754
Aaron Gordon,ORL,80,29,51,2298.0,3097,91,28,56,50.0,6,6,100.0,63,69.19999999999999,23,25.3,0,0.0,7,7.7,4,4.3999999999999995,203932,1610612753
Aaron Harrison,CHA,5,2,3,17.0,27,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1626151,1610612766
Adreian Payne,MIN,18,5,13,135.0,288,11,2,3,66.7,0,0,0.0,4,36.4,3,27.3,2,18.2,1,9.1,1,9.1,203940,1610612750
Al Horford,BOS,68,46,22,2193.0,4553,511,104,201,51.7,32,38,84.2,246,48.1,191,37.4,59,11.5,27,5.3,19,3.6999999999999997,201143,1610612738
Al Jefferson,IND,65,33,32,922.0,1603,397,103,217,47.5,29,38,76.3,238,59.9,112,28.199999999999996,18,4.5,13,3.3000000000000003,20,5.0,2744,1610612754
Al-Farouq Aminu,POR,61,33,28,1773.0,2508,23,3,8,37.5,2,2,100.0,8,34.8,10,43.5,2,8.7,1,4.3,1,4.3,202329,1610612757
Alan Anderson,LAC,30,20,10,308.0,307,4,1,2,50.0,0,0,0.0,2,50.0,1,25.0,1,25.0,0,0.0,0,0.0,101187,1610612746
Alan Williams,PHX,47,11,36,708.0,1048,70,16,36,44.4,4,8,50.0,37,52.900000000000006,22,31.4,4,5.7,0,0.0,4,5.7,1626210,1610612756
Alec Burks,UTA,42,26,16,653.0,964,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,202692,1610612762
Alex Abrines,OKC,68,37,31,1055.0,1262,2,0,0,0.0,0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,203518,1610612760
Alex Len,PHX,75,20,55,1528.0,2160,207,33,91,36.3,20,28,71.39999999999999,87,42.0,54,26.1,16,7.7,23,11.1,15,7.199999999999999,203458,1610612756
Alex Poythress,PHI,6,0,6,157.0,322,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1627816,1610612755
Alexis Ajinca,NOP,39,15,24,584.0,956,24,2,10,20.0,0,0,0.0,5,20.8,7,29.2,2,8.3,4,16.7,0,0.0,201582,1610612740
Allen Crabbe,POR,79,39,40,2254.0,2461,2,1,1,100.0,0,0,0.0,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0,203459,1610612757
Alonzo Gee,DEN,13,4,9,89.0,95,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,202087,1610612743
Amir Johnson,BOS,80,51,29,1608.0,2432,71,9,25,36.0,3,4,75.0,21,29.599999999999998,34,47.9,3,4.2,5,7.000000000000001,2,2.8000000000000003,101161,1610612738
Anderson Varejao,GSW,14,12,2,92.0,191,7,0,1,0.0,0,0,0.0,0,0.0,4,57.099999999999994,1,14.299999999999999,1,14.299999999999999,0,0.0,2760,1610612744
Andre Drummond,DET,81,36,45,2409.0,3103,408,113,274,41.199999999999996,13,40,32.5,243,59.599999999999994,63,15.4,12,2.9000000000000004,30,7.3999999999999995,20,4.9,203083,1610612765
Andre Iguodala,GSW,76,64,12,1998.0,3129,53,9,15,60.0,4,4,100.0,22,41.5,24,45.300000000000004,7,13.200000000000001,4,7.5,2,3.8,2738,1610612744
Andre Roberson,OKC,79,46,33,2376.0,2617,5,0,0,0.0,0,0,0.0,0,0.0,2,40.0,0,0.0,1,20.0,0,0.0,203460,1610612760
Andrew Bogut,CLE,27,8,19,583.0,972,36,5,12,41.699999999999996,0,0,0.0,10,27.800000000000004,17,47.199999999999996,3,8.3,3,8.3,0,0.0,101106,1610612739
Andrew Harrison,MEM,72,38,34,1474.0,3223,6,0,2,0.0,2,2,100.0,2,33.300000000000004,1,16.7,1,16.7,0,0.0,1,16.7,1626150,1610612763
Andrew Nicholson,BKN,38,20,18,342.0,514,40,7,25,28.000000000000004,0,2,0.0,14,35.0,3,7.5,3,7.5,6,15.0,1,2.5,203094,1610612751
