TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%,shot_coverage,year
New Orleans Pelicans,10,10,15.6,63,137,46.0,46.7,15.0,61,132,46.2,0.6,2,5,40.0,very_tight,2024
Houston Rockets,9,9,16.6,57,130,43.8,43.8,16.4,57,128,44.5,0.3,0,2,0.0,very_tight,2024
Utah Jazz,10,10,14.0,58,126,46.0,46.0,13.6,58,122,47.5,0.4,0,4,0.0,very_tight,2024
Charlotte Hornets,9,9,15.1,71,125,56.8,56.8,15.1,71,125,56.8,0.0,0,0,-,very_tight,2024
Detroit Pistons,11,11,12.6,49,123,39.8,39.8,12.4,49,121,40.5,0.2,0,2,0.0,very_tight,2024
Denver Nuggets,8,8,16.8,70,122,57.4,57.4,16.8,70,122,57.4,0.0,0,0,-,very_tight,2024
Oklahoma City Thunder,10,10,14.0,60,121,49.6,49.6,14.0,60,121,49.6,0.0,0,0,-,very_tight,2024
San Antonio Spurs,10,10,13.2,59,121,48.8,48.8,13.1,59,120,49.2,0.1,0,1,0.0,very_tight,2024
Philadelphia 76ers,9,9,14.8,57,119,47.9,48.3,14.7,56,118,47.5,0.1,1,1,100,very_tight,2024
Orlando Magic,8,8,17.1,48,119,40.3,40.3,16.7,48,116,41.4,0.4,0,3,0.0,very_tight,2024
Phoenix Suns,10,10,12.9,58,112,51.8,53.1,12.6,55,109,50.5,0.3,3,3,100,very_tight,2024
Boston Celtics,9,9,13.4,47,110,42.7,42.7,12.9,47,106,44.3,0.5,0,4,0.0,very_tight,2024
Memphis Grizzlies,10,10,12.0,47,109,43.1,43.6,11.8,46,107,43.0,0.2,1,2,50.0,very_tight,2024
Los Angeles Lakers,10,10,12.6,50,108,46.3,46.3,12.6,50,108,46.3,0.0,0,0,-,very_tight,2024
Chicago Bulls,9,9,12.8,45,106,42.5,42.5,12.7,45,105,42.9,0.1,0,1,0.0,very_tight,2024
Cleveland Cavaliers,9,9,13.5,44,106,41.5,42.0,12.8,43,101,42.6,0.6,1,5,20.0,very_tight,2024
Atlanta Hawks,8,8,14.1,46,103,44.7,45.1,13.9,45,102,44.1,0.1,1,1,100,very_tight,2024
Miami Heat,10,10,11.9,43,102,42.2,43.1,11.4,41,98,41.8,0.5,2,4,50.0,very_tight,2024
Brooklyn Nets,10,10,10.8,49,99,49.5,50.0,10.6,48,97,49.5,0.2,1,2,50.0,very_tight,2024
Minnesota Timberwolves,9,9,12.5,47,97,48.5,48.5,12.5,47,97,48.5,0.0,0,0,-,very_tight,2024
Portland Trail Blazers,8,8,13.3,34,96,35.4,35.4,12.9,34,93,36.6,0.4,0,3,0.0,very_tight,2024
Toronto Raptors,8,8,13.4,48,95,50.5,50.5,13.4,48,95,50.5,0.0,0,0,-,very_tight,2024
Milwaukee Bucks,9,9,12.5,43,95,45.3,45.8,12.1,42,92,45.7,0.4,1,3,33.3,very_tight,2024
Golden State Warriors,10,10,10.4,42,95,44.2,45.8,9.8,39,90,43.3,0.5,3,5,60.0,very_tight,2024
Indiana Pacers,10,10,9.9,49,94,52.1,52.1,9.9,49,94,52.1,0.0,0,0,-,very_tight,2024
LA Clippers,9,9,12.0,46,94,48.9,48.9,12.0,46,94,48.9,0.0,0,0,-,very_tight,2024
New York Knicks,9,9,11.2,40,92,43.5,44.0,10.9,39,90,43.3,0.2,1,2,50.0,very_tight,2024
Washington Wizards,9,9,10.7,43,88,48.9,49.4,10.4,42,85,49.4,0.4,1,3,33.3,very_tight,2024
Sacramento Kings,7,7,13.2,45,85,52.9,52.9,13.0,45,84,53.6,0.2,0,1,0.0,very_tight,2024
Dallas Mavericks,9,9,10.5,48,84,57.1,57.1,10.5,48,84,57.1,0.0,0,0,-,very_tight,2024
Detroit Pistons,11,11,38.4,189,374,50.5,50.7,36.4,188,355,53.0,2.0,1,19,5.3,tight,2024
Phoenix Suns,10,10,40.8,168,354,47.5,49.2,36.9,156,320,48.8,3.9,12,34,35.3,tight,2024
San Antonio Spurs,10,10,38.6,185,353,52.4,55.0,32.8,167,300,55.7,5.8,18,53,34.0,tight,2024
New Orleans Pelicans,10,10,39.4,168,347,48.4,50.7,33.8,152,298,51.0,5.6,16,49,32.7,tight,2024
Brooklyn Nets,10,10,37.4,159,343,46.4,48.7,30.5,143,280,51.1,6.9,16,63,25.4,tight,2024
Indiana Pacers,10,10,35.8,192,340,56.5,58.4,32.9,179,312,57.4,3.0,13,28,46.4,tight,2024
