TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%,shot_coverage,year
Los Angeles Lakers,21,21,31.4,256,547,46.8,56.2,15.0,153,261,58.6,16.4,103,286,36.0,open,2020
Miami Heat,21,21,30.2,222,516,43.0,52.0,13.8,129,235,54.9,16.4,93,281,33.1,open,2020
Denver Nuggets,19,19,31.8,234,498,47.0,56.4,16.8,140,263,53.2,15.0,94,235,40.0,open,2020
Boston Celtics,17,17,30.0,182,433,42.0,51.6,13.2,99,190,52.1,16.8,83,243,34.2,open,2020
LA Clippers,13,13,34.7,163,390,41.8,52.4,14.4,80,162,49.4,20.3,83,228,36.4,open,2020
Toronto Raptors,11,11,31.1,133,303,43.9,55.0,12.4,66,121,54.5,18.7,67,182,36.8,open,2020
Milwaukee Bucks,10,10,33.3,129,289,44.6,53.8,15.3,76,133,57.1,18.0,53,156,34.0,open,2020
Houston Rockets,12,12,27.4,110,282,39.0,49.8,8.9,49,91,53.8,18.6,61,191,31.9,open,2020
Oklahoma City Thunder,7,7,35.3,90,211,42.7,52.4,14.5,49,87,56.3,20.7,41,124,33.1,open,2020
Dallas Mavericks,6,6,31.4,79,168,47.0,55.7,14.2,50,76,65.8,17.2,29,92,31.5,open,2020
Utah Jazz,7,7,29.0,83,166,50.0,64.5,11.3,35,65,53.8,17.6,48,101,47.5,open,2020
Portland Trail Blazers,5,5,30.4,58,134,43.3,51.9,16.8,35,74,47.3,13.6,23,60,38.3,open,2020
Philadelphia 76ers,4,4,33.8,39,114,34.2,42.1,16.6,21,56,37.5,17.2,18,58,31.0,open,2020
Orlando Magic,5,5,25.3,43,112,38.4,49.1,12.0,19,53,35.8,13.3,24,59,40.7,open,2020
Brooklyn Nets,4,4,30.7,39,112,34.8,45.1,12.3,16,45,35.6,18.4,23,67,34.3,open,2020
Indiana Pacers,4,4,34.6,56,111,50.5,64.0,14.3,26,46,56.5,20.2,30,65,46.2,open,2020
Miami Heat,21,21,42.2,350,721,48.5,52.3,32.5,296,555,53.3,9.7,54,166,32.5,tight,2020
Los Angeles Lakers,21,21,38.2,353,666,53.0,54.4,33.4,335,582,57.6,4.8,18,84,21.4,tight,2020
Boston Celtics,17,17,41.8,288,603,47.8,51.4,32.2,244,465,52.5,9.6,44,138,31.9,tight,2020
Denver Nuggets,19,19,36.5,287,572,50.2,52.6,31.4,259,492,52.6,5.1,28,80,35.0,tight,2020
LA Clippers,13,13,41.1,234,462,50.6,51.6,35.7,225,401,56.1,5.4,9,61,14.8,tight,2020
Houston Rockets,12,12,36.3,179,373,48.0,51.5,27.6,153,284,53.9,8.7,26,89,29.2,tight,2020
Toronto Raptors,11,11,37.4,159,364,43.7,45.5,30.6,146,298,49.0,6.8,13,66,19.7,tight,2020
Milwaukee Bucks,10,10,38.2,166,332,50.0,52.7,32.5,148,282,52.5,5.8,18,50,36.0,tight,2020
Utah Jazz,7,7,42.2,125,242,51.7,55.2,34.9,108,200,54.0,7.3,17,42,40.5,tight,2020
Oklahoma City Thunder,7,7,36.0,101,215,47.0,47.9,32.4,97,194,50.0,3.5,4,21,19.0,tight,2020
Dallas Mavericks,6,6,37.9,106,203,52.2,54.9,33.8,95,181,52.5,4.1,11,22,50.0,tight,2020
