,Position,Player,Team,GP,% Time,Poss,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score,year,playtype,And One Freq%,Percentile,FTFreq%,TOVFreq%,SFFreq%,And OneFreq%,ScoreFreq%
20705,,Giannis Antetokounmpo,MIL,21,21.8,130,115,0.89,,47,102,46.1,47.1,11.5,13.8,13.1,43.8,2021,iso,3.8,48.6,,,,,
20706,,Devin Booker,PHX,22,17.4,107,105,0.98,,35,80,43.8,48.1,11.2,15.9,13.1,45.8,2021,iso,1.9,59.5,,,,,
20707,,Kevin Durant,BKN,12,24.0,89,94,1.06,,33,65,50.8,54.6,12.4,15.7,14.6,50.6,2021,iso,2.2,62.2,,,,,
20708,,Khris Middleton,MIL,23,15.6,88,93,1.06,,33,70,47.1,54.3,12.5,12.5,11.4,45.5,2021,iso,4.5,64.9,,,,,
20709,,Paul George,LAC,19,19.7,100,88,0.88,,30,77,39.0,42.9,11.0,12.0,12.0,40.0,2021,iso,2.0,45.9,,,,,
20710,,James Harden,BKN,9,44.0,70,87,1.24,,25,55,45.5,58.2,7.1,20.0,18.6,50.0,2021,iso,5.7,97.3,,,,,
20711,,Chris Paul,PHX,20,17.7,65,75,1.15,,32,63,50.8,57.1,1.5,3.1,3.1,50.8,2021,iso,1.5,83.8,,,,,
20712,,Damian Lillard,POR,6,25.9,43,71,1.65,,20,33,60.6,75.8,2.3,25.6,16.3,67.4,2021,iso,4.7,100.0,,,,,
20713,,Jayson Tatum,BOS,5,39.0,57,69,1.21,,18,41,43.9,51.2,3.5,26.3,26.3,54.4,2021,iso,1.8,94.6,,,,,
20714,,Reggie Jackson,LAC,19,19.4,58,65,1.12,,27,52,51.9,55.8,5.2,6.9,6.9,51.7,2021,iso,1.7,81.1,,,,,
20715,,Kawhi Leonard,LAC,11,19.0,51,59,1.16,,22,40,55.0,60.0,5.9,15.7,11.8,56.9,2021,iso,0.0,86.5,,,,,
20716,,Trae Young,ATL,16,13.0,62,57,0.92,,19,53,35.8,39.6,3.2,14.5,12.9,40.3,2021,iso,3.2,54.1,,,,,
