PLAYER,TEAM,GP,W,L,MIN,OREB,ContestedOREB,ContestedOREB%,OREBChances,OREBChance%,DeferredOREB Chances,AdjustedOREB Chance%,AVG OREBDistance
Aaron Brooks,CHI,9,4,5,104,3,0,0.0,12,25.0,0,25.0,18.4
Al Horford,ATL,16,8,8,522,40,26,65.0,69,58.0,0,58.0,7.8
Al-Farouq Aminu,DAL,5,1,4,150,14,7,50.0,23,60.9,1,63.6,7.0
Alan Anderson,BKN,6,2,4,142,2,2,100.0,8,25.0,0,25.0,6.2
Alexis Ajinca,NOP,1,0,1,4,0,0,0.0,1,0.0,0,0.0,0.0
Allen Crabbe,POR,2,0,2,39,0,0,0.0,1,0.0,0,0.0,0.0
Alonzo Gee,POR,1,0,1,3,0,0,0.0,0,0.0,0,0.0,0.0
Amar'e Stoudemire,DAL,5,1,4,75,7,4,57.1,20,35.0,0,35.0,9.2
Amir Johnson,TOR,4,0,4,112,7,5,71.4,26,26.9,1,28.0,9.7
Andre Iguodala,GSW,20,16,4,598,14,2,14.3,44,31.8,1,32.6,13.5
Andrew Bogut,GSW,18,14,4,414,40,30,75.0,66,60.6,0,60.6,5.9
Anthony Davis,NOP,4,0,4,172,9,5,55.6,28,32.1,0,32.1,7.4
Aron Baynes,SAS,3,2,1,39,3,3,100.0,13,23.1,1,25.0,2.5
Arron Afflalo,POR,2,1,1,46,0,0,0.0,3,0.0,0,0.0,0.0
Austin Rivers,LAC,11,5,6,196,6,3,50.0,21,28.6,0,28.6,6.7
Avery Bradley,BOS,4,0,4,133,3,1,33.3,8,37.5,0,37.5,10.9
Beno Udrih,MEM,8,5,3,154,4,1,25.0,14,28.6,2,33.3,10.6
Blake Griffin,LAC,14,7,7,557,38,21,55.3,105,36.2,3,37.3,5.5
Bojan Bogdanovic,BKN,6,2,4,206,3,0,0.0,11,27.3,0,27.3,21.1
Boris Diaw,SAS,7,3,4,198,13,5,38.5,29,44.8,1,46.4,7.3
Bradley Beal,WAS,10,6,4,418,14,7,50.0,46,30.4,4,33.3,10.7
Brandon Bass,BOS,4,0,4,86,3,2,66.7,8,37.5,1,42.9,10.9
Brandon Rush,GSW,2,2,0,6,1,1,100.0,4,25.0,0,25.0,2.0
Brook Lopez,BKN,6,2,4,234,20,15,75.0,38,52.6,0,52.6,5.2
CJ McCollum,POR,5,1,4,166,1,1,100.0,18,5.6,0,5.6,1.9
Chandler Parsons,DAL,1,0,1,37,0,0,0.0,4,0.0,0,0.0,0.0
Charlie Villanueva,DAL,4,1,3,42,4,3,75.0,6,66.7,0,66.7,5.5
Chris Kaman,POR,3,0,3,37,5,3,60.0,9,55.6,0,55.6,4.3
Chris Paul,LAC,12,6,6,445,7,2,28.6,31,22.6,0,22.6,11.0
Clint Capela,HOU,16,9,7,123,13,8,61.5,30,43.3,0,43.3,9.1
Corey Brewer,HOU,14,8,6,358,11,8,72.7,61,18.0,2,18.6,8.0
Cory Joseph,SAS,1,0,1,12,0,0,0.0,2,0.0,0,0.0,0.0
Courtney Lee,MEM,11,6,5,367,3,1,33.3,16,18.8,1,20.0,12.1
Dahntay Jones,LAC,1,0,1,1,0,0,0.0,0,0.0,0,0.0,0.0
Damian Lillard,POR,5,1,4,201,2,0,0.0,10,20.0,0,20.0,23.1
Danny Green,SAS,6,3,3,178,7,2,28.6,11,63.6,0,63.6,11.8
Dante Cunningham,NOP,4,0,4,75,4,2,50.0,4,100.0,0,100.0,4.2
David Lee,GSW,11,8,3,105,11,3,27.3,33,33.3,1,34.4,6.9
DeAndre Jordan,LAC,14,7,7,482,49,36,73.5,97,50.5,3,52.1,5.5
DeMar DeRozan,TOR,4,0,4,159,5,2,40.0,16,31.3,0,31.3,11.4
DeMarre Carroll,ATL,16,8,8,558,26,20,76.9,83,31.3,0,31.3,6.3
Dennis Schroder,ATL,11,5,6,207,5,2,40.0,16,31.3,1,33.3,21.0
Deron Williams,BKN,6,2,4,192,3,2,66.7,15,20.0,2,23.1,5.9
Derrick Rose,CHI,11,5,6,427,13,3,23.1,49,26.5,1,27.1,14.5
Devin Harris,DAL,4,1,3,74,1,0,0.0,9,11.1,1,12.5,20.8
Dirk Nowitzki,DAL,5,1,4,181,4,4,100.0,12,33.3,1,36.4,5.9
Doug McDermott,CHI,2,1,1,8,1,0,0.0,1,100.0,0,100.0,23.2
Draymond Green,GSW,20,16,4,740,44,27,61.4,101,43.6,6,46.3,8.0
Drew Gooden,WAS,10,6,4,178,13,6,46.2,27,48.1,0,48.1,6.4
Dwight Howard,HOU,17,9,8,574,62,47,75.8,139,44.6,2,45.3,5.0
Dwight Powell,DAL,1,0,1,2,0,0,0.0,0,0.0,0,0.0,0.0
E'Twaun Moore,CHI,1,1,0,4,0,0,0.0,0,0.0,0,0.0,0.0
Earl Clark,BKN,2,0,2,13,0,0,0.0,1,0.0,0,0.0,0.0
Ekpe Udoh,LAC,2,2,0,7,0,0,0.0,0,0.0,0,0.0,0.0
Elton Brand,ATL,1,1,0,4,0,0,0.0,0,0.0,0,0.0,0.0
Eric Gordon,NOP,3,0,3,105,2,2,100.0,6,33.3,0,33.3,12.6
Ersan Ilyasova,MIL,6,2,4,142,6,4,66.7,21,28.6,1,30.0,6.3
Evan Turner,BOS,4,0,4,118,2,2,100.0,13,15.4,0,15.4,2.7
Festus Ezeli,GSW,16,13,3,167,24,18,75.0,56,42.9,3,45.3,5.5
Garrett Temple,WAS,3,1,2,22,1,0,0.0,4,25.0,0,25.0,5.1
Gerald Wallace,BOS,1,0,1,4,0,0,0.0,2,0.0,0,0.0,0.0
Giannis Antetokounmpo,MIL,6,2,4,201,12,10,83.3,39,30.8,2,32.4,4.9
Gigi Datome,BOS,1,0,1,4,0,0,0.0,0,0.0,0,0.0,0.0
Glen Davis,LAC,10,4,6,104,9,7,77.8,24,37.5,1,39.1,3.5
Greivis Vasquez,TOR,4,0,4,101,0,0,0.0,6,0.0,1,0.0,0.0
Harrison Barnes,GSW,19,15,4,607,40,19,47.5,98,40.8,4,42.6,8.6
Hedo Turkoglu,LAC,5,3,2,28,1,0,0.0,2,50.0,0,50.0,20.0
Iman Shumpert,CLE,19,13,6,659,23,4,17.4,63,36.5,4,39.0,14.4
Isaiah Thomas,BOS,3,0,3,89,0,0,0.0,8,0.0,2,0.0,0.0
J.J. Barea,DAL,5,1,4,154,5,0,0.0,19,26.3,1,27.8,19.8
JJ Redick,LAC,13,6,7,501,0,0,0.0,16,0.0,0,0.0,0.0
JR Smith,CLE,16,11,5,506,9,1,11.1,40,22.5,1,23.1,13.8
JaMychal Green,MEM,3,0,3,7,0,0,0.0,0,0.0,0,0.0,0.0
Jae Crowder,BOS,4,0,4,100,8,7,87.5,12,66.7,0,66.7,5.6
Jamal Crawford,LAC,10,6,4,275,6,1,16.7,11,54.5,0,54.5,19.9
James Harden,HOU,17,9,8,636,12,8,66.7,52,23.1,0,23.1,10.4
James Johnson,TOR,1,0,1,5,0,0,0.0,0,0.0,0,0.0,0.0
James Jones,CLE,15,9,6,254,1,0,0.0,10,10.0,1,11.1,15.4
James Michael McAdoo,GSW,4,4,0,8,1,1,100.0,2,50.0,0,50.0,20.0
Jared Dudley,MIL,5,2,3,90,3,1,33.3,11,27.3,0,27.3,5.7
Jared Sullinger,BOS,4,0,4,80,9,8,88.9,14,64.3,0,64.3,3.9
Jarrett Jack,BKN,6,2,4,153,2,0,0.0,11,18.2,1,20.0,19.7
Jason Terry,HOU,14,8,6,408,6,2,33.3,22,27.3,0,27.3,15.1
Jeff Ayres,SAS,1,1,0,8,0,0,0.0,1,0.0,0,0.0,0.0
Jeff Green,MEM,11,6,5,298,9,3,33.3,32,28.1,0,28.1,8.4
Jeff Teague,ATL,16,8,8,529,10,6,60.0,39,25.6,2,27.0,7.3
Jerome Jordan,BKN,1,0,1,5,1,1,100.0,1,100.0,0,100.0,6.1
Jerryd Bayless,MIL,6,2,4,120,4,0,0.0,13,30.8,1,33.3,19.5
Jimmy Butler,CHI,12,6,6,506,18,8,44.4,52,34.6,1,35.3,12.7
Joakim Noah,CHI,12,6,6,395,45,37,82.2,113,39.8,4,41.3,4.4
Joe Harris,CLE,1,1,0,6,0,0,0.0,0,0.0,0,0.0,0.0
Joe Johnson,BKN,6,2,4,249,5,5,100.0,16,31.3,0,31.3,5.5
Joel Freeland,POR,1,0,1,4,0,0,0.0,0,0.0,0,0.0,0.0
Joey Dorsey,HOU,2,0,2,9,1,1,100.0,2,50.0,0,50.0,2.7
John Henson,MIL,6,2,4,152,21,15,71.4,31,67.7,0,67.7,6.0
John Jenkins,ATL,2,0,2,17,1,0,0.0,1,100.0,0,100.0,19.8
John Wall,WAS,7,5,2,273,5,3,60.0,19,26.3,1,27.8,17.8
Johnny O'Bryant III,MIL,1,0,1,12,1,0,0.0,2,50.0,0,50.0,6.8
Jon Leuer,MEM,3,1,2,7,2,2,100.0,4,50.0,0,50.0,2.8
Jonas Jerebko,BOS,4,0,4,68,4,3,75.0,12,33.3,0,33.3,3.1
Jonas Valanciunas,TOR,4,0,4,106,9,6,66.7,28,32.1,1,33.3,6.1
Jordan Adams,MEM,1,0,1,6,0,0,0.0,0,0.0,0,0.0,0.0
Jorge Gutierrez,MIL,1,0,1,12,0,0,0.0,1,0.0,0,0.0,0.0
Josh Smith,HOU,17,9,8,396,26,13,50.0,64,40.6,0,40.6,8.7
Jrue Holiday,NOP,2,0,2,38,2,1,50.0,3,66.7,0,66.7,16.9
Justin Holiday,GSW,1,1,0,4,0,0,0.0,1,0.0,0,0.0,0.0
Kawhi Leonard,SAS,7,3,4,250,13,6,46.2,29,44.8,3,50.0,8.5
Kelly Olynyk,BOS,3,0,3,51,2,1,50.0,6,33.3,0,33.3,3.6
Kendrick Perkins,CLE,6,5,1,29,2,2,100.0,5,40.0,0,40.0,3.4
Kent Bazemore,ATL,14,7,7,268,3,2,66.7,21,14.3,1,15.0,12.3
Kevin Love,CLE,4,4,0,107,6,4,66.7,17,35.3,2,40.0,10.9
Kevin Seraphin,WAS,5,3,2,66,3,0,0.0,11,27.3,0,27.3,8.6
Khris Middleton,MIL,6,2,4,232,7,3,42.9,18,38.9,1,41.2,14.4
Kirk Hinrich,CHI,3,2,1,53,0,0,0.0,1,0.0,0,0.0,0.0
Klay Thompson,GSW,20,16,4,715,9,2,22.2,49,18.4,1,18.8,17.0
Kosta Koufos,MEM,11,6,5,127,19,14,73.7,40,47.5,2,50.0,5.9
Kostas Papanikolaou,HOU,2,1,1,11,0,0,0.0,0,0.0,0,0.0,0.0
Kris Humphries,WAS,1,1,0,5,0,0,0.0,0,0.0,0,0.0,0.0
Kyle Korver,ATL,14,8,6,526,1,0,0.0,22,4.5,0,4.5,23.8
Kyle Lowry,TOR,4,0,4,131,7,3,42.9,28,25.0,1,25.9,7.7
Kyrie Irving,CLE,12,9,3,430,10,5,50.0,43,23.3,6,27.0,12.0
LaMarcus Aldridge,POR,5,1,4,208,21,15,71.4,37,56.8,1,58.3,4.2
LeBron James,CLE,19,13,6,794,33,21,63.6,114,28.9,5,30.3,9.1
Leandro Barbosa,GSW,13,10,3,152,7,3,42.9,23,30.4,0,30.4,10.8
Lester Hudson,LAC,1,0,1,8,0,0,0.0,0,0.0,0,0.0,0.0
Lou Williams,TOR,4,0,4,102,2,2,100.0,6,33.3,0,33.3,4.3
Manu Ginobili,SAS,7,3,4,131,4,2,50.0,13,30.8,0,30.8,14.1
Marc Gasol,MEM,11,6,5,416,19,10,52.6,51,37.3,2,38.8,7.8
Marcin Gortat,WAS,10,6,4,307,27,18,66.7,58,46.6,0,46.6,5.9
Marco Belinelli,SAS,7,3,4,116,2,0,0.0,3,66.7,0,66.7,16.9
Marcus Smart,BOS,4,0,4,90,5,3,60.0,6,83.3,0,83.3,5.0
Markel Brown,BKN,2,0,2,10,2,2,100.0,2,100.0,0,100.0,2.3
Marreese Speights,GSW,8,6,2,61,8,5,62.5,20,40.0,0,40.0,6.0
Mason Plumlee,BKN,3,1,2,30,2,2,100.0,4,50.0,0,50.0,3.1
Matt Barnes,LAC,13,7,6,389,16,7,43.8,35,45.7,2,48.5,8.5
Matt Bonner,SAS,4,3,1,29,0,0,0.0,2,0.0,0,0.0,0.0
