PLAYER,TEAM,GP,W,L,MIN,FGM,FGA,FG%,3PM,3PA,3P%,eFG%,PTS,PLAYER_ID,TEAM_ID
Aaron Brooks,CHI,12,6,6,132.0,10,28,35.699999999999996,4.0,15.0,26.700000000000003,42.9,24,201166,1610612741
Al Horford,ATL,16,8,8,522.0,5,15,33.300000000000004,0.0,0.0,,33.300000000000004,10,201143,1610612737
Al-Farouq Aminu,DAL,5,1,4,150.0,2,3,66.7,2.0,2.0,100.0,100.0,6,202329,1610612742
Alan Anderson,BKN,6,2,4,142.0,5,10,50.0,0.0,1.0,0.0,50.0,10,101187,1610612751
Alexis Ajinca,NOP,3,0,3,10.0,0,0,,,,,,0,201582,1610612740
Allen Crabbe,POR,2,0,2,39.0,0,0,,0.0,0.0,,,0,203459,1610612757
Alonzo Gee,POR,1,0,1,3.0,0,0,,,,,,0,202087,1610612757
Amar'e Stoudemire,DAL,5,1,4,75.0,1,2,50.0,,,,50.0,2,2405,1610612742
Amir Johnson,TOR,4,0,4,112.0,0,0,,0.0,0.0,,,0,101161,1610612761
Andre Iguodala,GSW,21,16,5,635.0,13,37,35.099999999999994,2.0,9.0,22.2,37.8,28,2738,1610612744
Andrew Bogut,GSW,19,14,5,440.0,0,4,0.0,0.0,1.0,0.0,0.0,0,101106,1610612744
Anthony Davis,NOP,4,0,4,172.0,8,20,40.0,0.0,1.0,0.0,40.0,16,203076,1610612740
Aron Baynes,SAS,4,2,2,40.0,0,0,,,,,,0,203382,1610612759
Arron Afflalo,POR,3,1,2,60.0,1,2,50.0,0.0,0.0,,50.0,2,201167,1610612757
Austin Rivers,LAC,14,7,7,250.0,9,26,34.599999999999994,2.0,7.0,28.599999999999998,38.5,20,203085,1610612746
Avery Bradley,BOS,4,0,4,133.0,6,24,25.0,1.0,7.0,14.299999999999999,27.1,13,202340,1610612738
Beno Udrih,MEM,10,5,5,175.0,17,42,40.5,0.0,6.0,0.0,40.5,34,2757,1610612763
Bernard James,DAL,1,0,1,2.0,0,0,,,,,,0,203108,1610612742
Blake Griffin,LAC,14,7,7,557.0,11,29,37.9,1.0,5.0,20.0,39.7,23,201933,1610612746
Bojan Bogdanović,BKN,6,2,4,206.0,2,8,25.0,0.0,2.0,0.0,25.0,4,202711,1610612751
Boris Diaw,SAS,7,3,4,198.0,7,13,53.800000000000004,0.0,2.0,0.0,53.800000000000004,14,2564,1610612759
Bradley Beal,WAS,10,6,4,418.0,26,71,36.6,4.0,17.0,23.5,39.4,56,203078,1610612764
Brandon Bass,BOS,4,0,4,86.0,1,3,33.300000000000004,,,,33.300000000000004,2,101138,1610612738
Brandon Rush,GSW,3,3,0,7.0,0,1,0.0,0.0,0.0,,0.0,0,201575,1610612744
Brendan Haywood,CLE,1,1,0,2.0,0,0,,,,,,0,2217,1610612739
Brook Lopez,BKN,6,2,4,234.0,1,9,11.1,,,,11.1,2,201572,1610612751
CJ McCollum,POR,5,1,4,166.0,7,15,46.7,2.0,4.0,50.0,53.300000000000004,16,203468,1610612757
Chandler Parsons,DAL,1,0,1,37.0,0,4,0.0,0.0,2.0,0.0,0.0,0,202718,1610612742
Charlie Villanueva,DAL,5,1,4,43.0,2,4,50.0,2.0,4.0,50.0,75.0,6,101111,1610612742
Chris Kaman,POR,3,0,3,37.0,0,0,,,,,,0,2549,1610612757
Chris Paul,LAC,12,6,6,445.0,57,123,46.300000000000004,16.0,44.0,36.4,52.800000000000004,130,101108,1610612746
Clint Capela,HOU,17,9,8,127.0,0,0,,,,,,0,203991,1610612745
Corey Brewer,HOU,17,9,8,428.0,4,18,22.2,0.0,5.0,0.0,22.2,8,201147,1610612745
