TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%,shot_coverage,round,year
Atlanta Hawks,6,6,20.6,48,101,47.5,47.5,20.4,48,100,48.0,0.2,0,1,0.0,very_tight,2,2015
Los Angeles Clippers,7,7,16.3,54,93,58.1,59.1,15.4,52,88,59.1,0.9,2,5,40.0,very_tight,2,2015
Washington Wizards,6,6,19.5,43,93,46.2,46.2,19.5,43,93,46.2,0.0,0,0,-,very_tight,2,2015
Cleveland Cavaliers,6,6,20.8,59,92,64.1,64.7,20.1,58,89,65.2,0.7,1,3,33.3,very_tight,2,2015
Memphis Grizzlies,6,6,18.5,42,86,48.8,48.8,18.5,42,86,48.8,0.0,0,0,-,very_tight,2,2015
Houston Rockets,7,7,15.8,41,86,47.7,47.7,15.4,41,84,48.8,0.4,0,2,0.0,very_tight,2,2015
Chicago Bulls,6,6,17.2,36,79,45.6,45.6,17.2,36,79,45.6,0.0,0,0,-,very_tight,2,2015
Golden State Warriors,6,6,13.7,34,62,54.8,55.6,13.2,33,60,55.0,0.4,1,2,50.0,very_tight,2,2015
Houston Rockets,7,7,36.4,103,199,51.8,53.8,30.4,95,166,57.2,6.0,8,33,24.2,tight,2,2015
Los Angeles Clippers,7,7,29.6,94,169,55.6,58.0,25.1,86,143,60.1,4.6,8,26,30.8,tight,2,2015
Memphis Grizzlies,6,6,36.0,77,167,46.1,46.1,34.7,77,161,47.8,1.3,0,6,0.0,tight,2,2015
Golden State Warriors,6,6,35.3,82,160,51.3,54.1,29.8,73,135,54.1,5.5,9,25,36.0,tight,2,2015
Chicago Bulls,6,6,34.6,75,159,47.2,48.7,31.1,70,143,49.0,3.5,5,16,31.3,tight,2,2015
Washington Wizards,6,6,30.8,64,147,43.5,44.9,26.4,60,126,47.6,4.4,4,21,19.0,tight,2,2015
Cleveland Cavaliers,6,6,31.2,65,138,47.1,51.1,26.5,54,117,46.2,4.8,11,21,52.4,tight,2,2015
Atlanta Hawks,6,6,27.3,71,134,53.0,54.5,24.6,67,121,55.4,2.6,4,13,30.8,tight,2,2015
Los Angeles Clippers,7,7,26.0,58,148,39.2,45.6,13.0,39,74,52.7,13.0,19,74,25.7,open,2,2015
Washington Wizards,6,6,26.6,64,127,50.4,57.5,17.2,46,82,56.1,9.4,18,45,40.0,open,2,2015
Houston Rockets,7,7,22.3,53,122,43.4,52.5,10.3,31,56,55.4,12.1,22,66,33.3,open,2,2015
Chicago Bulls,6,6,25.0,48,115,41.7,48.7,15.4,32,71,45.1,9.6,16,44,36.4,open,2,2015
Cleveland Cavaliers,6,6,26.0,45,115,39.1,46.5,12.0,28,53,52.8,14.0,17,62,27.4,open,2,2015
Golden State Warriors,6,6,24.1,49,109,45.0,51.8,13.9,34,63,54.0,10.2,15,46,32.6,open,2,2015
Memphis Grizzlies,6,6,23.3,48,108,44.4,48.1,16.4,40,76,52.6,6.9,8,32,25.0,open,2,2015
Atlanta Hawks,6,6,19.3,38,95,40.0,46.8,11.2,25,55,45.5,8.1,13,40,32.5,open,2,2015
Atlanta Hawks,6,6,32.8,64,161,39.8,50.6,12.2,29,60,48.3,20.6,35,101,34.7,wide_open,2,2015
Los Angeles Clippers,7,7,28.1,76,160,47.5,59.7,10.4,37,59,62.7,17.7,39,101,38.6,wide_open,2,2015
Houston Rockets,7,7,25.5,62,139,44.6,60.1,5.5,19,30,63.3,20.0,43,109,39.4,wide_open,2,2015
Golden State Warriors,6,6,26.9,54,122,44.3,61.9,4.6,11,21,52.4,22.3,43,101,42.6,wide_open,2,2015
Washington Wizards,6,6,23.2,44,111,39.6,52.7,9.4,15,45,33.3,13.8,29,66,43.9,wide_open,2,2015
Chicago Bulls,6,6,23.3,43,107,40.2,50.5,9.1,21,42,50.0,14.1,22,65,33.8,wide_open,2,2015
Memphis Grizzlies,6,6,22.2,40,103,38.8,47.1,10.8,23,50,46.0,11.4,17,53,32.1,wide_open,2,2015
Cleveland Cavaliers,6,6,21.9,36,97,37.1,52.1,5.0,7,22,31.8,17.0,29,75,38.7,wide_open,2,2015
