PLAYER,TEAM,GP,W,L,MIN,Touches,ElbowTouches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Aaron Harrison,CHA,2,1,1,7,6,1,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Al Horford,ATL,10,4,6,327,655,37,5,13,38.5,4,4,100.0,14,37.8,21,56.8,2,9.5,1,2.7,1,2.7
Al Jefferson,CHA,7,3,4,168,200,33,3,9,33.3,0,0,0.0,6,18.2,21,63.6,2,9.5,2,6.1,0,0.0
Al-Farouq Aminu,POR,11,5,6,372,506,21,2,7,28.6,3,4,75.0,7,33.3,9,42.9,2,22.2,3,14.3,2,9.5
Allen Crabbe,POR,11,5,6,302,330,5,1,2,50.0,0,0,0.0,2,40.0,3,60.0,1,33.3,0,0.0,0,0.0
Amar'e Stoudemire,MIA,9,4,5,82,95,5,2,2,100.0,0,0,0.0,4,80.0,3,60.0,0,0.0,0,0.0,0,0.0
Amir Johnson,BOS,6,2,4,134,194,15,5,6,83.3,0,0,0.0,11,73.3,7,46.7,0,0.0,2,13.3,0,0.0
Anderson Varejao,GSW,17,11,6,93,150,12,1,2,50.0,2,2,100.0,4,33.3,9,75.0,5,55.6,0,0.0,1,8.3
Andre Drummond,DET,4,0,4,131,123,15,5,8,62.5,0,2,0.0,10,66.7,4,26.7,0,0.0,0,0.0,1,6.7
Andre Iguodala,GSW,24,15,9,767,1218,24,3,13,23.1,0,2,0.0,6,25.0,7,29.2,0,0.0,3,12.5,1,4.2
Andre Miller,SAS,5,3,2,35,86,3,0,1,0.0,0,0,0.0,0,0.0,2,66.7,0,0.0,0,0.0,0,0.0
Andre Roberson,OKC,18,11,7,471,408,8,1,3,33.3,0,0,0.0,2,25.0,5,62.5,2,40.0,0,0.0,0,0.0
Andrew Bogut,GSW,22,15,7,365,630,29,7,7,100.0,0,0,0.0,14,48.3,20,69.0,2,10.0,2,6.9,0,0.0
Andrew Goudelock,HOU,2,0,2,11,18,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Anthony Morrow,OKC,14,8,6,76,46,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0
Anthony Tolliver,DET,3,0,3,26,32,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,1,100.0,0,0.0,0,0.0
Aron Baynes,DET,4,0,4,44,34,8,1,3,33.3,0,0,0.0,3,37.5,4,50.0,1,25.0,1,12.5,0,0.0
Austin Rivers,LAC,6,2,4,144,267,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Avery Bradley,BOS,1,0,1,33,38,2,1,1,100.0,2,2,100.0,5,250.0,0,0.0,0,0.0,0,0.0,1,50.0
Bismack Biyombo,TOR,20,10,10,506,707,53,12,15,80.0,3,4,75.0,29,54.7,32,60.4,3,9.4,2,3.8,2,3.8
Blake Griffin,LAC,4,2,2,127,274,35,7,11,63.6,9,12,75.0,24,68.6,17,48.6,2,11.8,1,2.9,4,11.4
Boban Marjanovic,SAS,7,4,3,42,67,16,0,1,0.0,0,0,0.0,0,0.0,14,87.5,3,21.4,1,6.3,0,0.0
Boris Diaw,SAS,9,6,3,159,326,21,1,2,50.0,0,0,0.0,2,9.5,18,85.7,2,11.1,0,0.0,0,0.0
Brandon Rush,GSW,14,8,6,110,135,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Brian Roberts,POR,10,4,6,36,46,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Briante Weber,MIA,2,1,1,6,13,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
C.J. Wilcox,LAC,2,0,2,7,8,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CJ McCollum,POR,11,5,6,442,677,11,2,3,66.7,0,0,0.0,4,36.4,8,72.7,1,12.5,0,0.0,0,0.0
CJ Miles,IND,7,3,4,92,120,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cameron Payne,OKC,10,7,3,64,132,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Channing Frye,CLE,17,12,5,237,371,6,1,2,50.0,0,0,0.0,2,33.3,2,33.3,0,0.0,1,16.7,0,0.0
Charlie Villanueva,DAL,4,0,4,20,29,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chris Andersen,MEM,4,0,4,79,120,7,0,0,0.0,2,2,100.0,2,28.6,6,85.7,1,16.7,0,0.0,1,14.3
Chris Kaman,POR,4,2,2,32,59,4,1,3,33.3,0,0,0.0,2,50.0,1,25.0,0,0.0,0,0.0,0,0.0
Chris Paul,LAC,4,2,2,125,330,4,0,0,0.0,0,0,0.0,0,0.0,4,100.0,2,50.0,0,0.0,0,0.0
Clint Capela,HOU,5,1,4,43,51,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0
Cody Zeller,CHA,7,3,4,137,119,23,9,13,69.2,7,8,87.5,25,108.7,6,26.1,0,0.0,0,0.0,4,17.4
Cole Aldrich,LAC,6,2,4,77,142,14,1,3,33.3,0,2,0.0,2,14.3,10,71.4,2,20.0,0,0.0,1,7.1
Corey Brewer,HOU,5,1,4,77,98,2,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0
Cory Joseph,TOR,20,10,10,452,915,13,2,3,66.7,0,0,0.0,5,38.5,10,76.9,1,10.0,0,0.0,0,0.0
Courtney Lee,CHA,7,3,4,257,315,2,0,1,0.0,2,2,100.0,2,100.0,0,0.0,0,0.0,0,0.0,1,50.0
Dahntay Jones,CLE,15,11,4,50,46,1,1,1,100.0,0,0,0.0,3,300.0,0,0.0,0,0.0,0,0.0,0,0.0
Damian Lillard,POR,11,5,6,437,1036,15,4,7,57.1,0,0,0.0,10,66.7,7,46.7,0,0.0,1,6.7,0,0.0
Danny Green,SAS,10,6,4,267,374,4,1,1,100.0,0,0,0.0,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0
David Lee,DAL,2,0,2,33,45,6,2,2,100.0,0,0,0.0,4,66.7,3,50.0,0,0.0,1,16.7,0,0.0
David West,SAS,10,6,4,176,309,40,7,16,43.8,2,2,100.0,17,42.5,19,47.5,1,5.3,3,7.5,1,2.5
DeAndre Jordan,LAC,6,2,4,198,351,14,2,2,100.0,1,2,50.0,5,35.7,10,71.4,2,20.0,1,7.1,1,7.1
