PLAYER,TEAM,AGE,POSITION,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,Diff%
Dahntay Jones,CLE,35,G-F,9,1,6.7,1.0,1.0,100.0,51.6,48.4
C.J. Wilcox,LAC,25,G,1,1,66.7,2.0,2.0,100.0,52.5,47.5
Luis Montero,POR,23,G,3,1,33.3,1.0,1.0,100.0,53.3,46.7
Nicolas Batum,CHA,27,G-F,5,4,31.0,9.0,9.0,100.0,59.2,40.8
David Lee,DAL,33,F-C,2,2,23.1,3.0,3.0,100.0,60.0,40.0
J.J. Barea,DAL,32,G,4,3,20.7,6.0,6.0,100.0,61.5,38.5
Devin Harris,DAL,33,G,5,4,21.6,8.0,8.0,100.0,63.2,36.8
Jason Terry,HOU,38,G,5,5,22.6,7.0,7.0,100.0,63.5,36.5
John Holland,BOS,27,G-F,1,1,100.0,1.0,1.0,100.0,63.8,36.2
Andre Miller,SAS,40,G,4,1,30.0,3.0,3.0,100.0,64.6,35.4
Pablo Prigioni,LAC,39,G,3,1,15.4,2.0,2.0,100.0,65.3,34.7
Nazr Mohammed,OKC,38,C,2,1,50.0,1.0,1.0,100.0,65.3,34.7
Delon Wright,TOR,24,G,8,2,10.5,2.0,2.0,100.0,65.5,34.5
Norman Powell,TOR,23,G,14,7,18.8,8.0,9.0,88.9,61.1,27.7
Cameron Payne,OKC,21,G,7,4,35.0,6.0,7.0,85.7,61.2,24.5
Jared Sullinger,BOS,24,C-F,6,6,33.3,13.0,15.0,86.7,62.5,24.1
Kyle Singler,OKC,28,F,5,4,38.9,6.0,7.0,85.7,61.6,24.1
Jamal Crawford,LAC,36,G,6,5,18.9,6.0,7.0,85.7,61.7,24.0
Luis Scola,TOR,36,F,11,7,19.2,8.0,10.0,80.0,58.8,21.3
James Harden,HOU,26,G,5,5,27.5,16.0,19.0,84.2,63.0,21.2
Allen Crabbe,POR,24,G,11,8,15.2,12.0,14.0,85.7,65.5,20.2
Chris Paul,LAC,31,G,4,3,10.5,3.0,4.0,75.0,55.8,19.2
Stanley Johnson,DET,20,F,4,4,36.1,11.0,13.0,84.6,65.6,19.0
Chris Kaman,POR,34,C,4,3,58.3,6.0,7.0,85.7,67.0,18.7
Rodney Stuckey,IND,30,G,7,6,22.0,7.0,9.0,77.8,59.6,18.2
Ian Clark,GSW,25,G,12,6,16.3,6.0,8.0,75.0,57.3,17.7
Trevor Ariza,HOU,31,F,5,4,18.4,7.0,9.0,77.8,60.6,17.2
Leandro Barbosa,GSW,33,G,18,7,17.0,7.0,9.0,77.8,60.8,16.9
Donatas Motiejunas,HOU,25,F-C,5,4,20.5,7.0,9.0,77.8,61.9,15.9
Randy Foye,OKC,32,G,14,10,32.8,15.0,20.0,75.0,60.2,14.8
Brian Roberts,POR,30,G,6,3,44.4,3.0,4.0,75.0,60.5,14.6
Jeremy Lin,CHA,27,G,7,6,23.6,13.0,17.0,76.5,62.0,14.5
Kyrie Irving,CLE,24,G,21,20,26.4,47.0,63.0,74.6,60.2,14.4
Jason Thompson,TOR,29,F-C,9,6,47.4,7.0,9.0,77.8,64.2,13.6
Lucas Nogueira,TOR,23,C,4,3,66.7,9.0,12.0,75.0,61.5,13.5
Tim Hardaway Jr.,ATL,24,G,7,5,35.0,5.0,7.0,71.4,58.2,13.3
Marvin Williams,CHA,30,F,7,6,25.0,12.0,15.0,80.0,66.8,13.2
Tony Parker,SAS,34,G,10,7,22.6,10.0,14.0,71.4,58.3,13.1
Manu Ginobili,SAS,38,G,10,7,34.0,12.0,18.0,66.7,55.2,11.5
Udonis Haslem,MIA,36,F,7,6,46.7,10.0,14.0,71.4,59.9,11.5
Mo Williams,CLE,33,G,7,2,21.4,2.0,3.0,66.7,55.2,11.4
Josh Smith,HOU,30,F,4,3,36.4,3.0,4.0,75.0,63.9,11.2
Luc Mbah a Moute,LAC,29,F,5,4,22.0,6.0,9.0,66.7,55.8,10.9
Kirk Hinrich,ATL,35,G,3,2,33.3,2.0,3.0,66.7,56.3,10.4
Stephen Curry,GSW,28,G,18,17,20.7,26.0,37.0,70.3,60.1,10.2
Chris Andersen,MEM,37,F-C,4,4,42.1,6.0,8.0,75.0,64.8,10.2
Patrick Beverley,HOU,27,G,5,5,27.9,12.0,17.0,70.6,60.6,10.0
Reggie Jackson,DET,26,G,4,4,13.7,5.0,7.0,71.4,61.5,10.0
JR Smith,CLE,30,G-F,21,17,20.7,27.0,38.0,71.1,61.2,9.9
Michael Beasley,HOU,27,F,5,5,31.3,7.0,10.0,70.0,60.4,9.6
Isaiah Thomas,BOS,27,G,6,5,18.2,7.0,10.0,70.0,60.6,9.4
CJ McCollum,POR,24,G,11,10,18.5,25.0,35.0,71.4,62.4,9.0
Matthew Dellavedova,CLE,25,G,19,12,26.3,14.0,21.0,66.7,58.1,8.6
