Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CTTouches,Time OfPoss,Avg Sec PerTouch,Avg Drib PerTouch,PTS PerTouch,ElbowTouches,PostUps,PaintTouches,PTS PerElbow Touch,PTS PerPost Touch,PTS PerPaint Touch
Aaron Harrison,CHA,2,1,1,7,0,6,1,0,2.28,2.0,0.0,1,0,0,0.0,0.0,0.0
Al Horford,ATL,10,4,6,327,134,655,402,18,1.64,0.6,0.205,37,46,55,0.378,0.478,0.818
Al Jefferson,CHA,7,3,4,168,93,200,165,8,2.41,0.77,0.465,33,65,38,0.182,0.646,0.842
Al-Farouq Aminu,POR,11,5,6,372,161,506,294,15,1.77,0.86,0.318,21,3,37,0.333,1.0,0.568
Allen Crabbe,POR,11,5,6,302,105,330,233,10,1.75,0.61,0.318,5,2,6,0.4,0.0,1.167
Amar'e Stoudemire,MIA,9,4,5,82,30,95,72,3,1.71,0.4,0.316,5,7,15,0.8,0.714,1.0
Amir Johnson,BOS,6,2,4,134,51,194,114,5,1.47,0.5,0.263,15,6,37,0.733,0.333,1.0
Anderson Varejao,GSW,17,11,6,93,20,150,97,4,1.64,0.57,0.133,12,12,19,0.333,0.083,0.263
Andre Drummond,DET,4,0,4,131,67,123,93,4,1.93,0.74,0.545,15,27,35,0.667,0.556,0.971
Andre Iguodala,GSW,24,15,9,767,213,1218,766,60,2.95,1.93,0.175,24,33,63,0.25,0.303,0.762
Andre Miller,SAS,5,3,2,35,9,86,36,7,5.04,4.18,0.105,3,0,5,0.0,0.0,0.8
Andre Roberson,OKC,18,11,7,471,100,408,249,9,1.29,0.45,0.245,8,2,52,0.25,0.0,0.712
Andrew Bogut,GSW,22,15,7,365,101,630,374,18,1.69,0.45,0.16,29,46,104,0.483,0.0,0.75
Andrew Goudelock,HOU,2,0,2,11,6,18,7,2,5.22,5.11,0.333,0,0,0,0.0,0.0,0.0
Anthony Morrow,OKC,14,8,6,76,37,46,41,2,2.05,1.41,0.804,1,0,1,2.0,0.0,2.0
Anthony Tolliver,DET,3,0,3,26,4,32,15,1,1.36,0.19,0.125,1,0,2,0.0,0.0,0.0
Aron Baynes,DET,4,0,4,44,10,34,26,1,1.63,0.38,0.294,8,4,10,0.375,0.0,0.9
Austin Rivers,LAC,6,2,4,144,62,267,100,23,5.2,5.29,0.232,1,0,2,0.0,0.0,1.0
Avery Bradley,BOS,1,0,1,33,18,38,28,1,2.06,1.34,0.474,2,0,0,2.5,0.0,0.0
Bismack Biyombo,TOR,20,10,10,506,123,707,302,18,1.49,0.26,0.174,53,4,118,0.547,0.5,0.746
Blake Griffin,LAC,4,2,2,127,60,274,171,11,2.44,1.19,0.219,35,24,14,0.686,0.333,0.857
Boban Marjanovic,SAS,7,4,3,42,24,67,45,2,1.85,0.17,0.358,16,8,16,0.0,0.75,1.188
Boris Diaw,SAS,9,6,3,159,47,326,215,12,2.12,0.89,0.144,21,37,27,0.095,0.486,0.519
Brandon Rush,GSW,14,8,6,110,23,135,76,4,1.81,0.92,0.17,0,0,2,0.0,0.0,1.0
Brian Roberts,POR,10,4,6,36,8,46,20,4,5.65,5.09,0.174,0,0,0,0.0,0.0,0.0
Briante Weber,MIA,2,1,1,6,0,13,4,1,5.32,4.38,0.0,0,0,0,0.0,0.0,0.0
C.J. Wilcox,LAC,2,0,2,7,0,8,3,0,3.06,2.63,0.0,0,0,0,0.0,0.0,0.0
CJ McCollum,POR,11,5,6,442,225,677,346,52,4.59,4.37,0.332,11,0,10,0.364,0.0,0.4
CJ Miles,IND,7,3,4,92,24,120,74,3,1.51,0.86,0.2,0,1,6,0.0,0.0,0.667
Cameron Payne,OKC,10,7,3,64,18,132,37,14,6.15,6.04,0.136,0,0,1,0.0,0.0,2.0
Channing Frye,CLE,17,12,5,237,114,371,174,9,1.4,0.22,0.307,6,7,14,0.333,0.286,0.929
Charlie Villanueva,DAL,4,0,4,20,9,29,20,1,1.44,0.79,0.31,1,3,2,0.0,0.0,1.0
Chris Andersen,MEM,4,0,4,79,15,120,61,3,1.58,0.21,0.125,7,1,21,0.286,0.0,0.714
Chris Kaman,POR,4,2,2,32,14,59,40,2,1.89,0.8,0.237,4,5,3,0.5,0.4,0.0
Chris Paul,LAC,4,2,2,125,95,330,121,32,5.8,5.26,0.288,4,8,4,0.0,1.25,1.5
Clint Capela,HOU,5,1,4,43,8,51,19,1,1.48,0.43,0.157,1,0,8,2.0,0.0,0.625
Cody Zeller,CHA,7,3,4,137,59,119,81,3,1.7,0.59,0.496,23,3,27,1.087,0.667,0.926
Cole Aldrich,LAC,6,2,4,77,23,142,54,4,1.57,0.35,0.162,14,2,19,0.143,2.0,0.895
Corey Brewer,HOU,5,1,4,77,22,98,69,3,2.07,1.05,0.224,2,0,7,0.0,0.0,0.571
Cory Joseph,TOR,20,10,10,452,170,915,354,93,6.09,6.62,0.186,13,2,20,0.385,1.0,0.6
Courtney Lee,CHA,7,3,4,257,60,315,160,15,2.79,1.63,0.19,2,0,8,1.0,0.0,1.125
Dahntay Jones,CLE,15,11,4,50,17,46,30,2,2.72,1.22,0.37,1,2,1,3.0,1.0,3.0
Damian Lillard,POR,11,5,6,437,291,1036,294,106,6.13,5.96,0.281,15,1,16,0.667,0.0,0.625
Danny Green,SAS,10,6,4,267,86,374,220,11,1.79,0.79,0.23,4,0,4,0.5,0.0,1.0
David Lee,DAL,2,0,2,33,12,45,24,1,1.72,0.42,0.267,6,2,7,0.667,1.0,1.143
David West,SAS,10,6,4,176,58,309,193,8,1.51,0.36,0.188,40,10,40,0.425,0.2,0.475
DeAndre Jordan,LAC,6,2,4,198,70,351,170,8,1.42,0.24,0.199,14,4,51,0.357,0.0,0.882
DeMar DeRozan,TOR,20,10,10,746,418,1188,838,85,4.28,3.7,0.352,22,24,20,0.318,0.583,0.3
DeMarre Carroll,TOR,20,10,10,596,177,692,433,23,2.0,1.03,0.256,11,7,32,0.818,0.857,0.844
Delon Wright,TOR,9,3,6,41,14,72,30,6,4.94,4.13,0.194,1,0,2,1.0,0.0,0.5
Dennis Schroder,ATL,10,4,6,191,117,524,247,43,4.91,4.14,0.223,1,1,6,0.0,0.0,0.667
Deron Williams,DAL,3,1,2,49,15,146,67,10,3.96,3.32,0.103,7,0,1,0.429,0.0,0.0
Devin Harris,DAL,5,1,4,121,39,194,118,8,2.45,1.75,0.201,5,0,5,0.0,0.0,0.6
Dion Waiters,OKC,18,11,7,491,151,516,292,40,4.63,3.92,0.293,2,3,6,0.0,0.0,0.0
Dirk Nowitzki,DAL,5,1,4,170,102,256,182,8,1.97,0.59,0.398,24,38,11,0.75,0.921,0.727
Donatas Motiejunas,HOU,5,1,4,98,44,197,126,5,1.53,0.59,0.223,17,18,18,0.353,0.333,0.722
Dorell Wright,MIA,5,2,3,19,16,33,20,1,2.28,1.45,0.485,1,0,0,0.0,0.0,0.0
