bref_id,Player,Season,team,Offensive Archetype,Minutes,Games,Pos,Age,LEBRON,O-LEBRON,D-LEBRON,WAR,NBA ID,boxLEBRON,boxOLEBRON,boxDLEBRON,year
jamesle01,lebron james,2020-21,LAL,Shot Creator,1504,45,PG,36,5.31,3.93,1.38,7.30,2544.0,3.92,3.24,0.68,2021
anthoca01,carmelo anthony,2020-21,POR,Versatile Big,1690,69,PF,36,-1.94,-0.01,-1.93,0.50,2546.0,-0.59,0.54,-1.12,2021
hasleud01,udonis haslem,2020-21,MIA,Roll + Cut Big,3,1,C,40,-1.37,-1.5,0.13,0.00,2617.0,-1.38,-1.54,0.16,2021
howardw01,dwight howard,2020-21,PHI,Roll + Cut Big,1196,69,C,35,0.58,-0.7,1.28,2.30,2730.0,0.64,-1.07,1.71,2021
iguodan01,andre iguodala,2020-21,MIA,Stationary Shooter,1339,63,SF,37,-1.16,-1.94,0.78,1.10,2738.0,-0.9,-1.98,1.08,2021
varejan01,anderson varejao,2020-21,CLE,Post Scorer,36,5,C,38,-1.54,-1.78,0.23,0.00,2760.0,-1.05,-1.54,0.49,2021
arizatr01,trevor ariza,2020-21,MIA,Stationary Shooter,841,30,SF,35,-0.06,-0.73,0.67,1.30,2772.0,0.22,-0.66,0.88,2021
paulch01,chris paul,2020-21,PHO,Shot Creator,2200,70,PG,35,3.53,2.5,1.03,8.40,101108.0,3.75,3.02,0.73,2021
ilyaser01,ersan ilyasova,2020-21,UTA,Stretch Big,148,17,PF,33,-1.7,-1.16,-0.54,0.10,101141.0,-1.57,-1.21,-0.37,2021
willilo02,lou williams,2020-21,LAC/ATL,Slasher,1423,66,PG,34,-1.96,-0.35,-1.61,0.40,101150.0,-0.98,0.09,-1.07,2021
aldrila01,lamarcus aldridge,2020-21,SAS/BRK,Versatile Big,674,26,C,35,-0.71,-0.81,0.1,0.70,200746.0,-0.5,-0.47,-0.03,2021
gayru01,rudy gay,2020-21,SAS,Stationary Shooter,1358,63,PF,34,-0.19,-0.78,0.59,1.90,200752.0,-0.27,-0.31,0.03,2021
redicjj01,jj redick,2020-21,NOP/DAL,Movement Shooter,723,44,SG,36,-0.72,0.42,-1.14,0.80,200755.0,-1.55,-0.5,-1.06,2021
rondora01,rajon rondo,2020-21,ATL/LAC,Secondary Ball Handler,769,45,PG,34,-1.28,-1.0,-0.29,0.50,200765.0,-0.71,-0.51,-0.2,2021
lowryky01,kyle lowry,2020-21,TOR,Primary Ball Handler,1602,46,PG,34,0.25,0.16,0.09,2.70,200768.0,0.94,1.28,-0.34,2021
tuckepj01,p.j. tucker,2020-21,HOU/MIL,Stationary Shooter,1356,52,PF,35,-3.55,-3.71,0.15,-1.00,200782.0,-2.95,-3.36,0.4,2021
millspa01,paul millsap,2020-21,DEN,Stretch Big,1162,56,PF,35,1.38,0.28,1.1,2.80,200794.0,1.13,0.27,0.86,2021
duranke01,kevin durant,2020-21,BRK,Shot Creator,1157,35,PF,32,3.35,3.46,-0.11,4.30,201142.0,3.84,3.83,0.01,2021
horfoal01,al horford,2020-21,OKC,Versatile Big,782,28,C,34,1.42,-0.18,1.6,1.90,201143.0,1.41,0.5,0.91,2021
conlemi01,mike conley,2020-21,UTA,Primary Ball Handler,1498,51,PG,33,3.22,1.86,1.36,5.40,201144.0,3.04,2.88,0.16,2021
greenje02,jeff green,2020-21,BRK,Stretch Big,1835,68,C,34,-0.3,0.37,-0.66,2.50,201145.0,0.05,0.48,-0.44,2021
youngth01,thaddeus young,2020-21,CHI,Post Scorer,1652,68,PF,32,0.84,1.43,-0.59,3.50,201152.0,0.47,0.28,0.19,2021
dudleja01,jared dudley,2020-21,LAL,Stretch Big,81,12,PF,35,-1.52,-2.0,0.48,0.00,201162.0,-1.77,-1.96,0.19,2021
gasolma01,marc gasol,2020-21,LAL,Stretch Big,993,52,C,36,1.54,-1.13,2.67,2.50,201188.0,0.88,-1.52,2.4,2021
tollian01,anthony tolliver,2020-21,PHI,Movement Shooter,99,11,PF,35,-1.92,-1.87,-0.04,0.00,201229.0,-2.51,-1.97,-0.54,2021
rosede01,derrick rose,2020-21,DET/NYK,Slasher,1279,50,PG,32,0.05,0.05,-0.01,2.00,201565.0,-0.28,0.61,-0.89,2021
westbru01,russell westbrook,2020-21,WAS,Shot Creator,2369,65,PG,32,2.84,1.59,1.25,8.00,201566.0,2.0,1.54,0.46,2021
loveke01,kevin love,2020-21,CLE,Versatile Big,622,25,PF,32,1.87,1.08,0.79,1.70,201567.0,1.36,0.75,0.6,2021
gallida01,danilo gallinari,2020-21,ATL,Stretch Big,1222,51,PF,32,0.54,0.95,-0.41,2.30,201568.0,0.86,1.35,-0.48,2021
gordoer01,eric gordon,2020-21,HOU,Secondary Ball Handler,789,27,SG,32,-0.55,0.93,-1.48,0.90,201569.0,-1.07,0.68,-1.75,2021
augusdj01,d.j. augustin,2020-21,MIL/HOU,Secondary Ball Handler,1129,57,PG,33,-1.78,0.06,-1.84,0.40,201571.0,-1.04,0.09,-1.13,2021
lopezbr01,brook lopez,2020-21,MIL,Stretch Big,1902,70,C,32,2.44,0.23,2.21,5.90,201572.0,1.33,0.19,1.14,2021
lopezro01,robin lopez,2020-21,WAS,Post Scorer,1354,71,C,32,-1.32,-1.11,-0.22,0.90,201577.0,-2.02,-0.97,-1.05,2021
mcgeeja01,javale mcgee,2020-21,CLE/DEN,Roll + Cut Big,678,46,C,33,-0.11,-1.58,1.46,1.00,201580.0,-0.22,-1.54,1.32,2021
ibakase01,serge ibaka,2020-21,LAC,Stretch Big,955,41,C,31,1.4,0.15,1.26,2.30,201586.0,1.67,0.6,1.07,2021
