TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%
Portland Trail Blazers,82,82,20.3,717,1350,53.1,53.4,19.8,708,1317,53.8,0.5,9,33,27.3
Utah Jazz,82,82,19.6,640,1239,51.7,51.9,19.1,634,1207,52.5,0.5,6,32,18.8
Brooklyn Nets,81,81,17.6,680,1226,55.5,56.0,17.0,668,1188,56.2,0.5,12,38,31.6
Miami Heat,82,82,18.5,633,1188,53.3,53.7,18.0,624,1158,53.9,0.5,9,30,30.0
Los Angeles Lakers,82,82,17.5,677,1175,57.6,57.8,17.1,672,1152,58.3,0.3,5,23,21.7
Chicago Bulls,82,82,17.5,641,1171,54.7,55.1,17.1,633,1144,55.3,0.4,8,27,29.6
Washington Wizards,82,82,17.6,647,1167,55.4,55.7,17.1,640,1132,56.5,0.5,7,35,20.0
Oklahoma City Thunder,82,82,17.4,615,1147,53.6,53.8,17.2,610,1128,54.1,0.3,5,19,26.3
Boston Celtics,82,82,17.1,601,1143,52.6,53.1,16.4,588,1097,53.6,0.7,13,46,28.3
Phoenix Suns,80,80,17.5,629,1140,55.2,55.7,16.8,617,1094,56.4,0.7,12,46,26.1
Philadelphia 76ers,82,82,17.2,640,1136,56.3,56.7,16.9,631,1117,56.5,0.3,9,19,47.4
Detroit Pistons,82,82,16.9,582,1099,53.0,53.7,16.1,565,1048,53.9,0.8,17,51,33.3
New York Knicks,82,82,16.3,600,1094,54.8,55.3,15.7,589,1055,55.8,0.6,11,39,28.2
Toronto Raptors,81,81,17.2,548,1084,50.6,51.2,16.3,533,1031,51.7,0.8,15,53,28.3
San Antonio Spurs,81,81,17.2,590,1080,54.6,55.1,16.7,580,1045,55.5,0.6,10,35,28.6
Houston Rockets,82,82,15.3,600,1062,56.5,56.7,15.0,596,1038,57.4,0.3,4,24,16.7
Indiana Pacers,81,81,16.5,578,1055,54.8,55.1,16.2,572,1037,55.2,0.3,6,18,33.3
Milwaukee Bucks,82,82,16.5,593,1049,56.5,56.9,15.8,585,1004,58.3,0.7,8,45,17.8
Cleveland Cavaliers,82,82,15.1,608,1047,58.1,58.6,14.6,596,1013,58.8,0.5,12,34,35.3
Orlando Magic,82,82,15.5,583,1035,56.3,56.6,15.0,577,1004,57.5,0.5,6,31,19.4
Minnesota Timberwolves,82,82,15.9,589,1030,57.2,57.4,15.4,585,997,58.7,0.5,4,33,12.1
Atlanta Hawks,82,82,15.3,560,1030,54.4,55.1,14.6,545,983,55.4,0.7,15,47,31.9
Denver Nuggets,81,81,15.1,587,1029,57.0,57.8,14.4,572,984,58.1,0.7,15,45,33.3
Dallas Mavericks,81,81,16.7,601,1021,58.9,59.5,16.1,587,979,60.0,0.7,14,42,33.3
Charlotte Hornets,82,82,15.1,602,1012,59.5,60.0,14.6,592,981,60.3,0.5,10,31,32.3
Golden State Warriors,82,82,15.0,537,1011,53.1,53.6,14.6,527,986,53.4,0.4,10,25,40.0
New Orleans Pelicans,82,82,14.8,560,1010,55.4,56.0,14.2,548,970,56.5,0.6,12,40,30.0
LA Clippers,82,82,14.3,495,949,52.2,53.0,13.5,479,895,53.5,0.8,16,54,29.6
Sacramento Kings,82,82,14.1,486,918,52.9,53.3,13.6,480,884,54.3,0.5,6,34,17.6
Memphis Grizzlies,82,82,14.2,471,867,54.3,54.8,13.7,462,838,55.1,0.5,9,29,31.0
