TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%
Toronto Raptors,24,24,14.7,121,293,41.3,42.0,13.9,117,278,42.1,0.8,4,15,26.7
Golden State Warriors,22,22,15.5,122,292,41.8,42.8,14.2,116,267,43.4,1.3,6,25,24.0
Portland Trail Blazers,16,16,16.7,103,235,43.8,44.3,16.0,101,225,44.9,0.7,2,10,20.0
Denver Nuggets,14,14,14.9,82,183,44.8,45.4,14.6,80,179,44.7,0.3,2,4,50.0
Milwaukee Bucks,15,15,12.7,63,171,36.8,37.1,12.1,62,163,38.0,0.6,1,8,12.5
Philadelphia 76ers,12,12,15.2,68,158,43.0,44.0,14.7,65,152,42.8,0.6,3,6,50.0
Boston Celtics,9,9,13.3,45,104,43.3,43.3,13.2,45,103,43.7,0.1,0,1,0.0
Houston Rockets,11,11,10.2,41,97,42.3,43.3,9.6,39,91,42.9,0.6,2,6,33.3
Oklahoma City Thunder,5,5,18.4,35,82,42.7,43.9,17.5,33,78,42.3,0.9,2,4,50.0
Brooklyn Nets,5,5,16.8,40,78,51.3,51.9,16.1,39,75,52.0,0.6,1,3,33.3
San Antonio Spurs,7,7,12.9,36,78,46.2,46.8,12.6,35,76,46.1,0.3,1,2,50.0
Orlando Magic,5,5,15.9,34,67,50.7,50.7,14.7,34,62,54.8,1.2,0,5,0.0
LA Clippers,6,6,11.8,29,63,46.0,49.2,10.5,25,56,44.6,1.3,4,7,57.1
Detroit Pistons,4,4,12.2,21,42,50.0,51.2,11.3,20,39,51.3,0.9,1,3,33.3
Utah Jazz,5,5,9.7,16,41,39.0,41.5,7.6,14,32,43.8,2.1,2,9,22.2
Indiana Pacers,4,4,7.8,11,25,44.0,46.0,6.9,10,22,45.5,0.9,1,3,33.3
