nba_id,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Period1Fouls2Minutes,Period2Fouls2Minutes,Period2Fouls3Minutes,Period3Fouls3Minutes,Period3Fouls4Minutes,Period4Fouls4Minutes,Period4Fouls5Minutes,OnOffRtg,OnDefRtg,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,AtRimOffReboundedPct,ShortMidRangeOffReboundedPct,LongMidRangeOffReboundedPct,ThreePtOffReboundedPct,PenaltyOffPossPct,FTOffRebounds,FTDefRebounds,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,PeriodOTFouls5Minutes,DefFTReboundPct,OffFTReboundPct,Corner3PctBlocked,SecondChanceCorner3PctAssisted,PeriodOTFouls4Minutes,BlockedCorner3,Defensive 3 Seconds Violations,Period1Fouls3Minutes,Clear Path Fouls,Period3Fouls5Minutes,year,HeaveMakes,Period2Fouls4Minutes,FoulsDrawn,Offensive Fouls Drawn,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFoulsDrawn,Charge Fouls,Charge Fouls Drawn,BlockingFoulsDrawn,BlockingFouls,Transition Take Fouls Drawn,Transition Take Fouls
203894,1610612757,Shabazz Napier,Shabazz Napier,203894,POR,2795.0,4,47.0,-5.0,96.0,95.0,33.0,47.0,12.0,191.0,2.0,5.0,,,,1.0,,,1.0,3.0,,,,,,,5.0,11.0,,,3.0,6.0,3.0,8.0,5.0,11.0,6.0,27.0,118.0,,1.0,,,,,,1.0,3.0,6.0,1.0,10.0,,6.0,6.0,9.0,,,11.0,5.0,3.0,,1.0,2.0,3.0,1.0,1.0,,,1.0,8.0,1.0,,1.0,2.0,3.0,1.0,4.0,,2.0,1.0,1.0,,,,,,,,,,,2.0,6.0,1.0,,8.0,,,,3.0,,1.0,,,,,,,,,27.0,10.0,33.0,2.0,,,,,,,,117.70833333333334,124.21052631578948,,,0.4,0.4545454545454545,,0.5,0.4545454545454545,0.375,,,0.5526315789473685,,0.6428571428571429,0.5869565217391305,,0.625,0.5789473684210527,,0.375,0.6,,,,21.49532710280374,,0.0689655172413793,,0.0625,0.0526315789473684,0.0666666666666666,0.0238095238095238,,,,0.0555555555555555,,0.125,,0.0714285714285714,0.0714285714285714,,,,0.2631578947368421,0.4,1.0,,,,,,0.1578947368421052,0.3333333333333333,0.3333333333333333,,,,,,0.5789473684210527,0.4545454545454545,0.4545454545454545,0.4,,,,,,,,,0.1428571428571428,,,,0.8571428571428571,0.5,0.8421052631578947,0.4545454545454545,0.4795026315789473,0.362,0.4537214285714285,0.1363636363636363,0.2727272727272727,,,0.3703703703703703,8.3375,25.545454545454547,,,0.5,0.2,0.34375,,,,,,,,,,,,,,,,,2017,,,5.0,,,,1.0,,,1.0,,,
203894,1610612757,Shabazz Napier,Shabazz Napier,203894,POR,2101.0,2,35.0,3.0,74.0,73.0,29.0,8.0,8.0,147.0,4.0,5.0,,,2.0,2.0,1.0,2.0,,,,,,,,,,4.0,,,,1.0,5.0,7.0,,4.0,1.0,11.0,67.0,,,,,,,2.0,2.0,,1.0,1.0,5.0,2.0,8.0,,,,,4.0,,,,3.0,,3.0,,,1.0,2.0,,6.0,,,,1.0,2.0,,2.0,,3.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,,6.0,1.0,2.0,,1.0,,,2.0,,,,1.0,,,,,,,,,,,11.0,5.0,29.0,,,,,,,,,94.5945945945946,91.78082191780824,0.2,0.2,,,,,,0.7142857142857143,,1.0,0.4545454545454545,,0.6666666666666666,0.4583333333333333,,0.625,0.3636363636363636,,,,,,,21.686746987951807,0.3333333333333333,0.0526315789473684,,,,0.032258064516129,,,,,,,,0.25,,,,,,0.4545454545454545,0.8,0.8,0.25,0.1818181818181818,0.5,0.5,,,,,,,,,,0.3636363636363636,,,,,,,,,,,,0.6666666666666666,1.0,,,0.3333333333333333,,0.8181818181818182,,0.5420818181818182,,0.5319333333333334,0.0833333333333333,0.125,,,0.4545454545454545,4.542857142857143,25.5,1.0,1.0,,0.25,0.3918918918918919,,1.0,,,,,0.3333333333333333,,,,,,,,,,2018,,,5.0,,,1.0,,,,,,,
203894,1610612751,Shabazz Napier,Shabazz Napier,203894,BKN,1698.0,3,28.0,23.0,65.0,67.0,27.0,48.0,4.0,132.0,2.0,4.0,,1.0,1.0,1.0,,,2.0,2.0,,,,,,,3.0,5.0,,,1.0,1.0,4.0,6.0,3.0,5.0,7.0,24.0,68.0,,1.0,,,,,3.0,3.0,1.0,1.0,,9.0,,8.0,,9.0,,,5.0,3.0,2.0,,8.0,3.0,11.0,3.0,,5.0,3.0,,25.0,,2.0,2.0,3.0,5.0,2.0,7.0,,1.0,,1.0,,,,,,,,,,,1.0,1.0,,,8.0,1.0,,,3.0,1.0,,,,,,,,,,24.0,9.0,27.0,,,,,,,,,140.0,101.49253731343283,,,,0.6,,1.0,0.6,0.6666666666666666,,1.0,0.7727272727272727,,1.125,0.8571428571428571,,1.125,0.4545454545454545,,0.3333333333333333,0.5,,,,19.71830985915493,,0.1666666666666666,0.1666666666666666,0.2222222222222222,,0.1851851851851851,0.0869565217391304,0.2,,,,,,0.3333333333333333,0.1666666666666666,0.2,0.25,,,0.3636363636363636,0.5,1.0,,,,,,0.1818181818181818,1.0,1.0,,,,,,0.4545454545454545,0.6,0.6,,1.0,,,,,,,,0.25,1.0,,,0.25,1.0,0.8181818181818182,0.6,0.5212,0.5376,0.527,0.2857142857142857,0.375,0.1666666666666666,,0.375,7.866666666666667,26.06,0.5,,,0.5,0.4153846153846154,,,,,,,,,,,,,,,,,2019,,,5.0,1.0,,,,,,,,,
