nba_id,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Period1Fouls2Minutes,Period2Fouls2Minutes,Period2Fouls3Minutes,Period3Fouls3Minutes,Period3Fouls4Minutes,Period4Fouls4Minutes,Period4Fouls5Minutes,PeriodOTFouls5Minutes,OnOffRtg,OnDefRtg,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,AtRimOffReboundedPct,ShortMidRangeOffReboundedPct,LongMidRangeOffReboundedPct,ThreePtOffReboundedPct,PenaltyOffPossPct,Blocked3s,BlockedArc3,3SecondViolations,Defensive 3 Seconds Violations,PeriodOTFouls4Minutes,Clear Path Fouls,Corner3PctBlocked,3pt And 1 Free Throw Trips,BlockedCorner3,HeaveMakes,FoulsDrawn,Offensive Fouls Drawn,Period3Fouls5Minutes,Period1Fouls3Minutes,Period2Fouls4Minutes,year,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFoulsDrawn,BlockingFouls,Charge Fouls,Charge Fouls Drawn,BlockingFoulsDrawn,Transition Take Fouls Drawn,Transition Take Fouls
203092,1610612739,Tyler Zeller,Tyler Zeller,203092,CLE,121995.0,77,2033.0,-260.0,3887.0,3872,767.0,889.0,578.0,7759,120.0,211.0,33.0,76.0,29.0,38.0,44.0,124.0,81.0,220.0,,,,,,,,4.0,,1.0,,3.0,245.0,555.0,,4.0,120.0,610.0,4261.0,51.0,120.0,,1.0,33.0,135.0,52.0,91.0,,3.0,45.0,149.0,392.0,98.0,,,64.0,1.0,3.0,,49.0,,64.0,32.0,96.0,27.0,5.0,32.0,18.0,14.0,224.0,33.0,125.0,1.0,63.0,192.0,24.0,279.0,159.0,438.0,17.0,35.0,23.0,12.0,49.0,5.0,26.0,46.0,4.0,23.0,17.0,95.0,18.0,18.0,154.0,251.0,17.0,13.0,157.0,10.0,,62.0,,22.0,69.0,49.0,,20.0,70.0,36.0,1.0,,475.0,146.0,758.0,11.0,20.0,127.0,3.0,188.0,56.0,72.0,43.0,,102.93285310007718,110.0464876033058,0.8,0.92018779342723,,,,,,0.4414414414414414,0.425,0.5714285714285714,0.4382826475849731,0.4214876033057851,0.5531914893617021,0.4818325434439178,0.472027972027972,0.6008064516129032,0.0071556350626118,,0.0882882882882882,0.1374407582938388,0.1532258064516129,0.0045454545454545,,15.992080950285963,0.5157894736842106,0.2068965517241379,0.0091743119266055,0.1508248232521602,0.0843454790823211,0.1247524752475247,0.0650887573964497,0.1434195725534308,0.0794369029663147,0.1141649048625792,0.0819366852886405,0.0572033898305084,0.0561224489795918,0.0956521739130434,0.1716937354988399,0.1605263157894736,0.1233766233766233,0.134453781512605,0.1013513513513513,0.0653846153846153,0.5142857142857142,0.3774597495527728,0.5687203791469194,0.6593406593406593,0.725,0.221824686940966,0.3548387096774194,0.419047619047619,0.7272727272727273,0.3935599284436494,0.3681818181818181,0.3698630136986301,0.9506172839506172,,,,,0.0071556350626118,,,,0.628099173553719,0.4342105263157895,0.1212121212121212,,,,0.0082644628099173,,,0.4042553191489361,0.7631578947368421,,,0.0319148936170212,,0.3846153846153846,,0.4843467741935483,0.5320559405940595,0.5034543010752688,0.1014729950900163,0.1021416803953871,,0.221311475409836,0.2442622950819672,9.744144144144144,30.625,0.4888888888888889,0.3461538461538461,0.1666666666666666,0.3333333333333333,0.197324414715719,1.0,,2.0,3.0,,,,,1.0,,186.0,20.0,,,,2013,1.0,33.0,16.0,16.0,4.0,22.0,1.0,,
203092,1610612739,Tyler Zeller,Tyler Zeller,203092,CLE,62970.0,70,1050.0,-5.0,2015.0,2040,478.0,523.0,276.0,4055,100.0,159.0,29.0,52.0,14.0,31.0,26.0,71.0,30.0,59.0,,,,,,,,1.0,,,,1.0,156.0,289.0,,1.0,87.0,399.0,2116.0,32.0,64.0,,,31.0,95.0,24.0,57.0,,1.0,27.0,75.0,246.0,66.0,,,40.0,1.0,,,29.0,,24.0,12.0,36.0,10.0,2.0,10.0,5.0,9.0,84.0,18.0,82.0,3.0,66.0,102.0,11.0,179.0,103.0,282.0,11.0,18.0,12.0,6.0,19.0,2.0,6.0,41.0,7.0,13.0,6.0,60.0,9.0,13.0,69.0,137.0,13.0,16.0,121.0,12.0,,61.0,,6.0,38.0,23.0,,15.0,38.0,20.0,,,304.0,75.0,475.0,17.0,9.0,59.0,2.0,32.0,1.0,17.0,3.0,,104.76426799007444,103.72549019607844,0.7884615384615384,0.9044117647058824,,,,,,0.5397923875432526,0.5,0.4210526315789473,0.5379310344827586,0.5,0.4137931034482758,0.5782608695652174,0.5792682926829268,0.4934210526315789,0.0034482758620689,,0.1003460207612456,0.1383647798742138,0.0845070422535211,0.0169491525423728,,17.346500644053243,0.3166666666666666,0.1617647058823529,0.0588235294117647,0.1639871382636656,0.1091877496671105,0.1853932584269663,0.0779220779220779,0.1717791411042944,0.1018329938900203,0.1277533039647577,0.116,0.0875912408759124,0.0508474576271186,0.1666666666666666,0.1968085106382978,0.1505376344086021,0.1491935483870967,0.2014652014652014,0.1325301204819277,0.1057692307692307,0.5263157894736842,0.5482758620689655,0.6289308176100629,0.7299270072992701,0.72,0.2448275862068965,0.3661971830985915,0.4,0.8076923076923077,0.2034482758620689,0.5084745762711864,0.5172413793103449,1.0,,,,,0.0034482758620689,,,,0.8125,0.5576923076923077,0.1034482758620689,,,,,,,0.5344827586206896,0.4516129032258064,,,0.0172413793103448,,0.5517241379310345,,0.5350484429065744,0.5803519230769231,0.525419298245614,0.1799410029498525,0.1804733727810651,,0.238095238095238,0.18796992481203,6.042214532871973,81.9,0.4067796610169492,0.4888888888888889,0.2413793103448276,,0.2372208436724565,,,,3.0,,,,,,,103.0,6.0,,,,2014,5.0,11.0,5.0,3.0,5.0,9.0,3.0,,
203092,1610612738,Tyler Zeller,Tyler Zeller,203092,BOS,103856.0,82,1731.0,-119.0,3441.0,3454,620.0,816.0,400.0,6895,203.0,327.0,37.0,83.0,43.0,67.0,87.0,192.0,50.0,100.0,,,,,,,,,,,,,340.0,619.0,,,153.0,833.0,3639.0,53.0,117.0,,,41.0,147.0,55.0,97.0,,,51.0,161.0,538.0,142.0,,,54.0,,,,57.0,,85.0,28.0,113.0,25.0,3.0,27.0,5.0,53.0,254.0,41.0,103.0,2.0,82.0,225.0,12.0,319.0,146.0,465.0,14.0,18.0,10.0,8.0,40.0,2.0,22.0,36.0,8.0,18.0,3.0,76.0,8.0,15.0,125.0,205.0,25.0,16.0,186.0,20.0,,85.0,,18.0,52.0,33.0,1.0,18.0,52.0,25.0,,,686.0,161.0,617.0,10.0,13.0,89.0,6.0,84.0,12.0,31.0,13.0,6.0,102.29584423132812,105.35610885929356,0.7911764705882353,0.8594249201277955,,,,,,0.5492730210016155,0.452991452991453,0.5670103092783505,0.5492730210016155,0.452991452991453,0.5670103092783505,0.5933048433048433,0.5212765957446809,0.6338582677165354,,,0.0920840064620355,0.1345565749235474,0.0677083333333333,,,19.912976708471973,0.5263157894736842,0.1304347826086956,0.03125,0.1867219917012448,0.0816812053925456,0.1752136752136752,0.0931818181818181,0.1835026897788404,0.0846560846560846,0.1010362694300518,0.0756756756756756,0.0712871287128712,0.0901162790697674,0.1041666666666666,0.1908396946564885,0.1904761904761904,0.1791767554479419,0.1729106628242075,0.1818181818181818,0.0633484162895927,0.4807692307692308,0.5282714054927302,0.6207951070336392,0.7173144876325088,0.7881773399014779,0.3101777059773828,0.453125,0.4860335195530726,0.6896551724137931,0.1615508885298869,0.5,0.5,0.98,,,,,,,,,0.7094017094017094,0.4457831325301205,0.2702702702702703,,,,,,,0.6907216494845361,0.6417910447761194,,,,,0.5282714054927302,,0.5142348949919224,0.5327022471910112,0.5565319587628866,0.1242690058479532,0.1242690058479532,,0.1764705882352941,0.1932773109243697,5.780452342487884,,0.3387096774193548,0.2596153846153846,0.2,,0.1801801801801801,,,1.0,2.0,3.0,,,,,,180.0,6.0,,,,2015,2.0,25.0,18.0,6.0,2.0,11.0,6.0,,
203092,1610612738,Tyler Zeller,Tyler Zeller,203092,BOS,42594.0,60,710.0,-65.0,1475.0,1477,465.0,493.0,167.0,2952,88.0,138.0,23.0,36.0,26.0,39.0,20.0,72.0,30.0,80.0,,,,,,,,,,,,,138.0,290.0,,,88.0,364.0,1543.0,24.0,50.0,,,8.0,56.0,37.0,74.0,,,41.0,115.0,216.0,60.0,,,36.0,,,,20.0,,23.0,6.0,29.0,4.0,2.0,11.0,1.0,11.0,64.0,16.0,45.0,1.0,41.0,68.0,7.0,116.0,62.0,178.0,10.0,10.0,6.0,4.0,21.0,1.0,9.0,25.0,4.0,12.0,8.0,46.0,8.0,12.0,50.0,97.0,9.0,8.0,108.0,11.0,,48.0,,12.0,21.0,9.0,,12.0,22.0,12.0,,1.0,308.0,115.0,464.0,6.0,3.0,18.0,3.0,9.0,6.0,12.0,10.0,,100.20338983050848,104.4685172647258,0.782608695652174,0.9,,,,,,0.4758620689655172,0.48,0.5,0.4758620689655172,0.48,0.5,0.5368731563421829,0.509090909090909,0.5927835051546392,,,0.0689655172413793,0.1159420289855072,0.0555555555555555,,,22.92537313432836,0.4565217391304347,0.1272727272727272,0.0277777777777777,0.1362725450901803,0.0872093023255814,0.1971153846153846,0.0776699029126213,0.1541725601131541,0.0844875346260387,0.16,0.0526315789473684,0.0470588235294117,0.0880503144654088,0.0425531914893617,0.1829268292682926,0.1169590643274853,0.1097560975609756,0.1907894736842105,0.2142857142857142,0.0763358778625954,0.5454545454545454,0.4758620689655172,0.6376811594202898,0.7213114754098361,0.7159090909090909,0.2482758620689655,0.2777777777777778,0.2941176470588235,0.75,0.2758620689655172,0.375,0.375,1.0,,,,,,,,,0.72,0.6388888888888888,0.217391304347826,,,,,,,0.527027027027027,0.6666666666666666,,,,,0.4758620689655172,,0.5056413793103448,0.5212295454545455,0.518404054054054,0.146788990825688,0.146788990825688,,0.1538461538461538,0.3159340659340659,7.518965517241379,,0.38,0.196078431372549,0.16,,0.3152542372881356,1.0,1.0,1.0,1.0,,,,,,,93.0,7.0,,3.0,,2016,1.0,11.0,11.0,4.0,,3.0,4.0,,
203092,1610612738,Tyler Zeller,Tyler Zeller,203092,BOS,31482.0,51,525.0,-2.0,1053.0,1052,302.0,377.0,115.0,2105,51.0,88.0,14.0,25.0,7.0,11.0,10.0,22.0,17.0,47.0,,,,,,,,1.0,,,,,78.0,157.0,,1.0,22.0,178.0,1136.0,16.0,32.0,,,5.0,37.0,15.0,33.0,,,15.0,45.0,132.0,24.0,,,20.0,,1.0,,16.0,,27.0,15.0,42.0,14.0,1.0,15.0,6.0,6.0,99.0,12.0,30.0,1.0,33.0,44.0,4.0,81.0,43.0,124.0,6.0,7.0,6.0,1.0,12.0,1.0,10.0,8.0,1.0,2.0,,20.0,5.0,8.0,36.0,61.0,4.0,5.0,39.0,5.0,,16.0,,6.0,21.0,14.0,1.0,6.0,21.0,8.0,,,141.0,45.0,300.0,5.0,4.0,11.0,6.0,7.0,2.0,13.0,1.0,,107.6923076923077,107.98479087452472,0.8461538461538461,0.9705882352941176,,,,,,0.4968152866242038,0.5,0.4545454545454545,0.4936708860759494,0.5,0.4545454545454545,0.5085714285714286,0.5441176470588235,0.5,0.0063291139240506,,0.1019108280254777,0.1590909090909091,0.0909090909090909,,,16.441821247892076,0.6,0.1212121212121212,0.03125,0.1317365269461078,0.0958466453674121,0.1823204419889502,0.0625,0.1495145631067961,0.0831683168316831,0.1470588235294117,0.0659340659340659,0.0465116279069767,0.0547945205479452,0.0869565217391304,0.075,0.1896551724137931,0.1326530612244898,0.1818181818181818,0.1836734693877551,0.0952380952380952,0.3809523809523809,0.5569620253164557,0.5795454545454546,0.6891891891891891,0.803921568627451,0.1392405063291139,0.4545454545454545,0.5,0.8,0.2974683544303797,0.3617021276595745,0.3617021276595745,1.0,,,,,0.0063291139240506,,,,0.78125,0.56,0.2857142857142857,,,,,,,0.3333333333333333,0.6363636363636364,,,,,0.5632911392405063,,0.504404746835443,0.528652,0.446269696969697,0.0946745562130177,0.0952380952380952,,0.2078651685393258,0.2528089887640449,7.480891719745223,24.5,0.3055555555555556,0.0833333333333333,0.2068965517241379,,0.2867996201329534,,,,1.0,,,,,,,49.0,3.0,,,,2017,,8.0,6.0,5.0,1.0,6.0,2.0,,
203092,1610612749,Tyler Zeller,Tyler Zeller,203092,MIL,66790.0,66,1113.0,22.0,2266.0,2256,460.0,417.0,247.0,4522,137.0,205.0,39.0,64.0,21.0,34.0,35.0,85.0,5.0,16.0,10.0,22.0,,,,5.0,,6.0,,1.0,,,177.0,306.0,10.0,28.0,57.0,441.0,2461.0,44.0,78.0,,1.0,8.0,96.0,29.0,55.0,,5.0,18.0,76.0,268.0,86.0,30.0,,64.0,,6.0,,34.0,,23.0,24.0,47.0,19.0,5.0,14.0,6.0,3.0,118.0,34.0,76.0,,61.0,124.0,10.0,195.0,110.0,305.0,6.0,15.0,11.0,4.0,21.0,3.0,7.0,26.0,1.0,14.0,2.0,47.0,7.0,9.0,76.0,126.0,10.0,9.0,79.0,17.0,,42.0,,6.0,35.0,21.0,,14.0,35.0,17.0,,1.0,345.0,76.0,458.0,5.0,8.0,31.0,6.0,25.0,2.0,19.0,,,109.57634598411298,109.08687943262412,0.7570621468926554,0.9241379310344828,1.0,0.3571428571428571,,,0.3571428571428571,0.5784313725490197,0.5641025641025641,0.5272727272727272,0.5748502994011976,0.5569620253164557,0.4833333333333333,0.6041095890410959,0.5783132530120482,0.5352112676056338,0.0838323353293413,,0.1111111111111111,0.1219512195121951,0.1058823529411764,,,16.068642745709827,0.4468085106382978,0.175438596491228,,0.1693989071038251,0.1142857142857142,0.1699164345403899,0.0770975056689342,0.1695692025664528,0.0994575045207956,0.1155378486055776,0.1097560975609756,0.119047619047619,0.0687679083094555,0.108695652173913,0.2132701421800948,0.1712328767123287,0.1266375545851528,0.1784511784511784,0.1290322580645161,0.0530973451327433,0.4857142857142857,0.6137724550898204,0.6682926829268293,0.7611111111111111,0.7299270072992701,0.2544910179640718,0.4117647058823529,0.4605263157894737,0.8571428571428571,0.0479041916167664,0.3125,0.3125,0.8,0.0658682634730539,0.4545454545454545,0.4545454545454545,1.0,0.0179640718562874,,,,0.810126582278481,0.609375,0.1538461538461538,,,,0.0126582278481012,,,0.5666666666666667,0.6176470588235294,0.0833333333333333,,,,0.6976047904191617,,0.5266580838323353,0.5783589552238806,0.5322883333333334,0.116991643454039,0.1268882175226586,,0.2176870748299319,0.1723356009070294,4.002614379084967,23.564285714285717,0.2647058823529412,0.22,,0.2777777777777778,0.2030008826125331,,,2.0,1.0,,,,,,,94.0,2.0,,,,2018,1.0,14.0,5.0,6.0,6.0,8.0,3.0,,
203092,1610612763,Tyler Zeller,Tyler Zeller,203092,MEM,5572.0,6,93.0,12.0,190.0,190,67.0,70.0,27.0,380,10.0,17.0,2.0,4.0,4.0,7.0,5.0,11.0,1.0,1.0,,1.0,,,,1.0,,,,,,,16.0,29.0,,1.0,14.0,46.0,207.0,5.0,8.0,,,2.0,12.0,4.0,10.0,,1.0,8.0,16.0,20.0,12.0,,,8.0,,,,1.0,,4.0,,4.0,,,3.0,1.0,,8.0,6.0,5.0,,6.0,5.0,2.0,13.0,11.0,24.0,,1.0,1.0,,1.0,1.0,,3.0,,1.0,,4.0,1.0,3.0,9.0,20.0,5.0,1.0,18.0,,,9.0,,,3.0,2.0,,1.0,3.0,3.0,,,34.0,16.0,67.0,4.0,2.0,10.0,,10.0,4.0,,7.0,4.0,115.26315789473684,108.94736842105264,0.625,0.8333333333333334,,,,,,0.5517241379310345,0.625,0.4,0.5333333333333333,0.625,0.3636363636363636,0.5897435897435898,0.6666666666666666,0.5,0.0333333333333333,,0.0344827586206896,,0.0909090909090909,,,19.634703196347036,0.25,0.2222222222222222,,0.0980392156862745,0.0909090909090909,0.1428571428571428,0.1363636363636363,0.1182795698924731,0.1111111111111111,0.0714285714285714,0.1428571428571428,,0.0967741935483871,0.2307692307692307,0.1052631578947368,0.1764705882352941,,0.1875,,,1.0,0.5666666666666667,0.5882352941176471,0.5882352941176471,0.8,0.3666666666666666,0.4545454545454545,0.5,0.4,0.0333333333333333,1.0,1.0,,0.0333333333333333,,,,,,,,0.5,0.5,,,,,,,,0.6363636363636364,0.5714285714285714,0.0909090909090909,,,,0.6,,0.5017083333333333,0.5613,0.5230772727272727,0.2307692307692307,0.2368421052631578,,0.2608695652173913,0.3478260869565217,4.120689655172414,23.5,,0.3333333333333333,,1.0,0.3526315789473684,,,,,,,,,,,11.0,,,,,2019,,1.0,,,1.0,1.0,,,
