Team,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Atlanta Hawks,16,8,8,3890,704,124,293,42.3,72,94,76.6,326,46.3,232,33.0,69,9.8,44,6.3,47,6.7
Boston Celtics,4,0,4,960,160,38,71,53.5,24,28,85.7,103,64.4,45,28.1,18,11.3,8,5.0,14,8.8
Brooklyn Nets,6,2,4,1465,268,47,105,44.8,17,24,70.8,116,43.3,100,37.3,25,9.3,20,7.5,12,4.5
Chicago Bulls,12,6,6,2930,423,78,200,39.0,45,58,77.6,207,48.9,116,27.4,39,9.2,26,6.1,29,6.9
Cleveland Cavaliers,19,13,6,4610,750,141,323,43.7,83,112,74.1,371,49.5,233,31.1,74,9.9,51,6.8,56,7.5
Dallas Mavericks,5,1,4,1200,164,39,82,47.6,10,14,71.4,89,54.3,47,28.7,15,9.1,13,7.9,7,4.3
Golden State Warriors,20,16,4,4850,576,118,268,44.0,62,83,74.7,310,53.8,174,30.2,39,6.8,38,6.6,44,7.6
Houston Rockets,17,9,8,4080,687,129,276,46.7,86,114,75.4,347,50.5,213,31.0,67,9.8,59,8.6,60,8.7
Los Angeles Clippers,14,7,7,3385,431,104,213,48.8,28,40,70.0,241,55.9,130,30.2,35,8.1,25,5.8,21,4.9
Memphis Grizzlies,11,6,5,2640,321,63,157,40.1,32,38,84.2,164,51.1,88,27.4,27,8.4,22,6.9,19,5.9
Milwaukee Bucks,6,2,4,1490,302,41,103,39.8,32,44,72.7,115,38.1,127,42.1,22,7.3,25,8.3,22,7.3
New Orleans Pelicans,4,0,4,985,144,22,62,35.5,13,16,81.3,61,42.4,42,29.2,18,12.5,10,6.9,9,6.3
Portland Trail Blazers,5,1,4,1200,173,38,80,47.5,19,28,67.9,98,56.6,52,30.1,15,8.7,8,4.6,14,8.1
San Antonio Spurs,7,3,4,1705,284,59,121,48.8,35,54,64.8,156,54.9,92,32.4,19,6.7,18,6.3,27,9.5
Toronto Raptors,4,0,4,985,194,36,86,41.9,14,30,46.7,89,45.9,52,26.8,22,11.3,12,6.2,16,8.2
Washington Wizards,10,6,4,2425,361,58,136,42.6,30,40,75.0,149,41.3,137,38.0,42,11.6,20,5.5,20,5.5
