TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%,shot_coverage,round,year
Denver Nuggets,6,6,11.9,35,65,53.8,55.4,11.5,33,63,52.4,0.4,2,2,100,very_tight,1,2021
Dallas Mavericks,7,7,8.2,22,49,44.9,46.9,7.8,20,47,42.6,0.3,2,2,100,very_tight,1,2021
Washington Wizards,5,5,10.8,21,48,43.8,44.8,10.4,20,46,43.5,0.5,1,2,50.0,very_tight,1,2021
Los Angeles Lakers,6,6,9.4,22,47,46.8,46.8,9.4,22,47,46.8,0.0,0,0,-,very_tight,1,2021
Boston Celtics,5,5,10.6,22,47,46.8,46.8,10.6,22,47,46.8,0.0,0,0,-,very_tight,1,2021
LA Clippers,7,7,7.0,21,39,53.8,53.8,6.8,21,38,55.3,0.2,0,1,0.0,very_tight,1,2021
New York Knicks,5,5,8.8,18,38,47.4,48.7,8.6,17,37,45.9,0.2,1,1,100,very_tight,1,2021
Portland Trail Blazers,6,6,7.0,20,37,54.1,54.1,6.6,20,35,57.1,0.4,0,2,0.0,very_tight,1,2021
Brooklyn Nets,5,5,8.7,16,37,43.2,43.2,8.7,16,37,43.2,0.0,0,0,-,very_tight,1,2021
Phoenix Suns,6,6,7.1,17,35,48.6,48.6,7.1,17,35,48.6,0.0,0,0,-,very_tight,1,2021
Utah Jazz,5,5,7.9,22,34,64.7,67.6,7.4,20,32,62.5,0.5,2,2,100,very_tight,1,2021
Philadelphia 76ers,5,5,7.4,13,33,39.4,39.4,7.1,13,32,40.6,0.2,0,1,0.0,very_tight,1,2021
Milwaukee Bucks,4,4,7.9,13,30,43.3,45.0,7.7,12,29,41.4,0.3,1,1,100,very_tight,1,2021
Atlanta Hawks,5,5,6.4,15,27,55.6,55.6,6.1,15,26,57.7,0.2,0,1,0.0,very_tight,1,2021
Memphis Grizzlies,5,5,5.7,9,27,33.3,33.3,5.5,9,26,34.6,0.2,0,1,0.0,very_tight,1,2021
Miami Heat,4,4,6.4,7,23,30.4,30.4,5.9,7,21,33.3,0.6,0,2,0.0,very_tight,1,2021
Dallas Mavericks,7,7,40.3,114,242,47.1,48.8,35.2,106,211,50.2,5.2,8,31,25.8,tight,1,2021
Denver Nuggets,6,6,43.3,107,237,45.1,48.3,33.6,92,184,50.0,9.7,15,53,28.3,tight,1,2021
Portland Trail Blazers,6,6,43.4,114,230,49.6,54.8,32.6,90,173,52.0,10.8,24,57,42.1,tight,1,2021
Memphis Grizzlies,5,5,46.6,113,220,51.4,52.0,42.4,110,200,55.0,4.2,3,20,15.0,tight,1,2021
LA Clippers,7,7,35.9,114,201,56.7,58.5,30.9,107,173,61.8,5.0,7,28,25.0,tight,1,2021
Los Angeles Lakers,6,6,40.4,100,201,49.8,51.0,36.7,95,183,51.9,3.6,5,18,27.8,tight,1,2021
Brooklyn Nets,5,5,46.6,95,197,48.2,51.8,37.6,81,159,50.9,9.0,14,38,36.8,tight,1,2021
New York Knicks,5,5,45.6,82,197,41.6,43.9,37.7,73,163,44.8,7.9,9,34,26.5,tight,1,2021
Boston Celtics,5,5,42.3,77,187,41.2,43.0,33.9,70,150,46.7,8.4,7,37,18.9,tight,1,2021
Utah Jazz,5,5,42.8,94,185,50.8,54.1,34.3,82,148,55.4,8.6,12,37,32.4,tight,1,2021
Philadelphia 76ers,5,5,41.1,100,184,54.3,56.5,35.7,92,160,57.5,5.4,8,24,33.3,tight,1,2021
Washington Wizards,5,5,41.5,87,184,47.3,47.8,37.2,85,165,51.5,4.3,2,19,10.5,tight,1,2021
Phoenix Suns,6,6,36.0,82,177,46.3,48.3,29.7,75,146,51.4,6.3,7,31,22.6,tight,1,2021
Atlanta Hawks,5,5,38.7,76,164,46.3,47.3,35.8,73,152,48.0,2.8,3,12,25.0,tight,1,2021
Miami Heat,4,4,41.2,61,147,41.5,42.5,35.6,58,127,45.7,5.6,3,20,15.0,tight,1,2021
Milwaukee Bucks,4,4,38.4,85,145,58.6,61.7,32.8,76,124,61.3,5.6,9,21,42.9,tight,1,2021
Dallas Mavericks,7,7,35.0,95,210,45.2,56.9,14.2,46,85,54.1,20.8,49,125,39.2,open,1,2021
LA Clippers,7,7,33.2,86,186,46.2,57.0,15.2,46,85,54.1,18.0,40,101,39.6,open,1,2021
Phoenix Suns,6,6,36.0,79,177,44.6,51.7,19.6,54,96,56.3,16.5,25,81,30.9,open,1,2021
Portland Trail Blazers,6,6,31.9,69,169,40.8,51.5,12.8,33,68,48.5,19.1,36,101,35.6,open,1,2021
Denver Nuggets,6,6,27.8,71,152,46.7,58.2,11.7,36,64,56.3,16.1,35,88,39.8,open,1,2021
Milwaukee Bucks,4,4,37.8,57,143,39.9,48.6,15.3,32,58,55.2,22.5,25,85,29.4,open,1,2021
Philadelphia 76ers,5,5,30.1,76,135,56.3,63.0,20.1,58,90,64.4,10.0,18,45,40.0,open,1,2021
Washington Wizards,5,5,30.0,65,133,48.9,51.9,22.8,57,101,56.4,7.2,8,32,25.0,open,1,2021
Atlanta Hawks,5,5,30.2,51,128,39.8,48.8,13.2,28,56,50.0,17.0,23,72,31.9,open,1,2021
Los Angeles Lakers,6,6,25.5,40,127,31.5,39.4,10.8,20,54,37.0,14.7,20,73,27.4,open,1,2021
Brooklyn Nets,5,5,29.6,65,125,52.0,64.4,11.6,34,49,69.4,18.0,31,76,40.8,open,1,2021
Boston Celtics,5,5,28.3,64,125,51.2,65.2,11.1,29,49,59.2,17.2,35,76,46.1,open,1,2021
New York Knicks,5,5,28.0,42,121,34.7,42.1,15.0,24,65,36.9,13.0,18,56,32.1,open,1,2021
Memphis Grizzlies,5,5,24.4,52,115,45.2,51.3,15.3,38,72,52.8,9.1,14,43,32.6,open,1,2021
Utah Jazz,5,5,25.0,48,108,44.4,56.9,9.0,21,39,53.8,16.0,27,69,39.1,open,1,2021
Miami Heat,4,4,30.0,42,107,39.3,49.5,13.2,20,47,42.6,16.8,22,60,36.7,open,1,2021
LA Clippers,7,7,23.9,52,134,38.8,56.3,2.1,5,12,41.7,21.8,47,122,38.5,wide_open,1,2021
Los Angeles Lakers,6,6,24.7,44,123,35.8,49.6,3.4,10,17,58.8,21.3,34,106,32.1,wide_open,1,2021
Memphis Grizzlies,5,5,23.3,47,110,42.7,58.6,3.4,12,16,75.0,19.9,35,94,37.2,wide_open,1,2021
Utah Jazz,5,5,24.3,47,105,44.8,65.2,1.4,4,6,66.7,22.9,43,99,43.4,wide_open,1,2021
Atlanta Hawks,5,5,24.8,46,105,43.8,61.9,2.8,8,12,66.7,21.9,38,93,40.9,wide_open,1,2021
Phoenix Suns,6,6,20.8,47,102,46.1,64.7,3.9,9,19,47.4,16.9,38,83,45.8,wide_open,1,2021
Dallas Mavericks,7,7,16.5,42,99,42.4,60.6,2.0,6,12,50.0,14.5,36,87,41.4,wide_open,1,2021
Philadelphia 76ers,5,5,21.4,40,96,41.7,57.8,3.3,9,15,60.0,18.1,31,81,38.3,wide_open,1,2021
Portland Trail Blazers,6,6,17.7,49,94,52.1,71.8,3.6,12,19,63.2,14.2,37,75,49.3,wide_open,1,2021
Denver Nuggets,6,6,17.0,45,93,48.4,69.4,2.2,6,12,50.0,14.8,39,81,48.1,wide_open,1,2021
Boston Celtics,5,5,18.8,29,83,34.9,48.2,2.7,7,12,58.3,16.1,22,71,31.0,wide_open,1,2021
Miami Heat,4,4,22.4,31,80,38.8,53.1,5.3,8,19,42.1,17.1,23,61,37.7,wide_open,1,2021
Washington Wizards,5,5,17.6,30,78,38.5,53.8,2.3,6,10,60.0,15.3,24,68,35.3,wide_open,1,2021
New York Knicks,5,5,17.6,30,76,39.5,55.3,3.5,6,15,40.0,14.1,24,61,39.3,wide_open,1,2021
Brooklyn Nets,5,5,15.1,34,64,53.1,74.2,2.1,7,9,77.8,13.0,27,55,49.1,wide_open,1,2021
Milwaukee Bucks,4,4,15.9,22,60,36.7,51.7,1.3,4,5,80.0,14.6,18,55,32.7,wide_open,1,2021
