PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
AJ Green,MIL,3,1,2,26,3,1,1,100,1,1,100,150.0
AJ Griffin,ATL,5,3,2,45,3,1,2,50.0,1,1,100,75.0
Aaron Gordon,DEN,8,7,1,246,8,3,10,30.0,2,4,50.0,40.0
Aaron Holiday,HOU,4,3,1,56,0,0,2,0.0,0,2,0.0,0.0
Aaron Nesmith,IND,7,4,3,168,5,2,6,33.3,1,4,25.0,41.7
Aaron Wiggins,OKC,6,3,3,70,0,0,0,-,0,0,-,-
Admiral Schofield,ORL,1,1,0,3,0,0,0,-,0,0,-,-
Al Horford,BOS,6,5,1,143,0,0,1,0.0,0,1,0.0,0.0
Alec Burks,DET,4,2,2,102,9,3,10,30.0,3,7,42.9,45.0
Aleksej Pokusevski,OKC,3,2,1,18,0,0,0,-,0,0,-,-
Alex Caruso,CHI,8,3,5,181,5,2,5,40.0,1,4,25.0,50.0
Alex Fudge,LAL,1,0,1,4,0,0,1,0.0,-,-,-,0.0
Alex Len,SAC,3,1,2,13,0,0,0,-,-,-,-,-
Alperen Sengun,HOU,6,3,3,189,4,2,2,100,0,0,-,100
Amen Thompson,HOU,4,1,3,67,6,3,8,37.5,0,4,0.0,37.5
Amir Coffey,LAC,4,3,1,24,0,0,1,0.0,-,-,-,0.0
Andre Drummond,CHI,8,3,5,110,2,1,1,100,-,-,-,100
Andre Jackson Jr.,MIL,2,0,2,13,0,0,0,-,0,0,-,-
Andrew Nembhard,IND,7,4,3,139,18,9,21,42.9,0,4,0.0,42.9
Andrew Wiggins,GSW,8,6,2,202,12,6,20,30.0,0,0,-,30.0
Anfernee Simons,POR,1,0,1,27,9,4,6,66.7,1,2,50.0,75.0
Anthony Black,ORL,5,3,2,87,0,0,0,-,0,0,-,-
Anthony Davis,LAL,7,3,4,258,9,4,14,28.6,1,1,100,32.1
Anthony Edwards,MIN,6,4,2,215,66,27,49,55.1,12,18,66.7,67.3
Anthony Gill,WAS,4,0,4,32,0,0,0,-,-,-,-,-
Armoni Brooks,BKN,2,1,1,17,0,0,0,-,0,0,-,-
Ausar Thompson,DET,8,2,6,249,3,1,10,10.0,1,3,33.3,15.0
Austin Reaves,LAL,7,3,4,230,22,10,29,34.5,2,7,28.6,37.9
Ayo Dosunmu,CHI,6,3,3,72,2,1,2,50.0,0,1,0.0,50.0
Bam Adebayo,MIA,6,3,3,201,12,6,18,33.3,0,0,-,33.3
Ben Sheppard,IND,3,2,1,32,3,1,1,100,1,1,100,150.0
Ben Simmons,BKN,6,3,3,191,0,0,0,-,-,-,-,-
Bennedict Mathurin,IND,7,4,3,156,6,3,15,20.0,0,10,0.0,20.0
Bilal Coulibaly,WAS,6,1,5,138,0,0,2,0.0,0,1,0.0,0.0
Bismack Biyombo,MEM,2,1,1,26,0,0,0,-,-,-,-,-
Blake Wesley,SAS,2,0,2,15,0,0,0,-,0,0,-,-
Boban Marjanovic,HOU,2,1,1,14,0,0,0,-,-,-,-,-
Bobby Portis,MIL,6,4,2,120,8,4,10,40.0,0,0,-,40.0
Bogdan Bogdanovic,ATL,7,4,3,168,4,2,11,18.2,0,6,0.0,18.2
Bol Bol,PHX,2,2,0,7,0,0,0,-,-,-,-,-
Bones Hyland,LAC,6,3,3,153,19,8,21,38.1,3,12,25.0,45.2
Brandin Podziemski,GSW,3,2,1,32,0,0,0,-,0,0,-,-
Brandon Ingram,NOP,4,2,2,135,28,14,25,56.0,0,2,0.0,56.0
Brandon Miller,CHA,6,2,4,188,15,7,19,36.8,1,3,33.3,39.5
Braxton Key,DEN,4,3,1,10,0,0,1,0.0,0,1,0.0,0.0
