PLAYER,TEAM,AGE,POSITION,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,Diff%
Austin Reaves,LAL,25,G,1,1,8.3,1.0,1.0,100.0,40.0,60.0
Derrick White,BOS,29,G,1,1,18.8,3.0,3.0,100.0,41.7,58.3
MarJon Beauchamp,MIL,23,F,1,1,28.6,2.0,2.0,100.0,58.4,41.7
Patrick Beverley,PHI,35,G,1,1,100.0,1.0,1.0,100.0,60.0,40.0
Georges Niang,CLE,30,F,1,1,33.3,3.0,3.0,100.0,66.7,33.3
Eric Gordon,PHX,34,G,2,2,36.8,7.0,7.0,100.0,71.7,28.3
Malik Beasley,MIL,26,G,1,1,33.3,3.0,3.0,100.0,72.2,27.8
Gary Payton II,GSW,30,G,1,1,33.3,3.0,3.0,100.0,74.4,25.6
De'Anthony Melton,PHI,25,G,1,1,25.0,1.0,2.0,50.0,25.0,25.0
Luke Kornet,BOS,28,C-F,1,1,20.0,1.0,1.0,100.0,75.0,25.0
Immanuel Quickley,NYK,24,G,1,1,30.0,3.0,3.0,100.0,75.6,24.4
Isaac Okoro,CLE,22,F-G,1,1,25.0,2.0,2.0,100.0,77.5,22.5
Bobby Portis,MIL,28,F,1,1,21.4,3.0,3.0,100.0,77.8,22.2
Pat Connaughton,MIL,30,G,1,1,33.3,4.0,4.0,100.0,79.2,20.8
Kelly Oubre Jr.,PHI,27,F-G,1,1,40.0,4.0,4.0,100.0,81.3,18.8
Day'Ron Sharpe,BKN,21,C,1,1,66.7,4.0,4.0,100.0,83.3,16.7
Julius Randle,NYK,28,F-C,1,1,22.2,2.0,2.0,100.0,83.4,16.7
Spencer Dinwiddie,BKN,30,G,1,1,57.1,7.0,8.0,87.5,72.5,15.0
Cory Joseph,GSW,32,G,1,1,100.0,2.0,2.0,100.0,85.7,14.3
Cameron Johnson,BKN,27,F,1,1,23.1,2.0,3.0,66.7,52.8,13.9
Jordan Goodwin,PHX,25,G,2,2,50.0,4.0,7.0,57.1,43.6,13.5
Jayson Tatum,BOS,25,F-G,1,1,42.1,3.0,8.0,37.5,25.0,12.5
Stephen Curry,GSW,35,G,1,1,30.8,4.0,4.0,100.0,87.5,12.5
Jonathan Kuminga,GSW,21,F,1,1,16.7,2.0,2.0,100.0,87.5,12.5
Quentin Grimes,NYK,23,G,1,1,75.0,6.0,6.0,100.0,87.8,12.2
Taurean Prince,LAL,29,F,1,1,37.5,2.0,3.0,66.7,54.5,12.2
Jrue Holiday,BOS,33,G,1,1,30.4,2.0,7.0,28.6,17.9,10.7
Royce O'Neale,BKN,30,F,1,1,33.3,2.0,2.0,100.0,90.0,10.0
