PLAYER,TEAM,GP,W,L,MIN,PassesMade,PassesReceived,AST,SecondaryAST,PotentialAST,AST PTSCreated,AST PTSCreated.1,ASTAdj,AST ToPass%,AST ToPass% Adj
AJ Green,MIL,11,8,3,82,54,64,8,0,11,19,8,14.8,14.8,
AJ Griffin,ATL,10,6,4,91,51,63,3,0,7,10,4,5.9,7.8,
Aaron Gordon,DEN,14,8,6,473,422,440,53,4,95,139,61,12.6,14.5,
Aaron Holiday,HOU,14,8,6,258,328,328,28,3,51,68,31,8.5,9.5,
Aaron Nesmith,IND,15,8,7,351,321,271,15,5,35,43,22,4.7,6.9,
Aaron Wiggins,OKC,15,10,5,179,157,146,12,0,22,30,13,7.6,8.3,
Admiral Schofield,ORL,4,4,0,14,31,25,0,0,5,0,0,0.0,0.0,
Al Horford,BOS,16,13,3,413,416,304,44,2,65,106,44,10.6,10.6,
Alec Burks,DET,13,2,11,258,255,296,25,1,34,59,26,9.8,10.2,
Aleksej Pokusevski,OKC,6,5,1,34,41,36,5,2,8,15,7,12.2,17.1,
Alex Caruso,CHI,16,5,11,394,541,395,38,5,68,95,47,7.0,8.7,
Alex Fudge,LAL,4,1,3,14,11,11,0,0,0,0,0,0.0,0.0,
Alex Len,SAC,5,3,2,28,51,34,4,0,5,10,4,7.8,7.8,
Alperen Sengun,HOU,16,8,8,522,630,740,89,11,135,225,104,14.1,16.5,
Amari Bailey,CHA,1,0,1,3,1,2,0,0,0,0,0,0.0,0.0,
Amen Thompson,HOU,4,1,3,67,101,90,6,2,10,17,9,5.9,8.9,
Amir Coffey,LAC,10,7,3,58,46,46,3,1,6,8,4,6.5,8.7,
Andre Drummond,CHI,19,6,13,247,190,158,12,0,17,31,13,6.3,6.8,
Andre Jackson Jr.,MIL,15,9,6,129,114,83,11,2,18,29,14,9.6,12.3,
Andrew Nembhard,IND,14,8,6,266,435,451,56,10,93,134,70,12.9,16.1,
Andrew Wiggins,GSW,16,8,8,435,389,426,19,5,53,58,26,4.9,6.7,
Anfernee Simons,POR,1,0,1,27,36,46,4,0,9,11,4,11.1,11.1,
Anthony Black,ORL,15,12,3,284,360,327,22,4,43,60,28,6.1,7.8,
Anthony Davis,LAL,19,11,8,665,859,743,62,7,95,162,75,7.2,8.7,
Anthony Edwards,MIN,17,13,4,597,762,926,85,15,137,242,113,11.2,14.8,
Anthony Gill,WAS,11,2,9,68,43,39,5,0,9,12,6,11.6,14.0,
Armoni Brooks,BKN,5,3,2,45,32,38,0,0,0,0,0,0.0,0.0,
Ausar Thompson,DET,19,2,17,549,513,421,53,4,82,124,57,10.3,11.1,
Austin Reaves,LAL,20,11,9,598,912,904,98,11,179,249,118,10.7,12.9,
Ayo Dosunmu,CHI,18,6,12,302,376,352,29,2,62,74,33,7.7,8.8,
Bam Adebayo,MIA,16,10,6,537,679,728,62,4,94,154,67,9.1,9.9,
Ben Sheppard,IND,8,4,4,55,53,62,5,0,5,15,7,9.4,13.2,
Ben Simmons,BKN,6,3,3,191,364,296,40,2,70,106,43,11.0,11.8,
Bennedict Mathurin,IND,17,9,8,418,400,451,31,6,52,73,35,7.8,8.8,
Bilal Coulibaly,WAS,17,3,14,442,379,283,29,3,42,65,32,7.7,8.4,
Bismack Biyombo,MEM,12,4,8,315,337,211,23,1,31,65,26,6.8,7.7,
Blake Wesley,SAS,4,0,4,21,34,39,3,0,9,8,4,8.8,11.8,
Boban Marjanovic,HOU,3,2,1,20,19,18,3,0,2,8,3,15.8,15.8,
Bobby Portis,MIL,19,13,6,456,548,395,24,5,41,57,28,4.4,5.1,
Bogdan Bogdanovic,ATL,17,8,9,451,454,485,41,4,81,110,52,9.0,11.5,
Bol Bol,PHX,3,3,0,7,6,2,0,0,0,0,0,0.0,0.0,
Bones Hyland,LAC,12,6,6,201,255,307,24,1,39,62,30,9.4,11.8,
Bradley Beal,PHX,3,1,2,86,119,149,11,0,25,33,14,9.2,11.8,
Brandin Podziemski,GSW,11,5,6,190,205,206,23,3,32,61,27,11.2,13.2,
Brandon Ingram,NOP,16,8,8,542,669,930,82,17,175,217,107,12.3,16.0,
Brandon Miller,CHA,15,5,10,461,370,403,29,5,72,77,37,7.8,10.0,
Braxton Key,DEN,6,5,1,15,22,20,5,0,6,14,6,22.7,27.3,
Brice Sensabaugh,UTA,1,0,1,2,5,4,0,0,1,0,0,0.0,0.0,
Brook Lopez,MIL,19,13,6,562,348,396,23,3,33,55,25,6.6,7.2,
Bruce Brown,IND,17,9,8,536,572,527,48,8,85,124,59,8.4,10.3,
Bruno Fernando,ATL,4,3,1,15,17,20,0,0,0,0,0,0.0,0.0,
Bryce McGowens,CHA,12,4,8,189,137,131,11,0,19,26,11,8.0,8.0,
Buddy Hield,IND,17,9,8,422,637,566,47,4,72,114,51,7.4,8.0,
