PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
A.J. Lawson,DAL,7,4,3,52.0,7,1,4,25.0,2,4,50.0,4,57.099999999999994,1,14.299999999999999,0,0.0,0,0.0,2,28.599999999999998
AJ Green,MIL,16,12,4,124.0,6,0,1,0.0,0,0,0.0,0,0.0,5,83.3,1,16.7,0,0.0,0,0.0
AJ Griffin,ATL,11,6,5,100.0,6,1,4,25.0,0,0,0.0,2,33.300000000000004,1,16.7,0,0.0,1,16.7,0,0.0
Aaron Gordon,DEN,20,11,9,644.0,96,26,51,51.0,5,12,41.699999999999996,58,60.4,29,30.2,6,6.3,8,8.3,6,6.3
Aaron Holiday,HOU,20,13,7,365.0,83,20,40,50.0,6,6,100.0,47,56.599999999999994,37,44.6,7,8.4,3,3.5999999999999996,3,3.5999999999999996
Aaron Nesmith,IND,21,12,9,513.0,87,27,45,60.0,9,12,75.0,64,73.6,28,32.2,5,5.7,5,5.7,6,6.9
Aaron Wiggins,OKC,20,13,7,237.0,48,10,14,71.39999999999999,0,0,0.0,20,41.699999999999996,27,56.3,5,10.4,5,10.4,0,0.0
Admiral Schofield,ORL,7,5,2,26.0,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Al Horford,BOS,21,17,4,551.0,23,5,6,83.3,0,0,0.0,10,43.5,15,65.2,5,21.7,2,8.7,0,0.0
Alec Burks,DET,18,2,16,331.0,65,9,31,28.999999999999996,23,24,95.8,42,64.60000000000001,16,24.6,4,6.2,2,3.1,12,18.5
Aleksej Pokusevski,OKC,7,6,1,43.0,7,0,2,0.0,0,0,0.0,0,0.0,5,71.39999999999999,3,42.9,0,0.0,0,0.0
Alex Caruso,CHI,20,9,11,460.0,63,11,22,50.0,9,10,90.0,31,49.2,27,42.9,8,12.7,7,11.1,5,7.9
Alex Fudge,LAL,4,1,3,14.0,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Alex Len,SAC,5,3,2,28.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Alperen Sengun,HOU,22,13,9,711.0,117,40,65,61.5,10,18,55.60000000000001,95,81.2,30,25.6,9,7.7,9,7.7,9,7.7
