PLAYER,TEAM,GP,W,L,MIN,Touches,PaintTouches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,Pass,Pass%,AST,AST%,TO,TOV%,PF,PF%
AJ Green,MIL,11,8,3,82,85,3,1,2,50.0,0,0,0.0,2,66.7,1,33.3,0,0.0,0,0.0,0,0.0
AJ Griffin,ATL,10,6,4,91,87,4,0,1,0.0,2,2,100.0,2,50.0,2,50.0,1,25.0,0,0.0,1,25.0
Aaron Gordon,DEN,14,8,6,473,640,90,38,56,67.9,4,10,40.0,82,91.1,18,20.0,3,3.3,5,5.6,5,5.6
Aaron Holiday,HOU,14,8,6,258,423,2,0,1,0.0,0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0
Aaron Nesmith,IND,15,8,7,351,465,14,6,7,85.7,0,0,0.0,13,92.9,5,35.7,0,0.0,0,0.0,1,7.1
Aaron Wiggins,OKC,15,10,5,179,228,28,10,15,66.7,4,6,66.7,25,89.3,7,25.0,2,7.1,3,10.7,3,10.7
Admiral Schofield,ORL,4,4,0,14,39,1,0,0,0.0,0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0
Al Horford,BOS,16,13,3,413,536,43,14,21,66.7,2,2,100.0,30,69.8,17,39.5,5,11.6,3,7.0,0,0.0
Alec Burks,DET,13,2,11,258,402,3,2,2,100.0,0,0,0.0,4,133.3,1,33.3,0,0.0,0,0.0,0,0.0
Aleksej Pokusevski,OKC,6,5,1,34,54,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0
Alex Caruso,CHI,16,5,11,394,698,21,10,12,83.3,3,4,75.0,24,114.3,6,28.6,0,0.0,0,0.0,1,4.8
Alex Fudge,LAL,4,1,3,14,19,1,0,0,0.0,2,2,100.0,2,200.0,0,0.0,0,0.0,0,0.0,1,100.0
Alex Len,SAC,5,3,2,28,58,8,1,2,50.0,0,0,0.0,2,25.0,5,62.5,0,0.0,1,12.5,0,0.0
Alperen Sengun,HOU,16,8,8,522,961,90,25,46,54.3,8,10,80.0,59,65.6,30,33.3,10,11.1,4,4.4,5,5.6
Amari Bailey,CHA,1,0,1,3,4,2,1,2,50.0,0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Amen Thompson,HOU,4,1,3,67,135,5,2,2,100.0,0,2,0.0,4,80.0,2,40.0,0,0.0,0,0.0,1,20.0
Amir Coffey,LAC,10,7,3,58,67,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Andre Drummond,CHI,19,6,13,247,310,95,32,61,52.5,15,20,75.0,81,85.3,12,12.6,3,3.2,4,4.2,10,10.5
Andre Jackson Jr.,MIL,15,9,6,129,149,18,4,4,100.0,0,0,0.0,8,44.4,11,61.1,2,11.1,1,5.6,0,0.0
Andrew Nembhard,IND,14,8,6,266,573,4,1,1,100.0,0,0,0.0,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0
Andrew Wiggins,GSW,16,8,8,435,641,51,18,28,64.3,7,10,70.0,43,84.3,14,27.5,0,0.0,1,2.0,5,9.8
Anfernee Simons,POR,1,0,1,27,57,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Anthony Black,ORL,15,12,3,284,454,16,6,7,85.7,2,2,100.0,14,87.5,6,37.5,2,12.5,1,6.3,1,6.3
Anthony Davis,LAL,19,11,8,665,1269,169,85,119,71.4,27,30,90.0,208,123.1,22,13.0,3,1.8,8,4.7,13,7.7
Anthony Edwards,MIN,17,13,4,597,1236,19,4,11,36.4,0,0,0.0,8,42.1,5,26.3,1,5.3,1,5.3,0,0.0
Anthony Gill,WAS,11,2,9,68,71,10,4,9,44.4,1,2,50.0,9,90.0,0,0.0,0,0.0,0,0.0,0,0.0
Armoni Brooks,BKN,5,3,2,45,51,2,0,2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ausar Thompson,DET,19,2,17,549,784,92,30,51,58.8,4,4,100.0,65,70.7,28,30.4,6,6.5,6,6.5,2,2.2
Austin Reaves,LAL,20,11,9,598,1239,15,7,8,87.5,0,0,0.0,14,93.3,6,40.0,1,6.7,1,6.7,0,0.0
Ayo Dosunmu,CHI,18,6,12,302,490,9,3,5,60.0,2,2,100.0,8,88.9,1,11.1,0,0.0,1,11.1,1,11.1
Bam Adebayo,MIA,16,10,6,537,1050,81,29,47,61.7,16,18,88.9,76,93.8,21,25.9,5,6.2,1,1.2,9,11.1
Ben Sheppard,IND,8,4,4,55,76,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ben Simmons,BKN,6,3,3,191,433,28,9,16,56.3,0,0,0.0,18,64.3,8,28.6,0,0.0,2,7.1,0,0.0
Bennedict Mathurin,IND,17,9,8,418,648,29,8,13,61.5,3,4,75.0,19,65.5,11,37.9,3,10.3,1,3.4,2,6.9
Bilal Coulibaly,WAS,17,3,14,442,522,17,8,10,80.0,1,4,25.0,18,105.9,5,29.4,0,0.0,0,0.0,2,11.8
Bismack Biyombo,MEM,12,4,8,315,421,73,27,39,69.2,11,12,91.7,66,90.4,19,26.0,5,6.8,2,2.7,5,6.8
Blake Wesley,SAS,4,0,4,21,46,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Boban Marjanovic,HOU,3,2,1,20,29,5,4,5,80.0,0,0,0.0,8,160.0,0,0.0,0,0.0,0,0.0,0,0.0
Bobby Portis,MIL,19,13,6,456,778,54,29,39,74.4,5,8,62.5,64,118.5,8,14.8,2,3.7,3,5.6,4,7.4
Bogdan Bogdanovic,ATL,17,8,9,451,712,18,9,12,75.0,0,0,0.0,18,100.0,5,27.8,3,16.7,0,0.0,0,0.0
Bol Bol,PHX,3,3,0,7,10,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0
Bones Hyland,LAC,12,6,6,201,387,5,2,3,66.7,0,0,0.0,4,80.0,1,20.0,1,20.0,0,0.0,0,0.0
Bradley Beal,PHX,3,1,2,86,185,5,0,2,0.0,3,4,75.0,3,60.0,0,0.0,0,0.0,1,20.0,2,40.0
Brandin Podziemski,GSW,11,5,6,190,301,16,3,5,60.0,0,0,0.0,7,43.8,9,56.3,2,12.5,1,6.3,0,0.0
Brandon Ingram,NOP,16,8,8,542,1090,14,5,9,55.6,0,0,0.0,10,71.4,4,28.6,1,7.1,1,7.1,0,0.0
Brandon Miller,CHA,15,5,10,461,599,28,14,18,77.8,0,0,0.0,28,100.0,9,32.1,4,14.3,0,0.0,0,0.0
Braxton Key,DEN,6,5,1,15,29,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0
Brice Sensabaugh,UTA,1,0,1,2,7,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Brook Lopez,MIL,19,13,6,562,585,72,27,40,67.5,8,10,80.0,63,87.5,17,23.6,3,4.2,5,6.9,4,5.6
Bruce Brown,IND,17,9,8,536,786,16,4,8,50.0,5,6,83.3,13,81.3,3,18.8,1,6.3,1,6.3,3,18.8
Bruno Fernando,ATL,4,3,1,15,29,5,2,5,40.0,0,0,0.0,4,80.0,0,0.0,0,0.0,0,0.0,0,0.0
Bryce McGowens,CHA,12,4,8,189,198,2,1,1,100.0,2,2,100.0,4,200.0,0,0.0,0,0.0,0,0.0,1,50.0
Buddy Hield,IND,17,9,8,422,878,10,4,8,50.0,0,0,0.0,8,80.0,2,20.0,1,10.0,0,0.0,0,0.0
CJ McCollum,NOP,7,5,2,234,534,4,2,3,66.7,0,0,0.0,4,100.0,1,25.0,1,25.0,0,0.0,0,0.0
Cade Cunningham,DET,19,2,17,664,1639,20,5,7,71.4,2,2,100.0,12,60.0,8,40.0,1,5.0,3,15.0,1,5.0
Caleb Houstan,ORL,11,8,3,79,86,2,1,1,100.0,0,0,0.0,3,150.0,1,50.0,0,0.0,0,0.0,0,0.0
Caleb Martin,MIA,9,5,4,194,302,7,3,6,50.0,1,2,50.0,7,100.0,0,0.0,0,0.0,0,0.0,1,14.3
Cam Reddish,LAL,16,10,6,379,327,16,5,8,62.5,4,4,100.0,14,87.5,4,25.0,1,6.3,2,12.5,2,12.5
Cam Thomas,BKN,9,4,5,284,482,2,2,2,100.0,0,0,0.0,4,200.0,0,0.0,0,0.0,0,0.0,0,0.0
Cam Whitmore,HOU,4,2,2,29,41,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cameron Johnson,BKN,11,5,6,320,480,20,6,10,60.0,0,0,0.0,12,60.0,7,35.0,1,5.0,2,10.0,0,0.0
Cameron Payne,MIL,19,13,6,325,641,3,1,1,100.0,0,0,0.0,2,66.7,2,66.7,1,33.3,0,0.0,0,0.0
Caris LeVert,CLE,16,8,8,486,788,13,4,7,57.1,0,0,0.0,8,61.5,4,30.8,0,0.0,2,15.4,0,0.0
Cason Wallace,OKC,17,11,6,371,319,31,13,15,86.7,6,6,100.0,32,103.2,11,35.5,2,6.5,1,3.2,3,9.7
Cedi Osman,SAS,18,3,15,342,460,9,3,3,100.0,1,2,50.0,7,77.8,5,55.6,1,11.1,0,0.0,1,11.1
Charles Bassey,SAS,18,3,15,186,323,40,17,22,77.3,3,4,75.0,39,97.5,12,30.0,3,7.5,4,10.0,1,2.5
Chet Holmgren,OKC,17,11,6,513,1000,78,34,52,65.4,15,16,93.8,85,109.0,12,15.4,1,1.3,6,7.7,8,10.3
Chimezie Metu,PHX,10,7,3,74,90,4,1,1,100.0,0,0,0.0,2,50.0,2,50.0,0,0.0,1,25.0,0,0.0
Chris Boucher,TOR,16,6,10,234,257,45,12,23,52.2,17,18,94.4,41,91.1,6,13.3,1,2.2,4,8.9,9,20.0
Chris Duarte,SAC,16,9,7,246,320,8,1,1,100.0,1,2,50.0,3,37.5,3,37.5,1,12.5,2,25.0,1,12.5
Chris Livingston,MIL,2,0,2,9,8,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
