Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CTTouches,Time OfPoss,Avg Sec PerTouch,Avg Drib PerTouch,PTS PerTouch,ElbowTouches,PostUps,PaintTouches,PTS PerElbow Touch,PTS PerPost Touch,PTS PerPaint Touch
AJ Green,MIL,10,7,3,79,31,82,57,3,1.92,1.21,0.378,1,0,3,2.0,0.0,0.667
AJ Griffin,ATL,9,6,3,75,28,70,44,2,1.7,1.24,0.4,1,0,3,0.0,0.0,0.667
Aaron Gordon,DEN,14,8,6,473,181,640,358,35,3.26,2.55,0.283,24,21,90,0.5,0.381,0.911
Aaron Holiday,HOU,12,8,4,202,68,326,123,22,4.02,3.66,0.209,2,0,2,0.0,0.0,0.0
Aaron Nesmith,IND,13,8,5,303,140,406,229,11,1.6,1.04,0.345,0,0,10,0.0,0.0,0.6
Aaron Wiggins,OKC,13,9,4,150,60,194,115,6,1.85,1.16,0.309,5,0,23,0.4,0.0,1.0
Admiral Schofield,ORL,3,3,0,10,5,32,20,1,1.96,0.5,0.156,3,0,1,0.667,0.0,0.0
Al Horford,BOS,15,12,3,384,94,483,269,11,1.42,0.41,0.195,12,1,41,0.333,3.0,0.683
Alec Burks,DET,10,2,8,223,125,345,215,14,2.5,1.87,0.362,5,0,3,0.4,0.0,1.333
Aleksej Pokusevski,OKC,5,4,1,31,6,52,32,2,2.04,1.06,0.115,1,1,1,0.0,1.0,2.0
Alex Caruso,CHI,14,4,10,346,144,600,259,27,2.67,1.86,0.24,8,1,20,0.625,1.0,1.1
Alex Fudge,LAL,1,0,1,4,0,5,3,0,1.06,0.6,0.0,0,0,0,0.0,0.0,0.0
Alex Len,SAC,5,3,2,28,5,58,38,1,1.32,0.36,0.086,9,1,8,0.333,0.0,0.25
Alperen Sengun,HOU,14,8,6,459,283,835,642,31,2.22,0.98,0.339,93,42,81,0.688,0.69,0.63
Amari Bailey,CHA,1,0,1,3,2,4,3,0,3.67,3.25,0.5,0,0,2,0.0,0.0,1.0
Amen Thompson,HOU,4,1,3,67,25,135,49,10,4.22,3.45,0.185,2,0,5,0.0,0.0,0.8
Amir Coffey,LAC,8,6,2,56,12,67,41,4,3.1,2.18,0.179,0,0,0,0.0,0.0,0.0
Andre Drummond,CHI,17,5,12,220,95,271,174,6,1.38,0.49,0.351,28,13,84,0.429,0.769,0.798
Andre Jackson Jr.,MIL,13,8,5,114,24,132,61,4,1.87,1.2,0.182,2,0,15,0.0,0.0,0.267
Andrew Nembhard,IND,12,8,4,222,96,488,209,35,4.32,4.19,0.197,1,0,2,0.0,0.0,1.0
Andrew Wiggins,GSW,15,8,7,399,178,571,378,24,2.51,1.57,0.312,14,28,48,0.857,0.321,0.854
Anfernee Simons,POR,1,0,1,27,18,57,26,4,3.9,3.61,0.316,0,0,0,0.0,0.0,0.0
Anthony Black,ORL,14,11,3,257,60,411,208,23,3.33,2.55,0.146,3,0,14,0.0,0.0,0.857
Anthony Davis,LAL,16,10,6,567,354,1075,626,37,2.08,0.89,0.329,66,66,145,0.621,0.879,1.179
Anthony Edwards,MIN,16,12,4,569,425,1175,617,78,3.98,3.51,0.362,11,13,19,0.727,0.154,0.421
Anthony Gill,WAS,9,1,8,62,30,66,37,2,1.8,0.97,0.455,3,1,10,1.333,1.0,0.9
Armoni Brooks,BKN,5,3,2,45,17,51,34,2,2.07,1.61,0.333,0,0,2,0.0,0.0,0.0
