PLAYER,TEAM,GP,W,L,MIN,DREB,ContestedDREB,ContestedDREB%,DREBChances,DREBChance%,DeferredDREB Chances,AdjustedDREB Chance%,AVG DREBDistance
A.J. Lawson,DAL,1,0,1,4,1,0,0.0,1,100.0,0,100.0,4.5
AJ Green,MIL,6,3,3,42,7,0,0.0,10,70.0,0,70.0,10.1
AJ Griffin,ATL,5,1,4,55,8,1,12.5,12,66.7,1,72.7,10.9
Aaron Gordon,DEN,14,8,6,473,57,12,21.1,92,62.0,6,66.3,8.7
Aaron Holiday,HOU,10,6,4,209,24,2,8.3,40,60.0,8,75.0,9.9
Aaron Nesmith,IND,15,8,7,351,34,9,26.5,70,48.6,7,54.0,6.0
Aaron Wiggins,OKC,11,7,4,143,25,11,44.0,46,54.3,7,64.1,5.2
Al Horford,BOS,17,14,3,446,85,18,21.2,125,68.0,9,73.3,7.0
Alec Burks,DET,11,2,9,234,24,3,12.5,47,51.1,7,60.0,8.2
Aleksej Pokusevski,OKC,4,3,1,30,5,2,40.0,7,71.4,0,71.4,3.3
Alex Caruso,CHI,16,5,11,394,37,3,8.1,77,48.1,8,53.6,9.8
Alex Fudge,LAL,2,1,1,8,0,0,0.0,0,0.0,0,0.0,0.0
Alex Len,SAC,3,1,2,20,6,3,50.0,9,66.7,0,66.7,4.9
Alperen Sengun,HOU,16,8,8,522,101,21,20.8,164,61.6,13,66.9,5.4
Amari Bailey,CHA,1,0,1,3,0,0,0.0,0,0.0,0,0.0,0.0
Amen Thompson,HOU,4,1,3,67,10,3,30.0,12,83.3,0,83.3,5.4
Amir Coffey,LAC,3,2,1,29,5,2,40.0,6,83.3,0,83.3,15.0
Andre Drummond,CHI,19,6,13,247,70,26,37.1,101,69.3,8,75.3,3.6
Andre Jackson Jr.,MIL,12,7,5,108,10,3,30.0,22,45.5,2,50.0,7.6
Andrew Nembhard,IND,12,7,5,234,18,1,5.6,42,42.9,2,45.0,10.2
Andrew Wiggins,GSW,14,7,7,372,40,7,17.5,64,62.5,6,69.0,6.1
Anfernee Simons,POR,1,0,1,27,1,0,0.0,2,50.0,0,50.0,10.9
Anthony Black,ORL,9,8,1,209,26,3,11.5,41,63.4,3,68.4,6.6
Anthony Davis,LAL,19,11,8,665,175,59,33.7,273,64.1,17,68.4,4.2
Anthony Edwards,MIN,17,13,4,597,87,20,23.0,132,65.9,13,73.1,7.7
Anthony Gill,WAS,9,1,8,65,9,2,22.2,18,50.0,2,56.3,8.1
Armoni Brooks,BKN,4,3,1,44,8,2,25.0,11,72.7,0,72.7,8.2
Ausar Thompson,DET,19,2,17,549,115,19,16.5,166,69.3,6,71.9,6.6
