PLAYER,TEAM,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,eFG%,PTS
A.J. Lawson,DAL,14,135.0,8,24,33.300000000000004,8.0,24.0,33.300000000000004,50.0,24
AJ Green,MIL,21,151.0,18,37,48.6,17.0,36.0,47.199999999999996,71.6,53
AJ Griffin,ATL,12,110.0,5,19,26.3,5.0,19.0,26.3,39.5,15
Aaron Gordon,DEN,29,920.0,9,43,20.9,7.0,34.0,20.599999999999998,29.099999999999998,25
Aaron Holiday,HOU,30,540.0,33,76,43.4,33.0,76.0,43.4,65.10000000000001,99
Aaron Nesmith,IND,31,788.0,57,118,48.3,56.0,117.0,47.9,72.0,170
Aaron Wiggins,OKC,31,386.0,14,31,45.2,14.0,30.0,46.7,67.7,42
Adama Sanogo,CHI,3,11.0,0,0,,,,,,0
Admiral Schofield,ORL,10,35.0,1,5,20.0,1.0,5.0,20.0,30.0,3
Al Horford,BOS,28,740.0,44,111,39.6,39.0,104.0,37.5,57.199999999999996,127
Alec Burks,DET,27,515.0,36,103,35.0,36.0,101.0,35.6,52.400000000000006,108
Aleksej Pokusevski,OKC,7,43.0,1,8,12.5,1.0,8.0,12.5,18.8,3
Alex Caruso,CHI,30,731.0,42,96,43.8,42.0,94.0,44.7,65.60000000000001,126
Alex Fudge,LAL,4,14.0,0,3,0.0,0.0,2.0,0.0,0.0,0
Alex Len,SAC,10,81.0,0,1,0.0,0.0,1.0,0.0,0.0,0
Alperen Sengun,HOU,32,1023.0,40,96,41.699999999999996,19.0,53.0,35.8,51.6,99
Amari Bailey,CHA,2,11.0,0,1,0.0,0.0,1.0,0.0,0.0,0
Amen Thompson,HOU,13,204.0,4,12,33.300000000000004,4.0,11.0,36.4,50.0,12
Amir Coffey,LAC,21,306.0,11,33,33.300000000000004,11.0,33.0,33.300000000000004,50.0,33
Andre Drummond,CHI,36,565.0,0,3,0.0,0.0,2.0,0.0,0.0,0
Andre Jackson Jr.,MIL,28,276.0,12,27,44.4,10.0,25.0,40.0,63.0,34
