PLAYER,TEAM,GP,W,L,MIN,OREB,ContestedOREB,ContestedOREB%,OREBChances,OREBChance%,DeferredOREB Chances,AdjustedOREB Chance%,AVG OREBDistance
AJ Green,MIL,2,0,2,11,0,0,0.0,0,0.0,0,0.0,0.0
AJ Griffin,ATL,3,1,2,27,1,0,0.0,3,33.3,0,33.3,9.9
Aaron Gordon,DEN,7,6,1,211,15,9,60.0,31,48.4,1,50.0,6.3
Aaron Holiday,HOU,4,4,0,74,1,0,0.0,6,16.7,1,20.0,14.2
Aaron Nesmith,IND,9,6,3,215,9,5,55.6,24,37.5,1,39.1,9.1
Aaron Wiggins,OKC,4,2,2,48,2,2,100.0,8,25.0,0,25.0,11.2
Al Horford,BOS,7,5,2,169,16,8,50.0,27,59.3,0,59.3,9.1
Alec Burks,DET,4,2,2,102,1,0,0.0,4,25.0,0,25.0,14.9
Aleksej Pokusevski,OKC,2,1,1,16,0,0,0.0,0,0.0,0,0.0,0.0
Alex Caruso,CHI,8,3,5,197,13,4,30.8,23,56.5,0,56.5,13.4
Alex Len,SAC,3,1,2,20,4,3,75.0,5,80.0,0,80.0,6.1
Alperen Sengun,HOU,8,5,3,248,19,13,68.4,35,54.3,0,54.3,4.7
Amen Thompson,HOU,4,1,3,67,1,0,0.0,6,16.7,0,16.7,32.8
Amir Coffey,LAC,2,1,1,18,0,0,0.0,2,0.0,1,0.0,0.0
Andre Drummond,CHI,8,3,5,107,17,10,58.8,37,45.9,0,45.9,5.8
Andre Jackson Jr.,MIL,2,0,2,13,1,0,0.0,2,50.0,0,50.0,39.0
Andrew Nembhard,IND,8,5,3,160,3,0,0.0,7,42.9,0,42.9,24.0
Andrew Wiggins,GSW,7,5,2,174,13,10,76.9,25,52.0,3,59.1,7.3
Anfernee Simons,POR,1,0,1,27,1,0,0.0,3,33.3,1,50.0,25.9
Anthony Black,ORL,3,2,1,78,4,0,0.0,5,80.0,0,80.0,13.9
Anthony Davis,LAL,8,4,4,294,26,19,73.1,55,47.3,0,47.3,4.1
Anthony Edwards,MIN,8,6,2,285,7,2,28.6,12,58.3,0,58.3,11.4
Anthony Gill,WAS,5,1,4,36,3,2,66.7,4,75.0,0,75.0,5.5
Armoni Brooks,BKN,2,1,1,35,1,1,100.0,2,50.0,1,100.0,4.5
Ausar Thompson,DET,10,2,8,318,40,19,47.5,69,58.0,2,59.7,6.5
Austin Reaves,LAL,9,4,5,291,10,3,30.0,22,45.5,1,47.6,13.1
Ayo Dosunmu,CHI,5,3,2,62,4,3,75.0,7,57.1,0,57.1,7.9
Bam Adebayo,MIA,7,4,3,238,15,8,53.3,32,46.9,0,46.9,7.2
Ben Sheppard,IND,2,1,1,27,1,0,0.0,1,100.0,0,100.0,20.0
Ben Simmons,BKN,6,3,3,191,16,8,50.0,32,50.0,1,51.6,8.1
Bennedict Mathurin,IND,8,5,3,213,16,7,43.8,32,50.0,2,53.3,7.9
Bilal Coulibaly,WAS,7,1,6,173,3,2,66.7,14,21.4,1,23.1,3.3
Bismack Biyombo,MEM,3,1,2,90,20,16,80.0,35,57.1,0,57.1,4.4
Blake Wesley,SAS,1,0,1,3,1,0,0.0,1,100.0,0,100.0,15.5
Boban Marjanovic,HOU,2,2,0,13,2,1,50.0,3,66.7,0,66.7,8.6
Bobby Portis,MIL,8,5,3,167,8,4,50.0,26,30.8,0,30.8,5.9
Bogdan Bogdanovic,ATL,7,4,3,168,3,2,66.7,9,33.3,0,33.3,7.1
Bol Bol,PHX,1,1,0,4,0,0,0.0,0,0.0,0,0.0,0.0
Bones Hyland,LAC,6,1,5,134,2,0,0.0,7,28.6,0,28.6,15.1
Bradley Beal,PHX,2,1,1,55,2,0,0.0,6,33.3,0,33.3,19.8
Brandin Podziemski,GSW,2,1,1,31,2,1,50.0,5,40.0,0,40.0,4.9
Brandon Ingram,NOP,6,2,4,205,4,3,75.0,13,30.8,1,33.3,10.7
Brandon Miller,CHA,8,3,5,249,12,6,50.0,20,60.0,0,60.0,9.8
Braxton Key,DEN,1,1,0,3,0,0,0.0,0,0.0,0,0.0,0.0
Brice Sensabaugh,UTA,1,0,1,2,1,0,0.0,1,100.0,0,100.0,14.2
Brook Lopez,MIL,8,5,3,213,11,6,54.5,20,55.0,0,55.0,5.6
Bruce Brown,IND,9,6,3,280,6,1,16.7,18,33.3,2,37.5,12.2
Bryce McGowens,CHA,3,1,2,38,0,0,0.0,0,0.0,0,0.0,0.0
Buddy Hield,IND,9,6,3,209,6,3,50.0,17,35.3,1,37.5,13.2
CJ McCollum,NOP,6,4,2,206,5,0,0.0,11,45.5,0,45.5,18.8
Cade Cunningham,DET,10,2,8,359,5,3,60.0,19,26.3,1,27.8,9.1
Caleb Houstan,ORL,3,2,1,21,0,0,0.0,1,0.0,0,0.0,0.0
Caleb Martin,MIA,1,1,0,20,1,0,0.0,2,50.0,0,50.0,17.8
Cam Reddish,LAL,9,4,5,190,5,1,20.0,12,41.7,0,41.7,15.3
Cam Thomas,BKN,8,4,4,259,2,0,0.0,13,15.4,0,15.4,17.6
Cam Whitmore,HOU,3,2,1,23,0,0,0.0,2,0.0,0,0.0,0.0
Cameron Johnson,BKN,2,0,2,51,4,3,75.0,8,50.0,1,57.1,6.0
Cameron Payne,MIL,6,3,3,117,1,0,0.0,4,25.0,0,25.0,40.8
Caris LeVert,CLE,7,3,4,234,2,1,50.0,13,15.4,1,16.7,6.7
Cason Wallace,OKC,9,5,4,208,5,2,40.0,16,31.3,1,33.3,9.0
Cedi Osman,SAS,6,3,3,122,2,2,100.0,8,25.0,1,28.6,5.7
Charles Bassey,SAS,9,3,6,110,10,7,70.0,33,30.3,0,30.3,6.4
Chet Holmgren,OKC,9,5,4,268,16,9,56.3,37,43.2,1,44.4,9.4
Chimezie Metu,PHX,2,1,1,8,0,0,0.0,0,0.0,0,0.0,0.0
Chris Boucher,TOR,5,1,4,72,8,4,50.0,19,42.1,1,44.4,5.3
Chris Duarte,SAC,7,3,4,107,1,0,0.0,7,14.3,0,14.3,5.8
Chris Paul,GSW,8,6,2,222,2,0,0.0,10,20.0,0,20.0,5.1
Christian Braun,DEN,6,5,1,124,9,5,55.6,18,50.0,0,50.0,7.7
Christian Wood,LAL,9,4,5,205,9,4,44.4,19,47.4,1,50.0,6.6
