Player,Team,Age,GP,Min,ScreenAssists,ScreenAssists PTS,Deflections,OFF Loose BallsRecovered,DEF Loose BallsRecovered,Loose BallsRecovered,% Loose BallsRecovered OFF,% Loose BallsRecovered DEF,ChargesDrawn,Contested2PT Shots,Contested3PT Shots,ContestedShots
Aaron Gordon,ORL,23,78,2633,68,162,101,48,47,95,50.5,49.5,1,345,164,509
Aaron Holiday,IND,22,50,646,1,2,33,8,9,17,47.1,52.9,0,73,52,125
Abdel Nader,OKC,25,61,694,1,3,31,13,12,25,52.0,48.0,1,131,99,230
Al Horford,BOS,33,68,1973,226,522,94,18,39,57,31.6,68.4,0,598,196,794
Al-Farouq Aminu,POR,28,81,2292,78,186,155,43,37,80,53.8,46.3,2,354,247,601
Alan Williams,BKN,26,5,26,0,0,1,1,1,2,50.0,50.0,0,3,5,8
Alec Burks,SAC,27,64,1375,6,13,75,12,19,31,38.7,61.3,0,193,134,327
Alex Abrines,OKC,25,31,588,1,3,29,5,12,17,29.4,70.6,2,105,58,163
Alex Caruso,LAL,25,25,531,12,27,47,15,4,19,78.9,21.1,4,70,69,139
Alex Len,ATL,26,77,1544,166,382,40,21,13,34,61.8,38.2,0,602,133,735
Alex Poythress,ATL,25,21,305,10,25,15,3,3,6,50.0,50.0,0,60,25,85
Alfonzo McKinnie,GSW,26,72,1003,16,43,44,13,19,32,40.6,59.4,3,107,114,221
Alize Johnson,IND,23,14,64,2,5,3,0,2,2,0.0,100.0,0,14,15,29
Allen Crabbe,BKN,27,43,1133,5,11,44,6,18,24,25.0,75.0,0,116,78,194
Allonzo Trier,NYK,23,64,1459,5,12,48,20,28,48,41.7,58.3,3,142,123,265
Amile Jefferson,ORL,26,12,68,16,40,3,1,2,3,33.3,66.7,0,19,8,27
Amir Johnson,PHI,32,51,529,78,179,35,10,7,17,58.8,41.2,2,169,40,209
Andre Drummond,DET,25,79,2647,302,665,225,47,52,99,47.5,52.5,1,800,225,1025
Andre Iguodala,GSW,35,68,1578,44,112,114,28,48,76,36.8,63.2,2,172,132,304
Andre Ingram,LAL,33,4,15,0,0,1,1,0,1,100.0,0.0,0,2,1,3
Andrew Bogut,GSW,34,11,134,23,54,4,1,0,1,100.0,0.0,3,46,6,52
Andrew Harrison,NOP,24,17,186,1,2,16,4,2,6,66.7,33.3,3,16,21,37
Andrew Wiggins,MIN,24,73,2543,6,17,121,46,47,93,49.5,50.5,0,327,323,650
Anfernee Simons,POR,20,20,141,0,0,4,1,0,1,100.0,0.0,0,22,19,41
Angel Delgado,LAC,24,2,15,1,2,1,0,0,0,0.0,0.0,0,5,0,5
Ante Zizic,CLE,22,59,1082,157,353,17,13,17,30,43.3,56.7,0,323,64,387
Anthony Davis,NOP,26,56,1850,189,413,149,40,47,87,46.0,54.0,6,494,188,682
Anthony Tolliver,MIN,34,65,1079,38,86,28,7,16,23,30.4,69.6,14,130,107,237
Antonio Blakeney,CHI,22,57,829,0,0,19,8,11,19,42.1,57.9,0,69,79,148
Aron Baynes,BOS,32,51,821,156,365,22,9,6,15,60.0,40.0,18,303,84,387
Austin Rivers,HOU,26,76,2028,11,26,94,13,37,50,26.0,74.0,5,225,126,351
Avery Bradley,MEM,28,63,1905,9,23,102,29,30,59,49.2,50.8,4,156,140,296
BJ Johnson,SAC,23,7,49,0,0,2,2,0,2,100.0,0.0,0,4,3,7
Bam Adebayo,MIA,21,82,1913,245,560,117,39,21,60,65.0,35.0,0,477,160,637
Ben McLemore,SAC,26,19,158,1,2,6,1,1,2,50.0,50.0,1,17,10,27
Ben Simmons,PHI,22,79,2700,134,336,215,65,69,134,48.5,51.5,0,290,227,517
Billy Garrett,NYK,24,4,63,0,0,6,0,2,2,0.0,100.0,1,2,5,7
Bismack Biyombo,CHA,26,54,782,120,274,14,16,8,24,66.7,33.3,1,263,64,327
Blake Griffin,DET,30,75,2622,172,419,102,57,44,101,56.4,43.6,30,284,254,538
Boban Marjanovic,PHI,30,58,681,89,191,17,6,5,11,54.5,45.5,0,303,66,369
Bobby Portis,WAS,24,50,1298,96,210,66,18,21,39,46.2,53.8,1,210,101,311
Bogdan Bogdanovic,SAC,26,70,1947,13,32,159,27,26,53,50.9,49.1,1,207,174,381
Bojan Bogdanovic,IND,30,81,2573,11,24,94,25,43,68,36.8,63.2,3,219,283,502
Bonzie Colson,MIL,23,8,98,1,2,7,1,3,4,25.0,75.0,0,17,22,39
Brad Wanamaker,BOS,29,36,343,1,2,40,1,6,7,14.3,85.7,0,26,40,66
Bradley Beal,WAS,26,82,3028,19,43,202,62,77,139,44.6,55.4,12,281,332,613
Brandon Goodwin,DEN,23,16,57,0,0,0,0,0,0,0.0,0.0,1,5,6,11
Brandon Ingram,LAL,21,52,1761,21,49,49,33,28,61,54.1,45.9,2,213,214,427
Brandon Knight,CLE,27,39,737,5,12,37,9,8,17,52.9,47.1,2,44,69,113
Brandon Sampson,CHI,22,14,214,0,0,8,3,2,5,60.0,40.0,0,22,15,37
Brook Lopez,MIL,31,81,2322,119,275,82,28,32,60,46.7,53.3,0,1278,283,1561
Bruce Brown,DET,22,74,1449,9,21,87,23,27,50,46.0,54.0,0,236,164,400
Bruno Caboclo,MEM,23,34,800,16,39,49,15,7,22,68.2,31.8,0,155,77,232
Bryn Forbes,SAS,25,82,2293,19,38,74,29,43,72,40.3,59.7,0,189,182,371
Buddy Hield,SAC,26,82,2615,15,35,119,47,51,98,48.0,52.0,0,372,259,631
C.J. Williams,MIN,29,15,128,0,0,10,2,2,4,50.0,50.0,0,7,21,28
CJ McCollum,POR,27,70,2375,11,23,80,44,46,90,48.9,51.1,0,352,213,565
CJ Miles,MEM,32,53,857,6,14,46,12,14,26,46.2,53.8,4,89,77,166
Caleb Swanigan,SAC,22,21,178,23,56,8,2,3,5,40.0,60.0,3,29,14,43
Cam Reynolds,MIN,24,19,259,1,2,14,1,3,4,25.0,75.0,0,30,32,62
Cameron Payne,CLE,24,40,712,4,9,69,13,14,27,48.1,51.9,3,74,61,135
Caris LeVert,BKN,24,40,1063,3,7,82,18,23,41,43.9,56.1,4,133,116,249
Carmelo Anthony,HOU,35,10,294,3,7,11,4,3,7,57.1,42.9,0,31,28,59
Cedi Osman,CLE,24,76,2444,35,83,99,31,42,73,42.5,57.5,7,309,269,578
Chandler Hutchison,CHI,23,44,895,5,12,47,13,23,36,36.1,63.9,8,79,85,164
Chandler Parsons,MEM,30,25,496,3,7,19,1,7,8,12.5,87.5,1,28,33,61
Channing Frye,CLE,36,36,341,29,68,10,1,2,3,33.3,66.7,0,90,31,121
Chasson Randle,WAS,26,49,743,4,8,47,7,5,12,58.3,41.7,1,73,87,160
Cheick Diallo,NOP,22,64,896,95,226,35,16,22,38,42.1,57.9,1,275,44,319
Chimezie Metu,SAS,22,29,145,5,13,12,2,2,4,50.0,50.0,0,20,22,42
Chris Boucher,TOR,26,28,163,19,42,11,2,2,4,50.0,50.0,0,86,25,111
Chris Chiozza,HOU,23,7,33,0,0,2,1,0,1,100.0,0.0,0,3,8,11
Chris Paul,HOU,34,58,1857,22,55,192,32,39,71,45.1,54.9,4,97,110,207
Christian Wood,NOP,23,21,250,13,30,11,3,5,8,37.5,62.5,0,61,39,100
Clint Capela,HOU,25,67,2249,176,403,71,52,44,96,54.2,45.8,4,692,233,925
Cody Zeller,CHA,26,49,1243,264,617,75,15,29,44,34.1,65.9,4,352,109,461
Collin Sexton,CLE,20,82,2605,14,30,87,47,42,89,52.8,47.2,1,239,302,541
Corey Brewer,SAC,33,31,492,3,6,69,12,10,22,54.5,45.5,4,53,57,110
Cory Joseph,IND,27,82,2063,14,34,122,32,61,93,34.4,65.6,1,224,236,460
Courtney Lee,DAL,33,34,428,3,6,33,5,12,17,29.4,70.6,3,31,35,66
Cristiano Felicio,CHI,26,60,746,118,253,13,11,10,21,52.4,47.6,0,192,72,264
D'Angelo Russell,BKN,23,81,2448,17,44,177,46,41,87,52.9,47.1,0,177,252,429
