PLAYER,TEAM,POSITION,AGE,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,year
Nikola Jokic,DEN,C,29.0,3,3,100.0,41,71,57.7,51.9,5.8,2024
Joel Embiid,PHI,C-F,30.0,3,3,100.0,30,65,46.2,50.9,-4.7,2024
Anthony Davis,LAL,F-C,31.0,3,3,100.0,30,62,48.4,51.9,-3.5,2024
Brook Lopez,MIL,C,36.0,3,3,100.0,35,61,57.4,51.4,6.0,2024
Austin Reaves,LAL,G,25.0,3,3,100.0,25,61,41.0,48.8,-7.8,2024
Bobby Portis,MIL,F,29.0,3,3,100.0,26,59,44.1,52.6,-8.6,2024
Rudy Gobert,MIN,C,31.0,3,3,100.0,22,59,37.3,50.9,-13.6,2024
Paolo Banchero,ORL,F,21.0,3,3,100.0,25,56,44.6,49.0,-4.4,2024
Isaiah Hartenstein,NYK,C-F,25.0,3,3,100.0,30,55,54.5,49.7,4.9,2024
Kevin Durant,PHX,F,35.0,3,3,100.0,26,55,47.3,48.0,-0.8,2024
Josh Hart,NYK,G,29.0,3,3,100.0,27,54,50.0,46.7,3.3,2024
Luka Doncic,DAL,F-G,25.0,3,3,100.0,17,54,31.5,49.8,-18.3,2024
Aaron Nesmith,IND,G-F,24.0,3,3,100.0,20,53,37.7,48.4,-10.6,2024
Jusuf Nurkic,PHX,C,29.0,3,3,100.0,24,53,45.3,51.0,-5.7,2024
Evan Mobley,CLE,C,22.0,3,3,100.0,20,52,38.5,48.0,-9.6,2024
Myles Turner,IND,C-F,28.0,3,3,100.0,28,51,54.9,48.0,6.9,2024
Max Strus,CLE,G-F,28.0,3,3,100.0,16,50,32.0,47.0,-15.0,2024
Paul George,LAC,F,33.0,3,3,100.0,21,48,43.8,49.6,-5.8,2024
Rui Hachimura,LAL,F,26.0,3,3,100.0,28,46,60.9,52.4,8.5,2024
P.J. Washington,DAL,F,25.0,3,3,100.0,18,46,39.1,51.0,-11.9,2024
Kentavious Caldwell-Pope,DEN,G,31.0,3,3,100.0,23,44,52.3,50.0,2.2,2024
Khris Middleton,MIL,F,32.0,3,3,100.0,24,44,54.5,52.1,2.5,2024
Kyle Lowry,PHI,G,38.0,3,3,100.0,20,44,45.5,46.5,-1.0,2024
Kelly Oubre Jr.,PHI,F-G,28.0,3,3,100.0,21,44,47.7,46.4,1.3,2024
Ivica Zubac,LAC,C,27.0,3,3,100.0,24,43,55.8,54.8,1.0,2024
Nicolas Batum,PHI,G-F,35.0,3,3,100.0,13,41,31.7,47.6,-15.9,2024
LeBron James,LAL,F,39.0,3,3,100.0,27,41,65.9,51.7,14.1,2024
Franz Wagner,ORL,F,22.0,3,3,100.0,14,41,34.1,47.2,-13.1,2024
Patrick Beverley,MIL,G,35.0,3,3,100.0,21,40,52.5,50.8,1.7,2024
Bradley Beal,PHX,G,30.0,3,3,100.0,21,40,52.5,49.2,3.3,2024
Jalen Brunson,NYK,G,27.0,3,3,100.0,20,40,50.0,46.0,4.0,2024
Pascal Siakam,IND,F,30.0,3,3,100.0,22,40,55.0,47.8,7.2,2024
Jamal Murray,DEN,G,27.0,3,3,100.0,21,39,53.8,49.8,4.1,2024
Kristaps Porzingis,BOS,F-C,28.0,2,2,100.0,16,38,42.1,48.1,-6.0,2024
Mitchell Robinson,NYK,C-F,26.0,3,3,100.0,17,38,44.7,50.0,-5.3,2024
Tyrese Maxey,PHI,G,23.0,3,3,100.0,19,37,51.4,47.1,4.2,2024
Chet Holmgren,OKC,C-F,21.0,2,2,100.0,15,37,40.5,51.4,-10.9,2024
Tobias Harris,PHI,F,31.0,3,3,100.0,13,36,36.1,48.7,-12.6,2024
CJ McCollum,NOP,G,32.0,2,2,100.0,26,36,72.2,50.7,21.5,2024
James Harden,LAC,G,34.0,3,3,100.0,13,35,37.1,49.8,-12.7,2024
Tyler Herro,MIA,G,24.0,2,2,100.0,11,34,32.4,49.1,-16.7,2024
Tyrese Haliburton,IND,G,24.0,3,3,100.0,10,34,29.4,44.9,-15.5,2024
Jaden McDaniels,MIN,F,23.0,3,3,100.0,15,34,44.1,50.1,-6.0,2024
Jonas Valanciunas,NOP,C,31.0,2,2,100.0,15,33,45.5,51.3,-5.9,2024
Trey Murphy III,NOP,F,23.0,2,2,100.0,11,33,33.3,51.6,-18.3,2024
Jalen Williams,OKC,G-F,23.0,2,2,100.0,17,33,51.5,48.6,2.9,2024
Nickeil Alexander-Walker,MIN,G,25.0,3,3,100.0,17,33,51.5,50.2,1.3,2024
Aaron Gordon,DEN,F,28.0,3,3,100.0,17,33,51.5,52.6,-1.1,2024
Devin Booker,PHX,G,27.0,3,3,100.0,14,32,43.8,46.7,-3.0,2024
Terance Mann,LAC,G-F,27.0,3,3,100.0,9,32,28.1,49.4,-21.2,2024
Georges Niang,CLE,F,30.0,3,3,100.0,18,32,56.3,48.7,7.6,2024
D'Angelo Russell,LAL,G,28.0,3,3,100.0,11,31,35.5,48.2,-12.7,2024
Kyrie Irving,DAL,G,32.0,3,3,100.0,14,31,45.2,48.4,-3.2,2024
Damian Lillard,MIL,G,33.0,3,3,100.0,13,31,41.9,51.0,-9.1,2024
Donovan Mitchell,CLE,G,27.0,3,3,100.0,15,30,50.0,47.2,2.8,2024
Derrick Jones Jr.,DAL,F,27.0,3,3,100.0,14,30,46.7,49.2,-2.5,2024
Pat Connaughton,MIL,G,31.0,3,3,100.0,11,30,36.7,51.8,-15.1,2024
Jaime Jaquez Jr.,MIA,G,23.0,2,2,100.0,13,30,43.3,48.2,-4.8,2024
Eric Gordon,PHX,G,35.0,3,3,100.0,12,29,41.4,46.7,-5.3,2024
Taurean Prince,LAL,F,30.0,3,3,100.0,12,29,41.4,48.6,-7.2,2024
Wendell Carter Jr.,ORL,C-F,25.0,3,3,100.0,12,28,42.9,49.8,-6.9,2024
Miles McBride,NYK,G,23.0,3,3,100.0,11,28,39.3,46.9,-7.6,2024
Jarrett Allen,CLE,C,26.0,3,3,100.0,10,27,37.0,49.2,-12.1,2024
Karl-Anthony Towns,MIN,C-F,28.0,3,3,100.0,14,27,51.9,50.5,1.4,2024
Isaac Okoro,CLE,F-G,23.0,3,3,100.0,10,27,37.0,48.0,-11.0,2024
Nikola Jovic,MIA,F,20.0,2,2,100.0,11,27,40.7,48.6,-7.9,2024
Brandon Ingram,NOP,F,26.0,2,2,100.0,13,27,48.1,50.8,-2.7,2024
Mike Conley,MIN,G,36.0,3,3,100.0,15,26,57.7,51.3,6.4,2024
Gary Harris,ORL,G,29.0,3,3,100.0,12,26,46.2,49.5,-3.4,2024
Andrew Nembhard,IND,G-F,24.0,3,3,100.0,13,26,50.0,43.5,6.5,2024
Maxi Kleber,DAL,F,32.0,3,3,100.0,7,26,26.9,51.3,-24.4,2024
