PLAYER,TEAM,POSITION,AGE,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,year
Nikola Jokic,DEN,C,29.0,3,3,38.0,17,27,63.0,67.4,-4.4,2024
Rudy Gobert,MIN,C,31.0,3,3,42.4,12,25,48.0,63.3,-15.3,2024
Paolo Banchero,ORL,F,21.0,3,3,42.9,13,24,54.2,64.9,-10.7,2024
Chet Holmgren,OKC,C-F,21.0,2,2,62.2,12,23,52.2,62.9,-10.7,2024
Joel Embiid,PHI,C-F,30.0,3,3,35.4,11,23,47.8,61.4,-13.6,2024
P.J. Washington,DAL,F,25.0,3,3,47.8,9,22,40.9,65.1,-24.2,2024
Austin Reaves,LAL,G,25.0,3,3,36.1,14,22,63.6,64.1,-0.4,2024
Rui Hachimura,LAL,F,26.0,3,3,45.7,17,21,81.0,66.1,14.8,2024
LeBron James,LAL,F,39.0,3,3,51.2,17,21,81.0,66.6,14.4,2024
Jusuf Nurkic,PHX,C,29.0,3,3,37.7,12,20,60.0,66.4,-6.4,2024
Evan Mobley,CLE,C,22.0,3,3,38.5,9,20,45.0,64.0,-19.0,2024
Anthony Davis,LAL,F-C,31.0,3,3,32.3,13,20,65.0,66.9,-1.9,2024
Josh Hart,NYK,G,29.0,3,3,35.2,12,19,63.2,61.7,1.5,2024
Myles Turner,IND,C-F,28.0,3,3,35.3,11,18,61.1,66.8,-5.7,2024
Luka Doncic,DAL,F-G,25.0,3,3,33.3,5,18,27.8,63.8,-36.0,2024
Patrick Beverley,MIL,G,35.0,3,3,45.0,13,18,72.2,68.4,3.8,2024
Kentavious Caldwell-Pope,DEN,G,31.0,3,3,40.9,10,18,55.6,66.9,-11.4,2024
Isaiah Hartenstein,NYK,C-F,25.0,3,3,32.7,10,18,55.6,63.2,-7.7,2024
Brook Lopez,MIL,C,36.0,3,3,26.2,11,16,68.8,66.3,2.5,2024
Pascal Siakam,IND,F,30.0,3,3,40.0,10,16,62.5,62.9,-0.4,2024
Bobby Portis,MIL,F,29.0,3,3,27.1,13,16,81.3,68.1,13.2,2024
Jamal Murray,DEN,G,27.0,3,3,41.0,12,16,75.0,67.2,7.8,2024
Kevin Durant,PHX,F,35.0,3,3,29.1,8,16,50.0,66.1,-16.1,2024
Jarrett Allen,CLE,C,26.0,3,3,59.3,8,16,50.0,62.7,-12.7,2024
Aaron Gordon,DEN,F,28.0,3,3,45.5,11,15,73.3,68.8,4.5,2024
Daniel Gafford,DAL,F-C,25.0,3,3,57.7,9,15,60.0,63.5,-3.5,2024
Paul George,LAC,F,33.0,3,3,31.3,6,15,40.0,66.6,-26.6,2024
Taurean Prince,LAL,F,30.0,3,3,51.7,7,15,46.7,61.6,-15.0,2024
CJ McCollum,NOP,G,32.0,2,2,38.9,11,14,78.6,64.3,14.3,2024
Ivica Zubac,LAC,C,27.0,3,3,32.6,9,14,64.3,72.5,-8.2,2024
Derrick Jones Jr.,DAL,F,27.0,3,3,46.7,9,14,64.3,65.1,-0.8,2024
Max Strus,CLE,G-F,28.0,3,3,28.0,5,14,35.7,63.3,-27.5,2024
Damian Lillard,MIL,G,33.0,3,3,41.9,10,13,76.9,69.0,7.9,2024
Tyler Herro,MIA,G,24.0,2,2,38.2,4,13,30.8,61.6,-30.8,2024
Franz Wagner,ORL,F,22.0,3,3,31.7,9,13,69.2,63.9,5.3,2024
Jalen Williams,OKC,G-F,23.0,2,2,39.4,9,13,69.2,63.1,6.2,2024
Jonathan Isaac,ORL,F,26.0,3,3,50.0,5,13,38.5,67.2,-28.8,2024
Kyrie Irving,DAL,G,32.0,3,3,41.9,8,13,61.5,61.1,0.4,2024
Dereck Lively II,DAL,C,20.0,3,3,54.2,4,13,30.8,64.4,-33.7,2024
Jonas Valanciunas,NOP,C,31.0,2,2,36.4,6,12,50.0,66.9,-16.9,2024
Tyrese Haliburton,IND,G,24.0,3,3,35.3,4,12,33.3,65.0,-31.6,2024
Christian Braun,DEN,G,23.0,3,3,60.0,6,12,50.0,62.5,-12.5,2024
James Harden,LAC,G,34.0,3,3,34.3,6,12,50.0,68.8,-18.8,2024
Nickeil Alexander-Walker,MIN,G,25.0,3,3,36.4,9,12,75.0,64.5,10.5,2024
Mitchell Robinson,NYK,C-F,26.0,3,3,31.6,9,12,75.0,63.3,11.7,2024
Maxi Kleber,DAL,F,32.0,3,2,46.2,3,12,25.0,62.1,-37.1,2024
Michael Porter Jr.,DEN,F,25.0,3,3,48.0,9,12,75.0,68.1,6.9,2024
Jalen Brunson,NYK,G,27.0,3,3,30.0,6,12,50.0,60.6,-10.6,2024
Georges Niang,CLE,F,30.0,3,3,37.5,9,12,75.0,66.5,8.5,2024
Peyton Watson,DEN,G,21.0,3,3,50.0,4,11,36.4,67.4,-31.1,2024
Nicolas Batum,PHI,G-F,35.0,3,3,26.8,4,11,36.4,62.2,-25.8,2024
Khris Middleton,MIL,F,32.0,3,3,25.0,7,11,63.6,67.8,-4.2,2024
Bradley Beal,PHX,G,30.0,3,3,27.5,8,11,72.7,64.1,8.6,2024
Trey Murphy III,NOP,F,23.0,2,2,33.3,5,11,45.5,64.7,-19.3,2024
Wendell Carter Jr.,ORL,C-F,25.0,3,3,39.3,7,11,63.6,65.7,-2.0,2024
Karl-Anthony Towns,MIN,C-F,28.0,3,3,40.7,6,11,54.5,64.3,-9.8,2024
Jalen Suggs,ORL,G,22.0,3,3,41.7,3,10,30.0,66.5,-36.5,2024
Drew Eubanks,PHX,F-C,27.0,3,3,52.6,5,10,50.0,61.7,-11.7,2024
Miles McBride,NYK,G,23.0,3,3,35.7,6,10,60.0,62.0,-2.0,2024
Tobias Harris,PHI,F,31.0,3,3,27.8,6,10,60.0,62.3,-2.3,2024
OG Anunoby,NYK,F-G,26.0,3,3,41.7,4,10,40.0,62.3,-22.3,2024
D'Angelo Russell,LAL,G,28.0,3,3,32.3,7,10,70.0,62.7,7.3,2024
Devin Booker,PHX,G,27.0,3,3,31.3,7,10,70.0,64.1,5.9,2024
Kyle Lowry,PHI,G,38.0,3,2,22.7,6,10,60.0,60.5,-0.5,2024
Kristaps Porzingis,BOS,F-C,28.0,2,2,26.3,4,10,40.0,58.4,-18.4,2024
Brandon Ingram,NOP,F,26.0,2,2,37.0,5,10,50.0,63.9,-13.9,2024
Tyrese Maxey,PHI,G,23.0,3,3,27.0,7,10,70.0,62.8,7.2,2024
Donte DiVincenzo,NYK,G,27.0,3,3,47.4,5,9,55.6,61.4,-5.9,2024
Mike Conley,MIN,G,36.0,3,3,34.6,7,9,77.8,66.2,11.5,2024
Aaron Nesmith,IND,G-F,24.0,3,3,17.0,4,9,44.4,61.9,-17.5,2024
Kawhi Leonard,LAC,F,32.0,2,2,47.4,5,9,55.6,65.1,-9.6,2024
Gary Harris,ORL,G,29.0,3,3,34.6,6,9,66.7,65.7,1.0,2024
Jaden McDaniels,MIN,F,23.0,3,3,23.5,3,8,37.5,65.4,-27.9,2024
Kelly Oubre Jr.,PHI,F-G,28.0,3,3,18.2,6,8,75.0,62.2,12.8,2024
Russell Westbrook,LAC,G,35.0,3,3,34.8,4,8,50.0,69.3,-19.3,2024
Andrew Nembhard,IND,G-F,24.0,3,3,30.8,6,8,75.0,60.8,14.2,2024
Jaime Jaquez Jr.,MIA,G,23.0,2,2,26.7,6,8,75.0,64.8,10.2,2024
Caleb Martin,MIA,F,28.0,2,2,66.7,3,8,37.5,65.8,-28.3,2024
Haywood Highsmith,MIA,F,27.0,2,2,40.0,5,8,62.5,67.4,-4.9,2024
Isaac Okoro,CLE,F-G,23.0,3,3,29.6,4,8,50.0,65.3,-15.3,2024
Nikola Jovic,MIA,F,20.0,2,2,29.6,4,8,50.0,65.3,-15.3,2024
Royce O'Neale,PHX,F,30.0,3,3,38.1,7,8,87.5,62.7,24.8,2024
Donovan Mitchell,CLE,G,27.0,3,2,26.7,5,8,62.5,63.3,-0.8,2024
Pat Connaughton,MIL,G,31.0,3,2,26.7,5,8,62.5,68.0,-5.5,2024
Darius Garland,CLE,G,24.0,3,3,32.0,6,8,75.0,62.6,12.4,2024
Obi Toppin,IND,F,26.0,3,2,41.2,4,7,57.1,62.4,-5.3,2024
Moritz Wagner,ORL,F-C,27.0,3,3,33.3,4,7,57.1,65.4,-8.3,2024
Derrick White,BOS,G,29.0,2,2,31.8,4,7,57.1,61.9,-4.8,2024
Paul Reed,PHI,F,24.0,3,3,50.0,4,7,57.1,60.7,-3.6,2024
Josh Giddey,OKC,G,21.0,2,2,36.8,3,7,42.9,65.0,-22.2,2024
Anthony Edwards,MIN,G,22.0,3,3,29.2,4,7,57.1,64.1,-6.9,2024
Al Horford,BOS,C-F,37.0,2,2,26.9,4,7,57.1,63.7,-6.5,2024
Shai Gilgeous-Alexander,OKC,G,25.0,2,2,33.3,4,7,57.1,65.9,-8.8,2024
Naz Reid,MIN,C-F,24.0,3,3,43.8,4,7,57.1,60.9,-3.8,2024
Mason Plumlee,LAC,F-C,34.0,3,3,53.8,3,7,42.9,68.9,-26.0,2024
T.J. McConnell,IND,G,32.0,3,3,28.6,2,6,33.3,59.1,-25.7,2024
Naji Marshall,NOP,F,26.0,2,2,46.2,4,6,66.7,65.8,0.9,2024
Aaron Wiggins,OKC,G,25.0,2,2,40.0,4,6,66.7,63.2,3.5,2024
Eric Gordon,PHX,G,35.0,3,3,20.7,5,6,83.3,65.0,18.3,2024
Jaylen Brown,BOS,G-F,27.0,2,2,24.0,4,6,66.7,60.3,6.3,2024
Bojan Bogdanovic,NYK,F,35.0,3,3,50.0,2,6,33.3,56.6,-23.2,2024
Duncan Robinson,MIA,F,30.0,2,2,37.5,5,6,83.3,68.8,14.6,2024
Cole Anthony,ORL,G,23.0,3,2,33.3,3,6,50.0,63.3,-13.3,2024
Delon Wright,MIA,G,32.0,2,2,37.5,4,6,66.7,64.9,1.8,2024
Luguentz Dort,OKC,G,25.0,2,2,25.0,3,6,50.0,65.3,-15.3,2024
Markelle Fultz,ORL,G,25.0,3,3,54.5,4,6,66.7,59.0,7.7,2024
Amir Coffey,LAC,G-F,26.0,3,2,21.7,3,5,60.0,67.4,-7.4,2024
Herbert Jones,NOP,F,25.0,2,2,29.4,2,5,40.0,59.8,-19.8,2024
Jrue Holiday,BOS,G,33.0,2,2,27.8,4,5,80.0,60.2,19.8,2024
Larry Nance Jr.,NOP,F-C,31.0,2,2,50.0,3,5,60.0,64.8,-4.8,2024
Precious Achiuwa,NYK,F,24.0,1,1,62.5,2,5,40.0,62.9,-22.9,2024
Norman Powell,LAC,G,30.0,3,2,19.2,1,5,20.0,67.0,-47.0,2024
Caris LeVert,CLE,G,29.0,3,2,25.0,3,5,60.0,67.0,-7.0,2024
Joe Ingles,ORL,F-G,36.0,3,2,71.4,4,5,80.0,59.9,20.1,2024
Tim Hardaway Jr.,DAL,G-F,32.0,2,1,38.5,1,5,20.0,63.7,-43.7,2024
