Team,Year,Season,Name,On,Off,On-Off,MinutesOn,MinutesOff
BOS,2024,2023-24,Jaylen Brown,0.750,0.900,-0.150,170.0,70.0
BOS,2024,2023-24,Jrue Holiday,0.791,0.824,-0.033,177.0,63.0
BOS,2024,2023-24,Payton Pritchard,0.882,0.692,0.190,115.0,125.0
BOS,2024,2023-24,Al Horford,0.821,0.762,0.059,128.0,112.0
BOS,2024,2023-24,Jayson Tatum,0.800,0.800,0.000,190.0,50.0
BOS,2024,2023-24,Kristaps Porzingis,0.696,0.865,-0.169,105.0,135.0
BOS,2024,2023-24,Derrick White,0.780,0.842,-0.062,170.0,70.0
BOS,2024,2023-24,Sam Hauser,0.882,0.767,0.115,85.0,155.0
BOS,2024,2023-24,Luke Kornet,1.000,0.786,0.214,27.0,213.0
BOS,2024,2023-24,Oshae Brissett,0.750,0.804,-0.054,7.0,233.0
BOS,2024,2023-24,Svi Mykhailiuk,0.800,0.800,0.000,11.0,229.0
BOS,2024,2023-24,Jaden Springer,0.800,0.800,0.000,8.0,232.0
BOS,2024,2023-24,Xavier Tillman,0.800,0.800,0.000,7.0,233.0
CLE,2024,2023-24,Max Strus,0.532,0.596,-0.064,234.0,102.0
CLE,2024,2023-24,Donovan Mitchell,0.539,0.580,-0.041,262.0,74.0
CLE,2024,2023-24,Georges Niang,0.556,0.548,0.007,88.0,248.0
CLE,2024,2023-24,Isaac Okoro,0.500,0.605,-0.105,161.0,175.0
CLE,2024,2023-24,Sam Merrill,0.682,0.532,0.150,48.0,288.0
CLE,2024,2023-24,Caris LeVert,0.517,0.582,-0.065,157.0,179.0
CLE,2024,2023-24,Darius Garland,0.577,0.479,0.098,240.0,96.0
CLE,2024,2023-24,Tristan Thompson,0.667,0.535,0.132,43.0,293.0
CLE,2024,2023-24,Marcus Morris Sr.,0.679,0.527,0.152,75.0,261.0
CLE,2024,2023-24,Damian Jones,0.667,0.549,0.118,7.0,329.0
CLE,2024,2023-24,Evan Mobley,0.523,0.625,-0.102,237.0,99.0
CLE,2024,2023-24,Jarrett Allen,0.580,0.532,0.048,127.0,209.0
CLE,2024,2023-24,Ty Jerome,0.000,0.551,-0.551,0.0,336.0
CLE,2024,2023-24,Craig Porter Jr.,0.000,0.551,-0.551,0.0,336.0
CLE,2024,2023-24,Dean Wade,0.000,0.551,-0.551,0.0,336.0
DAL,2024,2023-24,A.J. Lawson,0.667,0.504,0.163,10.0,278.0
DAL,2024,2023-24,Olivier-Maxence Prosper,0.000,0.507,-0.507,1.0,287.0
DAL,2024,2023-24,Jaden Hardy,0.667,0.504,0.163,13.0,275.0
DAL,2024,2023-24,Dante Exum,0.423,0.527,-0.104,53.0,235.0
DAL,2024,2023-24,Tim Hardaway Jr.,0.389,0.525,-0.136,22.0,266.0
DAL,2024,2023-24,Josh Green,0.475,0.520,-0.045,101.0,187.0
DAL,2024,2023-24,Dwight Powell,1.000,0.500,0.500,9.0,279.0
DAL,2024,2023-24,Dereck Lively II,0.438,0.568,-0.130,122.0,166.0
DAL,2024,2023-24,Maxi Kleber,0.436,0.554,-0.118,116.0,172.0
DAL,2024,2023-24,P.J. Washington,0.554,0.378,0.176,212.0,76.0
DAL,2024,2023-24,Daniel Gafford,0.534,0.487,0.047,109.0,179.0
DAL,2024,2023-24,Kyrie Irving,0.509,0.500,0.009,240.0,48.0
DAL,2024,2023-24,Luka Doncic,0.521,0.421,0.100,255.0,33.0
DAL,2024,2023-24,Derrick Jones Jr.,0.552,0.431,0.120,176.0,112.0
DEN,2024,2023-24,Michael Porter Jr.,0.714,0.667,0.048,237.0,51.0
DEN,2024,2023-24,Aaron Gordon,0.712,0.667,0.046,234.0,54.0
DEN,2024,2023-24,Nikola Jokic,0.732,0.500,0.232,243.0,45.0
DEN,2024,2023-24,Kentavious Caldwell-Pope,0.736,0.556,0.180,218.0,70.0
DEN,2024,2023-24,Christian Braun,0.605,0.736,-0.131,84.0,204.0
DEN,2024,2023-24,Jamal Murray,0.725,0.600,0.125,233.0,55.0
DEN,2024,2023-24,Peyton Watson,0.600,0.730,-0.130,65.0,223.0
DEN,2024,2023-24,Reggie Jackson,0.613,0.728,-0.115,65.0,223.0
DEN,2024,2023-24,Justin Holiday,0.556,0.725,-0.169,52.0,236.0
DEN,2024,2023-24,DeAndre Jordan,1.000,0.705,0.295,9.0,279.0
IND,2024,2023-24,Pascal Siakam,0.628,0.647,-0.019,227.0,66.0
IND,2024,2023-24,Andrew Nembhard,0.580,0.744,-0.163,208.0,85.0
IND,2024,2023-24,Obi Toppin,0.632,0.635,-0.003,116.0,177.0
IND,2024,2023-24,Ben Sheppard,0.686,0.594,0.092,107.0,186.0
IND,2024,2023-24,Aaron Nesmith,0.602,0.703,-0.100,210.0,83.0
IND,2024,2023-24,Jalen Smith,0.667,0.632,0.035,16.0,277.0
IND,2024,2023-24,Isaiah Jackson,0.889,0.613,0.276,24.0,269.0
IND,2024,2023-24,Doug McDermott,1.000,0.617,0.383,17.0,276.0
IND,2024,2023-24,Myles Turner,0.615,0.667,-0.051,200.0,93.0
IND,2024,2023-24,T.J. McConnell,0.689,0.600,0.089,108.0,185.0
IND,2024,2023-24,Jarace Walker,1.000,0.621,0.379,11.0,282.0
IND,2024,2023-24,Kendall Brown,1.000,0.627,0.373,4.0,289.0
IND,2024,2023-24,Tyrese Haliburton,0.602,0.741,-0.139,218.0,75.0
IND,2024,2023-24,James Johnson,0.000,0.633,-0.633,0.0,293.0
IND,2024,2023-24,Bennedict Mathurin,0.000,0.633,-0.633,0.0,293.0
LAC,2024,2023-24,Paul George,0.711,0.758,-0.046,222.0,66.0
LAC,2024,2023-24,Terance Mann,0.742,0.676,0.065,187.0,101.0
LAC,2024,2023-24,James Harden,0.733,0.667,0.067,242.0,46.0
LAC,2024,2023-24,Norman Powell,0.712,0.740,-0.028,179.0,109.0
LAC,2024,2023-24,Mason Plumlee,0.677,0.739,-0.062,66.0,222.0
LAC,2024,2023-24,Kawhi Leonard,0.704,0.729,-0.025,59.0,229.0
LAC,2024,2023-24,Russell Westbrook,0.702,0.737,-0.035,114.0,174.0
LAC,2024,2023-24,Ivica Zubac,0.731,0.711,0.020,192.0,96.0
LAC,2024,2023-24,Amir Coffey,0.792,0.680,0.112,112.0,176.0
LAC,2024,2023-24,Bones Hyland,0.600,0.729,-0.129,12.0,276.0
LAC,2024,2023-24,Kobe Brown,0.500,0.731,-0.231,10.0,278.0
LAC,2024,2023-24,Brandon Boston Jr.,0.500,0.731,-0.231,10.0,278.0
LAC,2024,2023-24,P.J. Tucker,0.833,0.712,0.122,31.0,257.0
LAC,2024,2023-24,Daniel Theis,0.500,0.727,-0.227,4.0,284.0
LAL,2024,2023-24,Austin Reaves,0.655,0.714,-0.060,174.0,66.0
LAL,2024,2023-24,Jaxson Hayes,0.545,0.679,-0.134,24.0,216.0
LAL,2024,2023-24,Gabe Vincent,0.800,0.627,0.173,69.0,171.0
LAL,2024,2023-24,LeBron James,0.662,0.733,-0.072,204.0,36.0
LAL,2024,2023-24,Taurean Prince,0.689,0.655,0.034,111.0,129.0
LAL,2024,2023-24,Anthony Davis,0.683,0.591,0.092,208.0,32.0
LAL,2024,2023-24,Rui Hachimura,0.670,0.667,0.003,152.0,88.0
LAL,2024,2023-24,Spencer Dinwiddie,0.667,0.670,-0.003,73.0,167.0
LAL,2024,2023-24,D'Angelo Russell,0.639,0.826,-0.187,185.0,55.0
MIA,2024,2023-24,Jaime Jaquez Jr.,0.667,0.878,-0.211,122.0,118.0
MIA,2024,2023-24,Nikola Jovic,0.789,0.774,0.015,128.0,112.0
MIA,2024,2023-24,Caleb Martin,0.769,0.826,-0.057,176.0,64.0
MIA,2024,2023-24,Haywood Highsmith,0.822,0.744,0.078,126.0,114.0
MIA,2024,2023-24,Delon Wright,0.818,0.750,0.068,107.0,133.0
MIA,2024,2023-24,Duncan Robinson,0.857,0.770,0.087,60.0,180.0
MIA,2024,2023-24,Bam Adebayo,0.782,0.800,-0.018,192.0,48.0
MIA,2024,2023-24,Tyler Herro,0.776,0.833,-0.057,185.0,55.0
MIA,2024,2023-24,Kevin Love,0.833,0.780,0.053,32.0,208.0
MIA,2024,2023-24,Thomas Bryant,1.000,0.774,0.226,18.0,222.0
MIA,2024,2023-24,Patty Mills,0.833,0.776,0.057,52.0,188.0
MIA,2024,2023-24,Orlando Robinson,0.000,0.784,-0.784,2.0,238.0
MIL,2024,2023-24,Khris Middleton,0.744,0.667,0.078,230.0,63.0
MIL,2024,2023-24,Bobby Portis,0.750,0.692,0.058,187.0,106.0
MIL,2024,2023-24,Brook Lopez,0.753,0.667,0.086,200.0,93.0
MIL,2024,2023-24,Patrick Beverley,0.741,0.686,0.055,210.0,83.0
MIL,2024,2023-24,Malik Beasley,0.741,0.712,0.029,131.0,162.0
MIL,2024,2023-24,Pat Connaughton,0.694,0.746,-0.053,124.0,169.0
MIL,2024,2023-24,AJ Green,0.708,0.729,-0.021,67.0,226.0
MIL,2024,2023-24,Jae Crowder,0.765,0.718,0.046,42.0,251.0
MIL,2024,2023-24,Damian Lillard,0.746,0.694,0.053,156.0,137.0
MIL,2024,2023-24,Andre Jackson Jr.,0.533,0.789,-0.256,60.0,233.0
MIL,2024,2023-24,MarJon Beauchamp,0.429,0.743,-0.315,10.0,283.0
MIL,2024,2023-24,Chris Livingston,1.000,0.720,0.280,6.0,287.0
MIL,2024,2023-24,Danilo Gallinari,0.812,0.712,0.101,37.0,256.0
MIL,2024,2023-24,Thanasis Antetokounmpo,0.333,0.746,-0.412,5.0,288.0
