TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FTFREQ%,TOVFREQ%,SFFREQ%,AND ONEFREQ%,SCOREFREQ%,PERCENTILE
Golden State Warriors,42,377,7.9,1.03,390,128,334,38.3,53.3,5.3,7.7,5.3,1.6,37.7,75.9
Utah Jazz,42,333,7.0,0.96,320,107,294,36.4,48.0,6.6,6.9,6.0,1.8,36.9,51.7
Phoenix Suns,43,264,5.7,1.12,296,109,229,47.6,57.6,7.2,6.4,6.1,0.4,47.7,93.1
Boston Celtics,44,220,4.5,1.16,256,93,202,46.0,60.6,3.2,5.9,2.7,0.9,44.5,96.6
Denver Nuggets,43,244,5.0,1.0,243,90,222,40.5,51.1,4.5,5.7,3.3,1.2,40.2,65.5
Minnesota Timberwolves,44,244,5.1,0.98,238,79,197,40.1,51.8,10.2,12.7,9.8,3.7,38.9,58.6
Detroit Pistons,44,212,4.3,1.05,223,79,194,40.7,54.9,3.3,6.1,3.3,0.9,39.6,82.8
Charlotte Hornets,40,235,5.2,0.89,210,70,202,34.7,45.0,6.8,8.9,6.8,1.7,34.9,31.0
Miami Heat,42,205,4.5,1.01,207,70,178,39.3,47.8,8.3,4.9,8.3,0.0,42.4,72.4
New Orleans Pelicans,44,216,4.3,0.95,206,74,191,38.7,47.9,6.9,5.6,5.6,0.9,39.8,48.3
Toronto Raptors,43,198,4.0,0.94,187,69,168,41.1,49.1,8.1,10.1,8.1,3.0,39.9,41.4
Washington Wizards,42,185,3.8,0.87,161,60,158,38.0,44.9,5.9,9.7,5.4,1.1,37.3,13.8
Brooklyn Nets,45,146,3.0,1.06,154,48,126,38.1,51.6,9.6,5.5,8.2,1.4,41.1,86.2
Los Angeles Lakers,41,159,3.6,0.96,153,50,141,35.5,45.4,10.1,2.5,8.2,1.3,39.0,55.2
New York Knicks,44,169,3.5,0.88,149,59,152,38.8,46.1,5.9,7.7,5.9,3.6,37.3,24.1
Philadelphia 76ers,42,153,3.3,0.88,134,47,131,35.9,44.7,5.9,9.2,5.9,0.7,35.9,17.2
San Antonio Spurs,41,150,3.3,0.88,132,45,123,36.6,45.5,7.3,11.3,7.3,0.7,36.7,20.7
Sacramento Kings,43,122,2.5,1.07,131,48,111,43.2,52.7,7.4,4.1,7.4,2.5,44.3,89.7
LA Clippers,43,124,2.6,1.04,129,46,102,45.1,52.9,9.7,9.7,9.7,1.6,45.2,79.3
Atlanta Hawks,41,157,3.2,0.81,127,42,123,34.1,40.7,9.6,12.1,7.6,0.0,36.3,3.4
Memphis Grizzlies,44,124,2.4,1.0,124,45,101,44.6,54.0,8.1,12.1,8.1,1.6,42.7,69.0
Dallas Mavericks,43,132,2.7,0.94,124,42,110,38.2,46.4,11.4,9.1,9.8,3.8,38.6,37.9
Portland Trail Blazers,43,142,2.9,0.86,122,44,121,36.4,44.2,9.2,7.7,9.2,2.1,38.0,10.3
Orlando Magic,44,166,3.5,0.74,122,46,149,30.9,38.6,2.4,7.8,2.4,0.0,30.1,0.0
Cleveland Cavaliers,43,127,2.7,0.94,120,42,108,38.9,49.1,7.1,9.4,6.3,1.6,38.6,44.8
Indiana Pacers,43,93,2.0,1.19,111,38,82,46.3,60.4,8.6,4.3,7.5,1.1,47.3,100.0
Chicago Bulls,44,107,2.1,0.92,99,34,94,36.2,46.8,5.6,7.5,5.6,0.9,36.4,34.5
Oklahoma City Thunder,41,112,2.5,0.84,94,36,99,36.4,44.4,3.6,8.9,2.7,0.9,34.8,6.9
Houston Rockets,41,91,1.9,0.98,89,32,85,37.6,49.4,4.4,3.3,4.4,1.1,38.5,62.1
Milwaukee Bucks,39,83,1.9,0.89,74,27,76,35.5,47.4,1.2,7.2,1.2,0.0,33.7,27.6
