TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%,shot_coverage,year
Golden State Warriors,22,22,27.9,251,527,47.6,56.4,14.6,159,276,57.6,13.3,92,251,36.7,open,2019
Toronto Raptors,24,24,25.7,221,522,42.3,49.1,14.0,150,284,52.8,11.7,71,238,29.8,open,2019
Portland Trail Blazers,16,16,27.8,166,397,41.8,50.3,14.0,99,200,49.5,13.8,67,197,34.0,open,2019
Milwaukee Bucks,15,15,25.8,153,340,45.0,54.7,11.9,87,157,55.4,13.9,66,183,36.1,open,2019
Denver Nuggets,14,14,27.3,151,338,44.7,51.9,15.1,102,187,54.5,12.2,49,151,32.5,open,2019
Philadelphia 76ers,12,12,24.9,112,256,43.8,50.6,14.7,77,151,51.0,10.2,35,105,33.3,open,2019
Houston Rockets,11,11,27.4,112,251,44.6,54.8,11.1,61,102,59.8,16.2,51,149,34.2,open,2019
Boston Celtics,9,9,28.0,85,212,40.1,48.1,15.2,51,115,44.3,12.8,34,97,35.1,open,2019
San Antonio Spurs,7,7,30.2,80,179,44.7,48.6,22.5,66,133,49.6,7.8,14,46,30.4,open,2019
LA Clippers,6,6,29.6,76,158,48.1,57.6,15.4,46,82,56.1,14.2,30,76,39.5,open,2019
Brooklyn Nets,5,5,27.6,49,126,38.9,48.0,13.6,26,62,41.9,14.0,23,64,35.9,open,2019
Detroit Pistons,4,4,29.5,53,114,46.5,55.3,15.5,33,60,55.0,14.0,20,54,37.0,open,2019
Oklahoma City Thunder,5,5,25.3,44,109,40.4,45.9,13.3,32,57,56.1,12.1,12,52,23.1,open,2019
Utah Jazz,5,5,23.8,45,103,43.7,51.9,12.0,28,52,53.8,11.8,17,51,33.3,open,2019
Orlando Magic,5,5,23.6,40,98,40.8,44.9,12.8,32,53,60.4,10.8,8,45,17.8,open,2019
Indiana Pacers,4,4,25.4,27,85,31.8,41.2,12.0,11,40,27.5,13.5,16,45,35.6,open,2019
Golden State Warriors,22,22,38.6,371,731,50.8,54.9,29.7,311,562,55.3,8.9,60,169,35.5,tight,2019
Toronto Raptors,24,24,31.5,325,639,50.9,53.4,27.1,293,550,53.3,4.4,32,89,36.0,tight,2019
Portland Trail Blazers,16,16,34.9,224,499,44.9,47.9,28.2,194,402,48.3,6.8,30,97,30.9,tight,2019
